,priority,GDR3_ID_number,expTime,expN,obsN,groupEnableTime,groupDisableTime,acqType,schedulingMode,t0,period,delta,moonMaxFI,minMoonDist1,ifExceedsMinFI1,minMoonDist2,ifExceedsMinFI2,rvMoonRange,rvMoonMinFI,rvMoonMinAlt,twilight,maxSeeing,maxExtinction,maxSkyBrightness,minAltitude
0,9,2430102808294101760,520,1,107,2026-07-23T23:00:06.696,2026-12-23T01:00:06.696,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
1,9,379582273249916416,720,1,107,2026-07-21T23:00:05.184,2026-12-21T01:00:05.184,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
2,9,2802397960855105920,318,1,107,2026-07-26T23:00:01.080,2026-12-26T01:00:01.080,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
3,9,2552925644460225152,319,1,240,2026-07-29T23:00:11.232,2026-12-29T01:00:11.232,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
4,9,425040000962559616,420,1,107,2026-07-28T10:59:58.272,2026-12-27T12:59:58.272,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
5,9,2786115533677290240,661,1,2,2026-01-01T00:00:00.000,2026-01-05T00:59:52.872,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
6,9,532057254394731776,581,1,4,2026-01-01T00:00:00.000,2026-01-07T12:59:58.704,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
7,9,2585856120791459584,578,1,5,2026-01-01T00:00:00.000,2026-01-09T00:59:55.896,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
8,9,350664155368182656,525,1,5,2026-01-01T00:00:00.000,2026-01-08T12:59:51.576,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
9,9,96331172942614528,240,1,6,2026-01-01T00:00:00.000,2026-01-10T01:00:04.536,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
10,9,512167948043650816,311,1,7,2026-01-01T00:00:00.000,2026-01-11T00:59:57.408,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
11,9,105332908999068032,918,1,9,2026-01-01T00:00:00.000,2026-01-15T01:00:00.432,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
12,9,104453918172129792,635,1,10,2026-01-01T00:00:00.000,2026-01-15T13:00:04.752,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
13,9,101309452355657216,590,1,11,2026-01-01T00:00:00.000,2026-01-17T12:59:50.496,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
14,9,132922438878995968,1080,1,15,2026-01-01T00:00:00.000,2026-01-22T13:00:02.160,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
15,9,115311458058061440,514,1,19,2026-01-01T00:00:00.000,2026-01-28T01:00:02.376,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
16,9,466294295706341760,780,1,19,2026-01-01T00:00:00.000,2026-01-28T01:00:02.376,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
17,9,138972467251590656,910,1,19,2026-01-01T00:00:00.000,2026-01-29T00:59:55.248,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
18,9,436648129327098496,600,1,20,2026-01-01T00:00:00.000,2026-01-29T12:59:59.568,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
19,9,473347456640406016,534,1,27,2026-01-01T00:00:00.000,2026-02-08T13:00:07.128,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
20,9,150694566874541824,775,1,29,2026-01-01T00:00:00.000,2026-02-12T12:59:54.384,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
21,9,3195919528989223040,190,1,30,2026-01-01T00:00:00.000,2026-02-13T00:59:58.704,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
22,9,257134507991047936,561,1,32,2026-01-01T00:00:00.000,2026-02-15T13:00:04.536,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
23,9,174156255225869440,600,1,35,2026-01-01T00:00:00.000,2026-02-20T13:00:00.432,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
24,9,188771135583573504,540,1,39,2026-01-01T00:00:00.000,2026-02-26T13:00:04.968,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
25,9,281179246740400384,822,1,40,2026-01-01T00:00:00.000,2026-02-27T12:59:57.840,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
26,9,263916708025623680,435,1,43,2026-01-01T00:00:00.000,2026-03-03T13:00:00.864,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
27,9,215599288018509824,828,1,43,2026-01-01T00:00:00.000,2026-03-03T13:00:00.864,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
28,9,942860190374658688,840,1,50,2026-01-01T00:00:00.000,2026-03-13T12:59:52.656,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
