,priority,GDR3_ID_number,expTime,expN,obsN,groupEnableTime,groupDisableTime,acqType,schedulingMode,t0,period,delta,moonMaxFI,minMoonDist1,ifExceedsMinFI1,minMoonDist2,ifExceedsMinFI2,rvMoonRange,rvMoonMinFI,rvMoonMinAlt,twilight,maxSeeing,maxExtinction,maxSkyBrightness,minAltitude
0,9,2430102808294101760,687,1,90,2026-08-23T09:00:06.696,2026-11-22T15:00:06.696,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
1,9,379582273249916416,687,1,90,2026-08-21T09:00:05.184,2026-11-20T15:00:05.184,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
2,9,2802397960855105920,687,1,90,2026-08-26T09:00:01.080,2026-11-25T15:00:01.080,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
3,9,2552925644460225152,687,1,240,2026-08-29T09:00:11.232,2026-11-28T15:00:11.232,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
4,9,425040000962559616,687,1,90,2026-08-27T20:59:58.272,2026-11-27T02:59:58.272,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
5,9,2786115533677290240,687,1,90,2026-09-05T08:59:52.872,2026-12-05T14:59:52.872,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
6,9,532057254394731776,687,1,90,2026-09-07T20:59:58.704,2026-12-08T02:59:58.704,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
7,9,2585856120791459584,687,1,90,2026-09-09T08:59:55.896,2026-12-09T14:59:55.896,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
8,9,350664155368182656,687,1,90,2026-09-08T20:59:51.576,2026-12-09T02:59:51.576,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
9,9,96331172942614528,687,1,90,2026-09-10T09:00:04.536,2026-12-10T15:00:04.536,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
10,9,512167948043650816,687,1,90,2026-09-11T08:59:57.408,2026-12-11T14:59:57.408,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
11,9,105332908999068032,687,1,90,2026-09-15T09:00:00.432,2026-12-15T15:00:00.432,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
12,9,104453918172129792,687,1,90,2026-09-15T21:00:04.752,2026-12-16T03:00:04.752,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
13,9,101309452355657216,687,1,90,2026-09-17T20:59:50.496,2026-12-18T02:59:50.496,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
14,9,132922438878995968,687,1,90,2026-09-22T21:00:02.160,2026-12-23T03:00:02.160,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
15,9,115311458058061440,687,1,90,2026-09-28T09:00:02.376,2026-12-28T15:00:02.376,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
16,9,466294295706341760,687,1,90,2026-09-28T09:00:02.376,2026-12-28T15:00:02.376,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
17,9,138972467251590656,687,1,90,2026-09-29T08:59:55.248,2026-12-29T14:59:55.248,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
18,9,436648129327098496,687,1,90,2026-09-29T20:59:59.568,2026-12-30T02:59:59.568,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
19,9,473347456640406016,687,1,8,2026-01-01T00:00:00.000,2026-01-09T03:00:07.128,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
20,9,150694566874541824,687,1,11,2026-01-01T00:00:00.000,2026-01-13T02:59:54.384,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
21,9,3195919528989223040,687,1,12,2026-01-01T00:00:00.000,2026-01-13T14:59:58.704,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
22,9,257134507991047936,687,1,14,2026-01-01T00:00:00.000,2026-01-16T03:00:04.536,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
23,9,174156255225869440,687,1,19,2026-01-01T00:00:00.000,2026-01-21T03:00:00.432,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
24,9,188771135583573504,687,1,25,2026-01-01T00:00:00.000,2026-01-27T03:00:04.968,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
25,9,281179246740400384,687,1,26,2026-01-01T00:00:00.000,2026-01-28T02:59:57.840,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
26,9,263916708025623680,687,1,30,2026-01-01T00:00:00.000,2026-02-01T03:00:00.864,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
27,9,215599288018509824,687,1,30,2026-01-01T00:00:00.000,2026-02-01T03:00:00.864,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
28,9,942860190374658688,687,1,40,2026-01-01T00:00:00.000,2026-02-11T02:59:52.656,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
29,9,3352152743956693376,687,1,42,2026-01-01T00:00:00.000,2026-02-13T02:59:54.168,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
30,9,3381727613874753536,687,1,46,2026-01-01T00:00:00.000,2026-02-17T03:00:12.960,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
31,9,887822001246832384,687,1,47,2026-01-01T00:00:00.000,2026-02-18T15:00:10.152,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
32,9,974887555341533440,687,1,50,2026-01-01T00:00:00.000,2026-02-21T03:00:00.216,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
33,9,890234402772937472,687,1,50,2026-01-01T00:00:00.000,2026-02-21T15:00:04.536,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
34,9,876370076542359936,687,1,60,2026-01-01T00:00:00.000,2026-03-03T02:59:52.008,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
35,9,5726982995343100928,687,1,64,2026-01-01T00:00:00.000,2026-03-07T03:00:10.800,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
36,9,918107434852949888,687,1,65,2026-01-01T00:00:00.000,2026-03-08T15:00:07.992,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
37,9,746545172372256384,687,1,86,2026-01-01T00:00:00.000,2026-03-30T03:00:04.536,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
38,9,823773494718931968,687,1,88,2026-01-01T00:00:00.000,2026-04-01T03:00:06.048,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
39,9,806000816970521728,687,1,265,2026-01-01T21:00:07.560,2026-04-03T03:00:07.560,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
40,9,777254360337133312,687,1,90,2026-01-11T20:59:59.352,2026-04-13T02:59:59.352,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
41,9,762815470562110464,687,1,90,2026-01-11T20:59:59.352,2026-04-13T02:59:59.352,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
42,9,773861404893710208,687,1,90,2026-01-21T09:00:02.592,2026-04-22T15:00:02.592,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
43,9,3905603054348141440,687,1,90,2026-01-28T21:00:04.320,2026-04-30T03:00:04.320,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
44,9,1534011998572555776,687,1,90,2026-02-04T20:59:45.960,2026-05-07T02:59:45.960,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
45,9,1521686782461765888,687,1,90,2026-02-07T21:00:11.880,2026-05-10T03:00:11.880,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
46,9,1580311917821099776,687,1,90,2026-02-09T20:59:57.624,2026-05-12T02:59:57.624,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
47,9,3928040444539772800,687,1,90,2026-02-06T08:59:58.920,2026-05-08T14:59:58.920,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
48,9,1665517334465010432,687,1,90,2026-02-20T20:59:58.056,2026-05-23T02:59:58.056,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
49,9,1661568850770761600,687,1,90,2026-03-01T20:59:56.976,2026-06-01T02:59:56.976,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
50,9,1666363752260912640,687,1,90,2026-03-09T08:59:58.704,2026-06-08T14:59:58.704,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
51,9,3654496279558010624,687,1,90,2026-03-03T20:59:58.488,2026-06-03T02:59:58.488,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
52,9,1491593733326694912,687,1,90,2026-03-10T21:00:11.664,2026-06-10T03:00:11.664,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
53,9,1605198298364601088,687,1,90,2026-03-12T09:00:08.856,2026-06-11T15:00:08.856,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
54,9,1237090738916392704,687,1,90,2026-03-15T09:00:03.240,2026-06-14T15:00:03.240,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
55,9,1209182041427374080,687,1,90,2026-03-24T09:00:02.160,2026-06-23T15:00:02.160,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
56,9,1166216253750406144,687,1,90,2026-03-25T20:59:59.352,2026-06-25T02:59:59.352,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
57,9,4423865487962417024,687,1,90,2026-03-28T09:00:05.184,2026-06-27T15:00:05.184,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
