,priority,GDR3_ID_number,expTime,expN,obsN,groupEnableTime,groupDisableTime,acqType,schedulingMode,t0,period,delta,moonMaxFI,minMoonDist1,ifExceedsMinFI1,minMoonDist2,ifExceedsMinFI2,rvMoonRange,rvMoonMinFI,rvMoonMinAlt,twilight,maxSeeing,maxExtinction,maxSkyBrightness,minAltitude
28,9,512167948043650816,660,1,200,2026-06-14T12:00:02.160,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
29,9,3195919528989223040,660,1,144,2026-08-09T12:00:12.960,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
30,9,263916708025623680,660,1,148,2026-08-05T12:00:09.936,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
31,9,5726982995343100928,660,1,87,2026-10-06T12:00:09.504,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
32,9,823773494718931968,660,1,90,2026-10-03T12:00:15.120,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
33,9,806000816970521728,660,1,87,2026-10-06T12:00:09.504,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
34,9,1521686782461765888,660,1,54,2026-11-08T12:00:10.800,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
35,9,1661568850770761600,660,1,41,2026-11-21T11:59:56.976,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
36,9,3654496279558010624,660,1,19,2026-12-13T11:59:57.840,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
37,9,1237090738916392704,660,1,21,2026-12-11T12:00:12.096,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
38,9,4423865487962417024,660,1,1,2026-12-31T11:59:55.680,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
39,9,1379500756257031808,660,1,11,2026-12-21T12:00:03.888,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
40,9,1872046609345556480,660,1,290,2026-03-17T11:59:50.064,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
41,9,1872046574983497216,660,1,290,2026-03-17T11:59:50.064,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
42,9,2009481748875806976,660,1,246,2026-04-29T12:00:14.688,2026-12-31T23:59:00.000,OBJECT,MONITORING,NULL,1,0.3,0.99,5,0.5,10,0.75,15,0.5,-5,-12,2,1.1,15,35
