,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,WDS(code),pmag,prot,origin
361,HD162826,Gaia DR3 1344497769227698432,HD162826,HIP87382,-,TIC116246139,-,-,-,F8V,*,267.8084,40.0725,-,,8.4,THE_stellar(RHK+Mamajek)
362,HD153970,Gaia DR3 1359603267994469632,HD153970,HIP83222,-,TIC115621918,-,-,-,F8,PM*,255.1202,45.7788,-,,9.2,THE_stellar(RHK+Mamajek)
363,HD154345,Gaia DR3 1359938520253565952,HD154345,HIP83389,GJ651,TIC198562505,-,-,-,G9,PM*,255.6517,47.0819,-,,23.5,THE_stellar(RHK+Mamajek)
364,HD159062,Gaia DR3 1362295082910131200,HD159062,HIP85653,GJ4010,TIC270258076,-,-,J17303+4724A,G9V_Fe-0.8,SB*,262.5684,47.4022,17303+4724,,29.3,THE_stellar(RHK+Mamajek)
365,HD160506,Gaia DR3 1362368578390231936,HD160506,HIP86302,-,TIC164305613,-,-,-,G0,PM*,264.5157,45.5574,-,,13.7,THE_stellar(RHK+Mamajek)
365,HD160506,Gaia DR3 1362368578390231936,HD160506,HIP86302,-,TIC164305613,-,-,-,G0,PM*,264.5157,45.5574,-,,8.02,THE_VSINI
367,HD139324,Gaia DR3 1374525328702607616,HD139324,HIP76398,-,TIC16915763,-,-,-,G5,PM*,234.0528,35.7054,-,,14.9,THE_stellar(RHK+Mamajek)
368,HD144579,Gaia DR3 1379500756257031808,HD144579,HIP78775,GJ611A,TIC24089803,-,-,J16048+3910A,G8V,PM*,241.2366,39.1565,16048+3910,,27.4,THE_YARARA
368,HD144579,Gaia DR3 1379500756257031808,HD144579,HIP78775,GJ611A,TIC24089803,-,-,J16048+3910A,G8V,PM*,241.2366,39.1565,16048+3910,,39.9,THE_stellar(RHK+Mamajek)
369,HD145435,Gaia DR3 1380263027052621696,HD145435,HIP79152,-,TIC310517307,-,-,-,F5,PM*,242.3229,41.0952,-,,11.4,THE_stellar(RHK+Mamajek)
370,HD142373,Gaia DR3 1384195086792268800,HD142373,HIP77760,GJ602,TIC157364190,-,1Her+chiHer,-,F8VFe-2Hdel-,PM*,238.1689,42.4515,-,,19.4,THE_stellar(RHK+Mamajek)
371,14Her,Gaia DR3 1385293808145621504,HD145675,HIP79248,GJ614,TIC219483057,-,14Her,J16104+4349A,K0V,PM*,242.6013,43.8176,16104+4349,,44.6,THE_stellar(RHK+Mamajek)
374,HD136580,Gaia DR3 1389312523145493760,HD136580,HIP75039,-,TIC138295548,-,-,-,F7V,PM*,230.0097,40.9842,-,,6.9,THE_stellar(RHK+Mamajek)
376,HD139341B,Gaia DR3 1389522117550542464,HD139341B,-,GJ591B+GJ593B,-,-,-,J15360+3948B,-,PM*,234.0093,39.8027,15360+3948,,5.03,THE_VSINI
377,HD139323,Gaia DR3 1389522392427772288,HD139323,HIP76375,GJ591,TIC148817611,-,-,J15360+3948C,K3V,PM*,233.9857,39.8311,15360+3948,,38.7,THE_stellar(RHK+Mamajek)
378,HD138004,Gaia DR3 1391009653702531072,HD138004,HIP75676,-,TIC116385975,-,-,J15277+4253A,G2III,PM*,231.9181,42.8813,15277+4253,,17.0,THE_stellar(RHK+Mamajek)
379,HD137870,Gaia DR3 1394846433887239552,HD137870,HIP75595,-,TIC116384918,-,-,-,F8,PM*,231.6818,45.6039,-,,7.08,THE_VSINI
379,HD137870,Gaia DR3 1394846433887239552,HD137870,HIP75595,-,TIC116384918,-,-,-,F8,PM*,231.6818,45.6039,-,,8.6,THE_stellar(RHK+Mamajek)
380,HD141399,Gaia DR3 1398218223733415552,HD141399,HIP77301,-,TIC156067565,-,-,-,K0,PM*,236.7242,46.9863,-,,31.3,THE_stellar(RHK+Mamajek)
381,HD149105,Gaia DR3 1410183796461158912,HD149105,HIP80818,-,TIC307917996,-,-,-,G0V,PM*,247.5623,47.9524,-,,19.5,THE_stellar(RHK+Mamajek)
382,HD151044,Gaia DR3 1412260533408744832,HD151044,HIP81800,-,TIC274242146,-,-,-,F8V,PM*,250.6159,49.9364,-,,8.8,THE_stellar(RHK+Mamajek)
383,HD158096,Gaia DR3 1414760857209318528,HD158096,HIP85196,-,TIC188766488,-,-,-,G5,PM*,261.1549,50.6858,-,,22.6,THE_stellar(RHK+Mamajek)
384,HD158259,Gaia DR3 1416050859226670848,HD158259,HIP85268,-,TIC188768068,-,-,-,G5VmF9,PM*,261.3502,52.7907,-,,13.0,THE_stellar(RHK+Mamajek)
387,HD148049,Gaia DR3 1423602030208324864,HD148049,HIP80264,-,TIC162631539,-,-,-,F8,PM*,245.7795,50.3442,-,,11.5,THE_stellar(RHK+Mamajek)
388,HD148329,Gaia DR3 1428737952100331520,HD148329,HIP80364,-,TIC207468713,-,-,-,G1,PM*,246.0727,55.332,-,,21.9,THE_stellar(RHK+Mamajek)
389,HD155902,Gaia DR3 1432617510160019200,HD155902,HIP84062,GJ3993,TIC198384408,-,-,-,G5,PM*,257.7851,56.6592,-,,1.37,THE_VSINI
393,HD120476a,Gaia DR3 1451450048399808384,HD120476A,-,GJ528A,TIC359220741,-,-,J13491+2659A,K4V,PM*,207.2667,26.9799,13491+2659,,16.9,THE_stellar(RHK+Mamajek)
394,HD122652,Gaia DR3 1454450340753382272,HD122652,HIP68593,-,TIC232527921,-,-,-,F8,PM*,210.6318,31.6609,-,,5.4,THE_stellar(RHK+Mamajek)
395,HD120005,Gaia DR3 1455771129096411904,HD120005,HIP67195,-,TIC165760083,-,-,-,F6V,SB*,206.5572,30.897,-,,6.7,THE_stellar(RHK+Mamajek)
395,HD120005,Gaia DR3 1455771129096411904,HD120005,HIP67195,-,TIC165760083,-,-,-,F6V,SB*,206.5572,30.897,-,,4.62,THE_VSINI
396,HD114710,Gaia DR3 1460229442589223424,HD114710,HIP64394,GJ502,TIC445070560,-,43Com+betCom,J13119+2753A,F9.5V,PM*,197.9683,27.8782,13119+2753,,7.7,THE_stellar(RHK+Mamajek)
397,HD113319,Gaia DR3 1467164096785657088,HD113319,HIP63636,-,TIC165978900,-,-,-,G4V,PM*,195.6394,32.4333,-,,7.2,THE_stellar(RHK+Mamajek)
398,HD127334,Gaia DR3 1491593733326694912,HD127334,HIP70873,GJ3852,TIC27525457,-,-,-,G5VCH0.3,PM*,217.4034,41.7959,-,,23.5,THE_stellar(RHK+Mamajek)
398,HD127334,Gaia DR3 1491593733326694912,HD127334,HIP70873,GJ3852,TIC27525457,-,-,-,G5VCH0.3,PM*,217.4034,41.7959,-,16.1,,THE_rotation_periods
398,HD127334,Gaia DR3 1491593733326694912,HD127334,HIP70873,GJ3852,TIC27525457,-,-,-,G5VCH0.3,PM*,217.4034,41.7959,-,,32.2,THE_YARARA
399,HD120004,Gaia DR3 1496343623558534656,HD120004,HIP67177,-,TIC22953415,-,-,-,F8,PM*,206.5015,37.525,-,,13.4,THE_stellar(RHK+Mamajek)
400,HD124694,Gaia DR3 1506060076532072192,HD124694,HIP69518,-,TIC168704717,-,-,-,F8V,PM*,213.4639,46.3252,-,,3.2,THE_stellar(RHK+Mamajek)
400,HD124694,Gaia DR3 1506060076532072192,HD124694,HIP69518,-,TIC168704717,-,-,-,F8V,PM*,213.4639,46.3252,-,,2.19,THE_VSINI
401,HD109839,Gaia DR3 1521428118055816960,HD109839,HIP61619,-,TIC155251038,-,-,-,F5V,PM*,189.413,38.6844,-,,7.16,THE_VSINI
401,HD109839,Gaia DR3 1521428118055816960,HD109839,HIP61619,-,TIC155251038,-,-,-,F5V,PM*,189.413,38.6844,-,,7.1,THE_stellar(RHK+Mamajek)
402,10CVn,Gaia DR3 1521686782461765888,HD110897,HIP62207,GJ484,TIC389853353,-,10CVn,-,F9V_Fe-0.3,PM*,191.2475,39.2789,-,,12.9,THE_rotation_periods
402,10CVn,Gaia DR3 1521686782461765888,HD110897,HIP62207,GJ484,TIC389853353,-,10CVn,-,F9V_Fe-0.3,PM*,191.2475,39.2789,-,,17.2,THE_stellar(RHK+Mamajek)
403,HD109358,Gaia DR3 1534011998572555776,HD109358,HIP61317,GJ475,TIC458445966,-,8CVn+betCVn,J12337+4121A,G0V,**,188.4356,41.3575,12337+4121,,7.3,THE_YARARA
403,HD109358,Gaia DR3 1534011998572555776,HD109358,HIP61317,GJ475,TIC458445966,-,8CVn+betCVn,J12337+4121A,G0V,**,188.4356,41.3575,12337+4121,,19.3,THE_stellar(RHK+Mamajek)
404,HD105405,Gaia DR3 1536014999519656064,HD105405,HIP59175,-,TIC21598259,-,-,-,F8,PM*,182.029,39.6555,-,,7.9,THE_stellar(RHK+Mamajek)
405,HD105631,Gaia DR3 1536064958579187840,HD105631,HIP59280,GJ3706,TIC21623610,-,-,-,G9V,PM*,182.4052,40.2521,-,,19.5,THE_stellar(RHK+Mamajek)
406,HD109344,Gaia DR3 1541410612315073536,HD109344,HIP61310,-,TIC75584292,-,-,-,F8,PM*,188.4128,44.0962,-,,8.0,THE_stellar(RHK+Mamajek)
407,HD108574,Gaia DR3 1541667932396172800,HD108574,HIP60831,-,TIC157968700,-,-,J12281+4448A,F9V,PM*,187.0185,44.7943,12281+4448,,4.6,THE_stellar(RHK+Mamajek)
408,HD119124,Gaia DR3 1558718059209082752,HD119124,HIP66704,GJ521.2+GJ521.2A+GJ9457A,TIC286946484,-,-,J13404+5031A,F8V,PM*,205.0968,50.5194,13404+5031,,2.78,THE_VSINI
408,HD119124,Gaia DR3 1558718059209082752,HD119124,HIP66704,GJ521.2+GJ521.2A+GJ9457A,TIC286946484,-,-,J13404+5031A,F8V,PM*,205.0968,50.5194,13404+5031,,1.4,THE_stellar(RHK+Mamajek)
409,HD119992,Gaia DR3 1562409119742512128,HD119992,HIP67103,-,TIC141821518,-,-,-,F7V,PM*,206.305,55.8793,-,,6.3,THE_stellar(RHK+Mamajek)
410,HD114446,Gaia DR3 1564925317742776704,HD114446,HIP64208,-,TIC147624120,-,-,-,F9IV-V,PM*,197.3884,56.8334,-,,10.6,THE_stellar(RHK+Mamajek)
410,HD114446,Gaia DR3 1564925317742776704,HD114446,HIP64208,-,TIC147624120,-,-,-,F9IV-V,PM*,197.3884,56.8334,-,,7.25,THE_VSINI
411,HD116956,Gaia DR3 1565867461768654208,HD116956,HIP65515,-,TIC159190692,-,-,J13258+5658A,G9V,BY*,201.4397,56.9705,13258+5658,,8.5,THE_stellar(RHK+Mamajek)
412,HD115043,Gaia DR3 1566224665609504128,HD115043,HIP64532,GJ503.2+GJ503.2A+GJ9434,TIC157272202,-,-,J13136+5643A,G1Va,PM*,198.4042,56.7083,13136+5643,,5.3,THE_stellar(RHK+Mamajek)
412,HD115043,Gaia DR3 1566224665609504128,HD115043,HIP64532,GJ503.2+GJ503.2A+GJ9434,TIC157272202,-,-,J13136+5643A,G1Va,PM*,198.4042,56.7083,13136+5643,,4.68,THE_VSINI
413,HD110833,Gaia DR3 1568219729458240128,HD110833,HIP62145,GJ483,TIC157871565,-,-,J12442+5146A,K3,SB*,191.0606,51.7593,12442+5146,,33.0,THE_stellar(RHK+Mamajek)
414,HD108954,Gaia DR3 1569335115284976000,HD108954,HIP61053,-,TIC141249230,-,-,-,F9V,PM*,187.7089,53.0766,-,,10.6,THE_stellar(RHK+Mamajek)
415,HD111513,Gaia DR3 1580311917821099776,HD111513,HIP62527,-,TIC142276979,-,-,-,G1,PM*,192.2047,61.3784,-,,15.3,THE_stellar(RHK+Mamajek)
416,HD108134,Gaia DR3 1581755198632350336,HD108134,HIP60588,-,TIC417931249,-,-,-,G0p,PM*,186.2714,60.6974,-,,12.0,THE_stellar(RHK+Mamajek)
417,HD132254,Gaia DR3 1592338513445876608,HD132254,HIP73100,GJ3880,TIC309765388,-,-,-,F8-V,PM*,224.096,49.6284,-,,7.05,THE_VSINI
417,HD132254,Gaia DR3 1592338513445876608,HD132254,HIP73100,GJ3880,TIC309765388,-,-,-,F8-V,PM*,224.096,49.6284,-,,9.4,THE_stellar(RHK+Mamajek)
418,HD141039,Gaia DR3 1596763532351243392,HD141039,HIP77084,-,TIC159838529,-,-,-,G5,PM*,236.0902,52.9836,-,,12.7,THE_stellar(RHK+Mamajek)
419,HD138367,Gaia DR3 1602402034136426752,HD138367,HIP75783,-,TIC165764315,-,-,J15289+5727A,F7V,PM*,232.2164,57.4452,15289+5727,,9.2,THE_stellar(RHK+Mamajek)
420,HD128165,Gaia DR3 1605198298364601088,HD128165,HIP71181,GJ556,TIC357373129,-,-,-,K3,PM*,218.3703,52.9088,-,,38.6,THE_stellar(RHK+Mamajek)
420,HD128165,Gaia DR3 1605198298364601088,HD128165,HIP71181,GJ556,TIC357373129,-,-,-,K3,PM*,218.3703,52.9088,-,7.0,35.5,THE_YARARA
421,HD131194,Gaia DR3 1605686447168075392,HD131194,HIP72563,-,TIC161024940,-,-,-,F5,PM*,222.5567,52.4144,-,,8.48,THE_VSINI
421,HD131194,Gaia DR3 1605686447168075392,HD131194,HIP72563,-,TIC161024940,-,-,-,F5,PM*,222.5567,52.4144,-,,10.5,THE_stellar(RHK+Mamajek)
422,HD126675,Gaia DR3 1608397975984282368,HD126675,HIP70499,-,TIC441708762,-,-,-,F8,PM*,216.316,53.585,-,,8.0,THE_stellar(RHK+Mamajek)
423,HD128332,Gaia DR3 1610729219809525888,HD128332,HIP71251,-,TIC311069416,-,-,-,F6V,PM*,218.5664,57.0653,-,,10.8,THE_stellar(RHK+Mamajek)
424,HD133826,Gaia DR3 1621217529945980800,HD133826,HIP73623,-,TIC202422252,-,-,-,G0,PM*,225.7454,65.7783,-,,6.1,THE_stellar(RHK+Mamajek)
425,HD153344,Gaia DR3 1630727858849714176,HD153344,HIP82750,-,TIC287152045,-,-,-,G5IV,PM*,253.6916,62.0999,-,,17.7,THE_stellar(RHK+Mamajek)
426,HD153597,Gaia DR3 1635375460142367104,HD153597,HIP82860,GJ648,TIC289622310,-,19Dra+hDra,J16564+6502C,F8V,SB*,254.007,65.1348,16564+6502,,3.3,THE_stellar(RHK+Mamajek)
426,HD153597,Gaia DR3 1635375460142367104,HD153597,HIP82860,GJ648,TIC289622310,-,19Dra+hDra,J16564+6502C,F8V,SB*,254.007,65.1348,16564+6502,,6.01,THE_VSINI
427,HD158633,Gaia DR3 1637110042813188608,HD158633,HIP85235,GJ675,TIC1400994843+TIC219880402,-,-,-,K0,PM*,261.2504,67.3067,-,,34.9,THE_stellar(RHK+Mamajek)
427,HD158633,Gaia DR3 1637110042813188608,HD158633,HIP85235,GJ675,TIC1400994843+TIC219880402,-,-,-,K0,PM*,261.2504,67.3067,-,12.0,44.0,THE_YARARA
428,HD143105,Gaia DR3 1646538011423566464,HD143105,HIP77838,-,TIC272783172,-,-,-,F5,*,238.4023,68.7201,-,,1.0,THE_stellar(RHK+Mamajek)
428,HD143105,Gaia DR3 1646538011423566464,HD143105,HIP77838,-,TIC272783172,-,-,-,F5,*,238.4023,68.7201,-,,6.86,THE_VSINI
429,HD140412,Gaia DR3 1647299869902273408,HD140412,HIP76604,-,TIC272680526,-,-,-,F5,PM*,234.6721,68.822,-,,5.5,THE_stellar(RHK+Mamajek)
430,HD144061,Gaia DR3 1647986068237087104,HD144061,HIP78217,-,TIC237096607,-,-,J15583+7054A,G2V,PM*,239.5876,70.8944,15583+7054,,18.2,THE_stellar(RHK+Mamajek)
431,HD151541,Gaia DR3 1648568843759668480,HD151541,HIP81813,GJ637.1+GJ9576,TIC230123572,-,-,-,K1,PM*,250.6607,68.1022,-,,33.7,THE_stellar(RHK+Mamajek)
432,HD162004,Gaia DR3 1651268763282397312,HD162004,HIP86620,GJ694.1B+GJ9602B,TIC441804565,-,31DraB+psi01DraB,J17419+7209B,F8V,PM*,265.4921,72.1569,17419+7209,,8.5,THE_stellar(RHK+Mamajek)
433,HD161897,Gaia DR3 1651469733391948288,HD161897,HIP86540,-,TIC441801208,-,-,J17411+7225A,K0,PM*,265.2779,72.4203,17411+7225,,20.5,THE_stellar(RHK+Mamajek)
435,HD148941,Gaia DR3 1653270595998453504,HD148941,HIP80467,-,TIC230085290,-,-,J16255+7123A,F8,*,246.3718,71.3846,16255+7123,,4.51,THE_VSINI
436,HD154181A,Gaia DR3 1656220516976649088,HD154181A,HIP82886,-,TIC441716374,-,-,J16563+7417A,F6V,PM*,254.0787,74.2826,16563+7417,,1.8,THE_VSINI
437,HD123300,Gaia DR3 1659915425801141632,HD123300,HIP68792,-,TIC441663519,-,-,-,G5,PM*,211.2149,58.8675,-,,15.2,THE_stellar(RHK+Mamajek)
438,HD122064,Gaia DR3 1661568850770761600,HD122064,HIP68184,-,TIC202380743,-,-,-,K3V,PM*,209.3836,61.4929,-,,46.6,THE_stellar(RHK+Mamajek)
438,HD122064,Gaia DR3 1661568850770761600,HD122064,HIP68184,-,TIC202380743,-,-,-,K3V,PM*,209.3836,61.4929,-,12.8,,THE_rotation_periods
438,HD122064,Gaia DR3 1661568850770761600,HD122064,HIP68184,-,TIC202380743,-,-,-,K3V,PM*,209.3836,61.4929,-,11.4,47.0,THE_YARARA
439,HD117043,Gaia DR3 1665517334465010432,HD117043,HIP65530,GJ511.1,TIC355916910,-,-,-,G6V,PM*,201.4994,63.2613,-,,22.7,THE_stellar(RHK+Mamajek)
440,HD126323,Gaia DR3 1666363752260912640,HD126323,HIP70252,-,TIC166090806,-,-,-,G0,PM*,215.6205,60.9657,-,,9.2,THE_stellar(RHK+Mamajek)
441,HD130460,Gaia DR3 1668845350004416256,HD130460,HIP72130,-,TIC282855338,-,-,-,F5,PM*,221.3192,65.33,-,,1.44,THE_VSINI
442,HD128385,Gaia DR3 1668986018773531776,HD128385,HIP71192,-,TIC232979046,-,-,-,F5,SB*,218.3981,65.3954,-,,9.5,THE_stellar(RHK+Mamajek)
443,HD129499,Gaia DR3 1669516773651710464,HD129499,HIP71679,-,TIC219003568,-,-,-,G5,*,219.9154,66.3468,-,,6.1,THE_stellar(RHK+Mamajek)
445,HD109413,Gaia DR3 1689791802427582592,HD109413,HIP61293,-,TIC154561824,-,-,-,F8,SB*,188.3923,72.4791,-,,6.36,THE_VSINI
445,HD109413,Gaia DR3 1689791802427582592,HD109413,HIP61293,-,TIC154561824,-,-,-,F8,SB*,188.3923,72.4791,-,,9.4,THE_stellar(RHK+Mamajek)
447,HD200580,Gaia DR3 1730458373852682752,HD200580,HIP103987,-,TIC419262941,-,-,J21041+0300AB,F9V,SB*,316.0308,2.9945,21041+0300,,5.49,THE_VSINI
448,HD202884,Gaia DR3 1743504800870418432,HD202884,HIP105202,-,TIC262277103,-,-,-,F5,PM*,319.6549,8.9597,-,,6.3,THE_stellar(RHK+Mamajek)
449,HD204712,Gaia DR3 1745973032680936704,HD204712,HIP106157,-,TIC96704587,-,-,-,F5V,PM*,322.5352,12.2707,-,,13.3,THE_stellar(RHK+Mamajek)
451,HD196885A,Gaia DR3 1754430373040023168,HD196885A,HIP101966,-,TIC282257777,-,-,J20399+1115Aa,F8V,SB*,309.9662,11.2496,20399+1115,,7.4,THE_stellar(RHK+Mamajek)
451,HD196885A,Gaia DR3 1754430373040023168,HD196885A,HIP101966,-,TIC282257777,-,-,J20399+1115Aa,F8V,SB*,309.9662,11.2496,20399+1115,,4.93,THE_VSINI
452,HD198089,Gaia DR3 1761037029171296000,HD198089,HIP102610,-,TIC85213581,-,-,-,F8,*,311.9078,12.9862,-,,18.0,THE_stellar(RHK+Mamajek)
453,HD197913A,Gaia DR3 1762987494080694016,HD197913A,-,-,TIC85085021,-,-,J20462+1554A,G8,RS*,311.5554,15.9073,20462+1554,,2.89,THE_VSINI
454,HD198109,Gaia DR3 1763093218997965312,HD198109,HIP102611,-,TIC85218473,-,-,-,F9Vw,PM*,311.91,16.2384,-,,9.3,THE_stellar(RHK+Mamajek)
455,HD206860,Gaia DR3 1772187382746856320,HD206860,HIP107350,GJ836.7+GJ9751,TIC301880196,-,-,J21445+1446A,G0V+,BY*,326.1306,14.7719,21445+1446,,3.12,THE_VSINI
455,HD206860,Gaia DR3 1772187382746856320,HD206860,HIP107350,GJ836.7+GJ9751,TIC301880196,-,-,J21445+1446A,G0V+,BY*,326.1306,14.7719,21445+1446,15.8,,THE_YARARA
455,HD206860,Gaia DR3 1772187382746856320,HD206860,HIP107350,GJ836.7+GJ9751,TIC301880196,-,-,J21445+1446A,G0V+,BY*,326.1306,14.7719,21445+1446,,2.2,THE_stellar(RHK+Mamajek)
456,HD210483,Gaia DR3 1776388204359891712,HD210483,HIP109450,-,TIC258783637,-,-,-,G4,PM*,332.609,18.7971,-,,11.6,THE_stellar(RHK+Mamajek)
458,HD204277,Gaia DR3 1784061008815679232,HD204277,HIP105918,-,TIC268215639,-,-,-,F8V,PM*,321.7776,16.1242,-,,2.7,THE_stellar(RHK+Mamajek)
460,HD201891,Gaia DR3 1787990525934491776,HD201891,HIP104659,-,TIC230168635,-,-,-,G5V_Fe-2.5,Pe*,317.996,17.7277,-,,12.1,THE_stellar(RHK+Mamajek)
461,HD201545,Gaia DR3 1789231256087445120,HD201545,HIP104471,-,TIC257444121,-,-,-,F8V,*,317.4412,19.2107,-,,6.7,THE_stellar(RHK+Mamajek)
462,HD206374,Gaia DR3 1800378139330660992,HD206374,HIP107070,-,TIC248046660,-,-,-,G6.5V,PM*,325.2758,26.7507,-,,9.9,THE_stellar(RHK+Mamajek)
463,HD206332,Gaia DR3 1801257095797922048,HD206332,HIP107040,-,TIC248039969,-,-,-,G0V,PM*,325.1794,28.7557,-,,11.5,THE_stellar(RHK+Mamajek)
464,HD194012,Gaia DR3 1805044913356835328,HD194012,HIP100511,GJ789,TIC456398764,-,-,-,F7V,PM*,305.7182,14.5511,-,,4.6,THE_stellar(RHK+Mamajek)
464,HD194012,Gaia DR3 1805044913356835328,HD194012,HIP100511,GJ789,TIC456398764,-,-,-,F7V,PM*,305.7182,14.5511,-,,5.98,THE_VSINI
466,HD190067,Gaia DR3 1807953155988203264,HD190067,HIP98677,GJ775.1+GJ9681,TIC418189606,-,-,J20026+1536A,K0VFe-0.9,PM*,300.6423,15.5921,20026+1536,,24.7,THE_stellar(RHK+Mamajek)
467,HD191785,Gaia DR3 1809360187275432832,HD191785,HIP99452,GJ783.2A,TIC87216634,-,-,J20111+1611A,K0V,PM*,302.7753,16.188,20111+1611,,41.1,THE_stellar(RHK+Mamajek)
467,HD191785,Gaia DR3 1809360187275432832,HD191785,HIP99452,GJ783.2A,TIC87216634,-,-,J20111+1611A,K0V,PM*,302.7753,16.188,20111+1611,29.7,24.9,THE_YARARA
469,HD197076,Gaia DR3 1814241194252808704,HD197076,HIP102040,GJ797A,TIC330872058,-,-,J20408+1956A,G5V,PM*,310.1881,19.9355,20408+1956,5.3,,THE_rotation_periods
469,HD197076,Gaia DR3 1814241194252808704,HD197076,HIP102040,GJ797A,TIC330872058,-,-,J20408+1956A,G5V,PM*,310.1881,19.9355,20408+1956,,17.8,THE_stellar(RHK+Mamajek)
469,HD197076,Gaia DR3 1814241194252808704,HD197076,HIP102040,GJ797A,TIC330872058,-,-,J20408+1956A,G5V,PM*,310.1881,19.9355,20408+1956,8.0,,THE_YARARA
470,HD195019,Gaia DR3 1815418118373631360,HD195019,HIP100970,-,TIC210171104,-,-,J20283+1846A,G1V,PM*,307.0777,18.7695,20283+1846,,24.7,THE_stellar(RHK+Mamajek)
471,HD195034,Gaia DR3 1818697205647102720,HD195034,HIP100963,-,TIC210119810,-,-,-,G5,PM*,307.0492,22.129,-,,16.0,THE_stellar(RHK+Mamajek)
472,15Sge,Gaia DR3 1821708351374312064,HD190406,HIP98819,GJ779,TIC275240386,-,15Sge,J20041+1704A,G0V,PM*,301.0259,17.0702,20041+1704,,10.5,THE_stellar(RHK+Mamajek)
473,HD189733A,Gaia DR3 1827242816201846144,HD189733A,HIP98505,GJ4130,TIC256364928,-,-,J20007+2243A,K2V,BY*,300.1821,22.7109,20007+2243,,16.7,THE_stellar(RHK+Mamajek)
474,HD190404,Gaia DR3 1833199729671740800,HD190404,HIP98792,GJ778,TIC287947139,-,-,-,K1V,PM*,300.9672,23.3407,-,,47.1,THE_stellar(RHK+Mamajek)
474,HD190404,Gaia DR3 1833199729671740800,HD190404,HIP98792,GJ778,TIC287947139,-,-,-,K1V,PM*,300.9672,23.3407,-,24.6,58.0,THE_YARARA
475,HD189067,Gaia DR3 1834178638618346112,HD189067,HIP98206,-,TIC282283170,-,-,-,G2V,PM*,299.3324,24.0882,-,,14.6,THE_stellar(RHK+Mamajek)
476,HD200254,Gaia DR3 1837738822887425536,HD200254,HIP103784,-,TIC258531136,-,-,-,G5,PM*,315.4625,21.1054,-,,23.5,THE_stellar(RHK+Mamajek)
477,HD199598,Gaia DR3 1844639838900425472,HD199598,HIP103455,-,TIC247250544,-,-,J20577+2624AB,G0V,**,314.4153,26.4052,20577+2624,,9.5,THE_stellar(RHK+Mamajek)
479,HD202108,Gaia DR3 1852732141404704512,HD202108,HIP104733,-,TIC76957315,-,-,-,G3V,PM*,318.2401,30.8095,-,,13.2,THE_stellar(RHK+Mamajek)
480,HD197310,Gaia DR3 1870443315230650240,HD197310,-,-,TIC99896567,-,-,-,G0,PM*,310.4215,35.5457,-,,10.9,THE_stellar(RHK+Mamajek)
481,61CygB,Gaia DR3 1872046574983497216,HD201092,HIP104217,GJ820B,TIC165602023,-,61CygB,J21069+3845B,K7V,PM*,316.7303,38.742,21069+3845,12.4,37.1,THE_YARARA
481,61CygB,Gaia DR3 1872046574983497216,HD201092,HIP104217,GJ820B,TIC165602023,-,61CygB,J21069+3845B,K7V,PM*,316.7303,38.742,21069+3845,,44.7,THE_stellar(RHK+Mamajek)
482,61CygA,Gaia DR3 1872046609345556480,HD201091,HIP104214,GJ820A,TIC165602000,-,61CygA,J21069+3845A,K5V,BY*,316.7248,38.7494,21069+3845,,41.3,THE_stellar(RHK+Mamajek)
482,61CygA,Gaia DR3 1872046609345556480,HD201091,HIP104214,GJ820A,TIC165602000,-,61CygA,J21069+3845A,K5V,BY*,316.7248,38.7494,21069+3845,7.2,36.7,THE_YARARA
485,HD216631,Gaia DR3 1891174366442281728,HD216631,HIP113076,-,TIC188907228,-,-,-,F8,PM*,343.5085,34.1987,-,,11.5,THE_stellar(RHK+Mamajek)
486,HD210027,Gaia DR3 1891598193816300544,HD210027,HIP109176,GJ848,TIC357336603,-,24Peg+iotPeg+iotPegA+iotPegB,J22070+2521A,F5V,SB*,331.7528,25.3451,22070+2521,,9.0,THE_stellar(RHK+Mamajek)
486,HD210027,Gaia DR3 1891598193816300544,HD210027,HIP109176,GJ848,TIC357336603,-,24Peg+iotPeg+iotPegA+iotPegB,J22070+2521A,F5V,SB*,331.7528,25.3451,22070+2521,,7.63,THE_VSINI
487,HD208906,Gaia DR3 1896891139712235008,HD208906,HIP108490,-,TIC18032286,-,-,J21587+2949A,G0VmF2,PM*,329.6701,29.8126,21587+2949,,8.9,THE_stellar(RHK+Mamajek)
488,HD208313,Gaia DR3 1898230241798771584,HD208313,HIP108156,GJ840,TIC399897311,-,-,-,K1,BY*,328.6876,32.3286,-,,36.2,THE_stellar(RHK+Mamajek)
490,HD210667,Gaia DR3 1906647037667895424,HD210667,HIP109527,GJ850,TIC119514195,-,-,-,G9V,BY*,332.7996,36.2563,-,,14.6,THE_stellar(RHK+Mamajek)
490,HD210667,Gaia DR3 1906647037667895424,HD210667,HIP109527,GJ850,TIC119514195,-,-,-,G9V,BY*,332.7996,36.2563,-,,18.2,THE_YARARA
492,HD221757,Gaia DR3 1918953867019478144,HD221757,HIP116360,-,TIC333374017,-,-,J23347+3748AB,F8,SB*,353.6718,37.7999,23347+3748,,7.0,THE_VSINI
492,HD221757,Gaia DR3 1918953867019478144,HD221757,HIP116360,-,TIC333374017,-,-,J23347+3748AB,F8,SB*,353.6718,37.7999,23347+3748,,13.3,THE_stellar(RHK+Mamajek)
