,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,WDS(code),pmag,prot,origin
29,HD12661,Gaia DR3 105332908999068032,HD12661,HIP9683,-,TIC118268680,-,-,-,K0V,PM*,31.1429,25.4143,-,,25.6,THE_stellar(RHK+Mamajek)
30,HD14082A,Gaia DR3 107774202769886848,HD14082A,HIP10680,-,TIC118301925,-,-,J02174+2845A,F2,BY*,34.3554,28.745,02174+2845,,1.0,THE_stellar(RHK+Mamajek)
30,HD14082A,Gaia DR3 107774202769886848,HD14082A,HIP10680,-,TIC118301925,-,-,J02174+2845A,F2,BY*,34.3554,28.745,02174+2845,,5.25,THE_VSINI
31,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,03035+2304,,8.5,THE_stellar(RHK+Mamajek)
32,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,02482+2704,,7.5,THE_stellar(RHK+Mamajek)
33,51Ari,Gaia DR3 115311458058061440,HD18803,HIP14150,GJ120.2,TIC34691643,-,51Ari,-,G8V,PM*,45.6084,26.6092,-,5.0,,THE_rotation_periods
33,51Ari,Gaia DR3 115311458058061440,HD18803,HIP14150,GJ120.2,TIC34691643,-,51Ari,-,G8V,PM*,45.6084,26.6092,-,,20.8,THE_stellar(RHK+Mamajek)
34,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,02556+2652,,53.3,THE_stellar(RHK+Mamajek)
35,HD20367,Gaia DR3 122704230645584768,HD20367,HIP15323,-,TIC101349357,-,-,-,F8V,PM*,49.4169,31.127,-,,12.4,THE_stellar(RHK+Mamajek)
36,HD17674,Gaia DR3 129321160344480512,HD17674,HIP13291,-,TIC77490014,-,-,-,G0V,PM*,42.7679,30.2867,-,,12.1,THE_stellar(RHK+Mamajek)
37,HD16397,Gaia DR3 132922438878995968,HD16397,HIP12306,GJ9089,TIC73626552,-,-,-,G0V,PM*,39.6161,30.8166,-,,17.2,THE_stellar(RHK+Mamajek)
38,HD20209,Gaia DR3 138009810462247296,HD20209,HIP15205,-,TIC101261261,-,-,-,F5,PM*,49.0073,35.0452,-,,12.5,THE_stellar(RHK+Mamajek)
39,HD19308,Gaia DR3 138972467251590656,HD19308,HIP14532,-,TIC186807955,-,-,J03077+3637A,G0,PM*,46.9142,36.6176,03077+3637,,18.7,THE_stellar(RHK+Mamajek)
40,HD28483,Gaia DR3 144130516816579200,HD28483,HIP21008,-,TIC18372016,-,-,-,F6V,PM*,67.5749,19.8405,-,,3.7,THE_stellar(RHK+Mamajek)
40,HD28483,Gaia DR3 144130516816579200,HD28483,HIP21008,-,TIC18372016,-,-,-,F6V,PM*,67.5749,19.8405,-,,1.92,THE_VSINI
41,HD29150,Gaia DR3 144786577364287104,HD29150,HIP21436,-,TIC118553305,-,-,-,G5,*,69.0582,21.5365,-,,16.8,THE_stellar(RHK+Mamajek)
42,HD28676,Gaia DR3 144978858756826368,HD28676,HIP21158,-,TIC430314524,-,-,-,F5,*,68.0329,21.6324,-,,13.1,THE_stellar(RHK+Mamajek)
43,HD28033,Gaia DR3 145293181643038336,HD28033,HIP20712,-,TIC17418956,-,-,-,F8V,SB*,66.5771,21.4704,-,,9.1,THE_stellar(RHK+Mamajek)
44,HD27808,Gaia DR3 145373377272257664,HD27808,HIP20557,-,TIC17339628,-,-,-,F8V,PM*,66.0607,21.7362,-,,3.11,THE_VSINI
44,HD27808,Gaia DR3 145373377272257664,HD27808,HIP20557,-,TIC17339628,-,-,-,F8V,PM*,66.0607,21.7362,-,,2.9,THE_stellar(RHK+Mamajek)
45,HD29419,Gaia DR3 146677879098433152,HD29419,HIP21637,-,TIC118678954,-,-,-,G5V,PM*,69.7137,23.15,-,,4.5,THE_stellar(RHK+Mamajek)
46,HD26710,Gaia DR3 150694566874541824,HD26710,-,-,TIC56628845,-,-,-,G2V,PM*,63.6341,26.2559,-,,5.91,THE_VSINI
48,HD26161,Gaia DR3 169149766470219520,HD26161,HIP19428,-,TIC467753728,-,-,J04096+3139A,G0,PM*,62.4119,31.6521,04096+3139,,10.5,THE_stellar(RHK+Mamajek)
49,HD30708,Gaia DR3 174156255225869440,HD30708,HIP22576,-,TIC96211765,-,-,-,G5,PM*,72.8727,35.8151,-,,20.4,THE_stellar(RHK+Mamajek)
50,HD29645,Gaia DR3 175618983647633920,HD29645,HIP21847,-,TIC156157340,-,-,-,F9IV-V,PM*,70.4594,38.2802,-,,20.3,THE_stellar(RHK+Mamajek)
51,HD28620,Gaia DR3 178112641659509760,HD28620,HIP21167,-,TIC155401087,-,-,-,F5,*,68.0719,37.0432,-,,10.1,THE_stellar(RHK+Mamajek)
52,HD35681,Gaia DR3 182461725546788480,HD35681,HIP25580,-,TIC2944024,-,-,J05280+3346A,F7V,PM*,82.0039,33.7637,05280+3346,,4.5,THE_stellar(RHK+Mamajek)
53,HD33632,Gaia DR3 187247281185703296,HD33632,HIP24332,-,TIC187679739,-,-,J05133+3720A,F8V,PM*,78.3227,37.3373,05133+3720,,10.2,THE_stellar(RHK+Mamajek)
54,HD34411,Gaia DR3 188771135583573504,HD34411,HIP24813,GJ197,TIC409104974,-,15Aur+lamAur,J05191+4006A,G1.5IV-VFe-1,PM*,79.7853,40.0991,05191+4006,50.0,24.0,THE_rotation_periods
54,HD34411,Gaia DR3 188771135583573504,HD34411,HIP24813,GJ197,TIC409104974,-,15Aur+lamAur,J05191+4006A,G1.5IV-VFe-1,PM*,79.7853,40.0991,05191+4006,,15.1,THE_stellar(RHK+Mamajek)
57,HD29587,Gaia DR3 204358907633155840,HD29587,HIP21832,-,TIC391095065,-,-,-,G2V,SB*,70.4013,42.1184,-,,23.0,THE_stellar(RHK+Mamajek)
58,HD37008,Gaia DR3 215395053733297024,HD37008,HIP26505,GJ3358,TIC310872966,-,-,-,K1V,PM*,84.5494,51.4457,-,,42.9,THE_stellar(RHK+Mamajek)
60,HD37693,Gaia DR3 215599288018509824,HD37693,HIP26974,-,TIC311223680,-,-,-,G0,PM*,85.8619,52.4888,-,,17.1,THE_stellar(RHK+Mamajek)
63,HD21847,Gaia DR3 221991882981235072,HD21847,HIP16517,-,TIC90665203,-,-,J03327+3540AB,F8,**,53.1663,35.6593,03327+3540,,3.3,THE_stellar(RHK+Mamajek)
63,HD21847,Gaia DR3 221991882981235072,HD21847,HIP16517,-,TIC90665203,-,-,J03327+3540AB,F8,**,53.1663,35.6593,03327+3540,,3.16,THE_VSINI
