,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,nobs_EXPRES,Baseline,FWHM,vsini_EXPRES
0,HD19019,Gaia DR3 6963761190199424,HD19019,HIP14258,-,TIC365294034,-,-,J03038+0608A,G0V,PM*,45.9617,6.1333,0.0,,,
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,J03174+0739A,F8,PM*,49.3599,7.6558,0.0,,,
