,Rank,starname,V,Teff (K),log g,Δ,t_exp (s),rms (m/s),N_obs,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,Nobs tot,RV RMS tot
38,39.0,HD187923,6.16,5774.0,4.23,1.78,944.0,2.79,77.0,4.128,984.0,,12.0,51.0,,1.22,1.54,,1.05,63.0,1.664
39,40.0,HD168009,6.3,5808.0,4.33,3.54,808.0,4.5,34.0,4.126,1014.0,,31.0,59.0,,2.81,3.16,,2.98,90.0,2.873
40,41.0,HD48682,5.25,6039.0,4.27,2.63,862.0,3.7,43.0,4.124,,,,,,,,,,,
41,42.0,HD124292,7.05,5458.0,4.48,2.55,1094.0,3.0,35.0,4.121,,,,,,,,,,,
42,43.0,HD185414,6.73,5848.0,4.49,6.54,1046.0,5.0,60.0,4.12,,,,,,,,,,,
43,44.0,HD145958B,7.5,5343.0,4.46,5.34,1634.0,3.1,77.0,4.114,,,,,,,,,,,
44,45.0,HD99491,6.49,5438.0,4.4,2.68,724.0,4.5,125.0,4.105,,,,,,,,,,,
45,46.0,HD12846,6.89,5700.0,4.48,2.08,1078.0,2.9,69.0,4.097,,,,,,,,,,,
46,47.0,HD164922,6.99,5341.0,4.39,2.38,1000.0,3.4,158.0,4.085,,,,,,,,,,,
47,48.0,HD157347,6.3,5712.0,4.42,1.47,708.0,3.56,87.0,4.084,,,,,,,,,,,
48,49.0,HD149806,7.1,5275.0,4.42,3.58,1086.0,4.0,34.0,4.072,,,,,,,,,,,
49,50.0,HD170657,6.81,5040.0,4.54,3.19,778.0,5.15,43.0,4.058,1134.0,5.0,10.0,45.0,0.92,2.77,3.2,3.21,1.84,60.0,2.618
50,51.0,HD199960,6.21,5885.0,4.22,3.27,1032.0,4.16,25.0,4.055,,,,,,,,,,,
51,52.0,HD158633,6.44,5256.0,4.58,0.71,626.0,3.0,40.0,4.042,,,,,,,,,,,
52,53.0,HD166620,6.38,4970.0,4.51,0.71,536.0,3.4,67.0,4.04,1217.0,12.0,22.0,58.0,0.62,0.82,0.9,0.78,1.07,92.0,0.95
53,54.0,HD39881,6.6,5770.0,4.39,2.92,966.0,4.39,45.0,4.031,,,,,,,,,,,
54,55.0,HD176377,6.8,5877.0,4.52,2.4,1110.0,3.6,87.0,4.023,,,,,,,,,,,
55,56.0,HD33021,6.15,5786.0,4.21,2.78,994.0,4.26,23.0,4.023,,,,,,,,,,,
56,57.0,HD30708,6.78,5707.0,4.26,3.37,1212.0,3.98,16.0,4.021,,,,,,,,,,,
57,58.0,HD43947,6.61,5963.0,4.33,2.81,1164.0,3.8,39.0,4.016,,,,,,,,,,,
58,59.0,HD3651,5.88,5221.0,4.45,0.77,442.0,4.3,92.0,4.016,,,,,,,,,,,
59,60.0,HD1461,6.46,5739.0,4.34,0.87,854.0,2.77,251.0,4.012,,,,,,,,,,,
60,61.0,HD69830,5.95,5387.0,4.48,1.42,466.0,5.7,268.0,4.009,,,,,,,,,,,
61,62.0,HD221356,6.5,5987.0,4.31,3.12,1154.0,4.11,30.0,4.008,,,,,,,,,,,
62,63.0,HD56303,7.34,5917.0,4.3,2.77,2032.0,2.37,16.0,4.002,,,,,,,,,,,
63,64.0,HD1326,8.07,3567.0,4.89,1.52,1220.0,2.8,170.0,3.998,,,,,,,,,,,
64,65.0,HD12051,7.14,5412.0,4.38,0.97,1206.0,2.32,232.0,3.986,,,,,,,,,,,
65,66.0,HD58781,7.24,5582.0,4.37,2.77,1440.0,3.39,23.0,3.981,,,,,,,,,,,
66,67.0,HD44985,7.01,5983.0,4.36,3.38,1462.0,3.71,17.0,3.98,,,,,,,,,,,
67,68.0,HD18803,6.62,5648.0,4.45,2.47,874.0,5.0,113.0,3.975,,,,,,,,,,,
68,69.0,HD191785,7.34,5132.0,4.48,2.48,1296.0,3.61,56.0,3.97,,,,,,,,,,,
69,70.0,HD92719,6.79,5796.0,4.47,2.46,1066.0,4.27,66.0,3.97,,,,,,,,,,,
70,71.0,HD84737,5.1,5872.0,4.1,2.56,1300.0,3.7,46.0,3.965,,,,,,,,,,,
71,72.0,HD218868,7.0,5505.0,4.42,2.98,1074.0,4.8,78.0,3.958,,,,,,,,,,,
72,73.0,HD135101A,6.69,5677.0,4.2,2.93,1122.0,4.65,42.0,3.952,,,,,,,,,,,
73,74.0,HD37008,7.74,4979.0,4.53,2.11,1820.0,2.58,45.0,3.949,,,,,,,,,,,
74,75.0,HD34575,7.09,5551.0,4.25,2.34,1336.0,3.63,23.0,3.944,,,,,,,,,,,
75,76.0,HD84117,4.93,6128.0,4.26,3.24,902.0,6.04,55.0,3.94,,,,,,,,,,,
76,77.0,HD71479,7.17,5925.0,4.27,3.26,1790.0,3.33,16.0,3.94,,,,,,,,,,,
77,78.0,HD116443,7.35,5001.0,4.57,2.16,1266.0,3.71,92.0,3.938,,,,,,,,,,,
78,79.0,HD197076,6.45,5810.0,4.42,2.12,872.0,5.07,42.0,3.936,,,,,,,,,,,
79,80.0,HD151541,7.56,5309.0,4.5,1.81,1710.0,2.62,77.0,3.934,,,,,,,,,,,
80,81.0,HD190404,7.28,4960.0,4.59,2.91,1178.0,4.78,54.0,3.92,,,,,,,,,,,
81,82.0,HD132142,7.77,5145.0,4.55,1.96,1952.0,2.55,58.0,3.911,,,,,,,,,,,
82,83.0,HD42250,7.43,5357.0,4.43,3.24,1536.0,4.08,25.0,3.91,,,,,,,,,,,
83,84.0,HD159222,6.56,5780.0,4.41,2.86,976.0,5.8,88.0,3.902,,,,,,,,,,,
84,85.0,HD98281,7.29,5381.0,4.52,2.55,1338.0,4.17,68.0,3.901,,,,,,,,,,,
85,86.0,HD144585,6.32,5807.0,4.23,3.68,996.0,6.49,35.0,3.9,,,,,,,,,,,
86,87.0,HD145958A,7.43,5414.0,4.48,5.19,1564.0,5.2,84.0,3.9,,,,,,,,,,,
87,88.0,HD125455,7.58,5103.0,4.54,2.65,1606.0,3.65,45.0,3.898,,,,,,,,,,,
88,89.0,HD9562,5.75,3837.0,4.02,3.0,1678.0,3.78,30.0,3.892,,,,,,,,,,,
