,index,RA,DEC,PRIMARY,GAIA,HIP,HD,TIC,plx,pmra,pmdec,gmag,BP-RP,RV,spH1D,spH2D,spS1D,spS2D,teff,teff_err,logg,logg_err,feh,feh_err,vmic,vmic_err,vmac,vmac_err,vsini,vsini_err,instrument,gdr3_teff,gdr3_teff_err,gdrs3_logg,gdr3_logg_err,gdr3_feh,gdr3_feh_err,w1mag,w1mag_err,w2mag,w2mag_err,w3mag,w3mag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,bmag,bmag_err,vmag,vmag_err,U,U_err,V,V_err,W,W_err,LikeMemb,MembProb,simbad_Otype,PlanetHost,SB,A550,chisqSED,nptsSED,radius_SED,radius_SED_up,radius_SED_low,teff_SED,teff_SED_up,teff_SED_low,FiltFlag,goodFlag
851,2166,191.62851,-11.812442,HD111031,Gaia DR3 3529518709839090176,62345.0,111031,288529330.0,32.031,-279.627,46.791,6.723432,0.834593,-20.19,True,True,,,5794.0,101.0,4.38,0.1,0.27,0.04,1.1,0.04,3.97,0.25,0.0,0.0,HARPS,5619.1113,5.0908203,4.1855,0.0063996315,0.0048,0.0388,5.321,0.164,5.144,0.051,5.338,0.016,5.741,0.02,5.406,0.038,5.325,0.026,7.572,0.022,6.893,0.023,-44.4345822751554,0.162822095181894,-6.8253000218332,0.269267982266985,-12.1321836277499,0.388792615310168,ThinDisk,98.697199709225,HighPM*,,,0.0117962249,0.471972070148683,5.0,1.20772211726668,1.23862183,1.18492496,5790.0,5846.89795,5719.94434,False,True
852,2168,171.87599,-12.435957,HD99610,Gaia DR3 3562275841290443520,55900.0,99610,334895388.0,28.9879,-99.738,-45.061,7.247662,0.850509,22.83,,,,,5731.0,120.0,4.34,0.24,0.27,0.1,0.97,0.04,3.72,0.27,3.14,0.84,FIES,,,,,,,5.827,0.122,5.667,0.051,5.775,0.015,6.192,0.024,5.845,0.044,5.79,0.018,8.124,0.025,7.4,0.03,-9.76579539681595,0.0192690955820498,-26.534233979534,0.349938955933158,6.48876069128529,0.35667197650395,ThinDisk,98.7234727140293,SB*,,,0.0102424072,1.0493801322428,8.0,1.07966865653217,1.10800207,1.06577361,5720.0,5759.75146,5649.40967,False,True
853,2173,182.36888,-11.857072,HD105590A,Gaia DR3 3574377616021489024,59272.0,105590A,152854208.0,40.3351,313.876,-166.66,6.668261,0.820642,1.94,,,,,5764.0,116.0,4.4,0.23,0.03,0.09,1.09,0.04,4.13,0.27,2.31,0.99,FIES,,,,,,,4.462,0.365,4.338,0.132,5.09,0.012,5.646,0.02,5.379,0.026,5.271,0.024,7.45,0.022,6.578,0.023,41.3780539210678,0.0951979653307159,3.59439354176323,0.309184970910438,-4.81141040728004,0.381381682428045,ThinDisk,99.0402394990623,HighPM*,,,0.00879579969,0.786437324217003,5.0,0.980891805369492,1.00597382,0.962733269,5800.0,5850.85303,5734.39746,True,True
854,2177,180.18526,-10.44613,HD104304,Gaia DR3 3575733210781078016,58576.0,104304,152738837.0,78.3359,83.793,-482.006,5.355077,0.925529,-0.14,,,,,5583.0,244.0,4.54,0.35,0.22,0.16,1.11,0.14,3.29,0.4,1.97,1.65,FIES,,,,,,,3.79,0.361,3.61,0.255,3.921,0.027,4.557,0.228,4.07,0.208,4.027,0.26,6.301,0.02,5.551,0.023,17.999894695889,0.0727183970305273,-16.4493705607777,0.309864495667239,-16.7913951283821,0.385630710616955,ThinDisk,98.5630258625785,SB*,,,,,,,,,,,,,
855,2179,186.98122,-8.677997,HD108510,Gaia DR3 3579784327012046336,60816.0,108510,368438895.0,34.4121,-222.675,-36.47,6.619215,0.740274,4.87,,,,,,,,,,,,,,,,,,,,,,,,5.328,0.179,5.187,0.057,5.386,0.017,5.692,0.019,5.447,0.031,5.348,0.023,7.331,0.023,6.761,0.023,-22.9524393478987,0.116514535672371,-21.4439987849352,0.271933440719634,-1.80022585846878,0.403189722331349,ThinDisk,98.8795181999189,SB*,,,0.0103091123,0.325056554177909,5.0,1.08804917785332,1.10805762,1.05807292,6020.0,6097.3335,5965.95361,False,True
856,2185,174.66675,-13.20194,24Crt,Gaia DR3 3585098090614578688,56802.0,101198,40535161.0,37.245,91.849,125.335,5.357287,0.710318,-22.56,True,True,,,6049.0,242.0,3.5,0.21,-0.29,0.11,1.71,0.04,6.28,0.85,2.04,0.38,HARPS,,,,,,,4.138,0.331,3.708,0.244,4.157,0.014,4.791,0.256,4.336,0.214,4.146,0.036,5.975,0.022,5.489,0.023,0.667214240531926,0.0428382068049717,29.8620762606307,0.34485939303199,-2.81214941897225,0.359539043535807,ThinDisk,99.1186808391051,HighPM*,,,,,,,,,,,,,
857,2187,175.15245,-8.405659,HD101472,Gaia DR3 3591819100253606784,56960.0,101472,185260035.0,23.1628,-19.234,-13.148,7.30008,0.688168,-13.09,,,,,,,,,,,,,,,,,,,,,,,,6.101,0.092,5.971,0.039,6.114,0.015,6.457,0.029,6.15,0.038,6.139,0.017,7.931,0.027,7.41,0.03,-2.83479735539604,0.0264508851827874,4.92699935567473,0.316670285189017,-12.7189895509312,0.386047789672057,ThinDisk,99.1088346548161,SB*,,,0.0117568532,2.04053773214698,8.0,1.10890155088966,1.12854397,1.08778477,6210.0,6277.0127,6146.52148,False,True
858,2189,183.12018,-3.084475,HD106116,Gaia DR3 3598278250031419008,59532.0,106116,56812239.0,29.0398,-606.781,418.509,7.262896,0.852229,14.6,True,True,,,5729.0,243.0,4.2,0.19,0.18,0.08,1.13,0.04,3.8,0.53,2.0,0.38,HARPS,,,,,,,5.815,0.121,5.722,0.052,5.844,0.016,6.222,0.034,5.9,0.024,5.807,0.017,8.12,0.023,7.43,0.03,-116.838534990707,0.076375406014191,-4.99873398700788,0.254240181249648,31.8648262545002,0.42573573425237,ThinDisk,77.4113427397548,HighPM*,,,0.0105754863,0.144082824268949,5.0,1.06817123252685,1.09767807,1.05694222,5720.0,5750.42578,5646.65137,True,True
859,2192,178.7165,-1.4515157,HD103459,Gaia DR3 3602296587073060224,58093.0,103459,421194567.0,16.8885,130.643,-302.928,7.438845,0.834525,19.67,,,,,,,,,,,,,,,,,,,,,,,,5.975,0.119,5.892,0.04,6.042,0.015,6.39,0.026,6.092,0.031,6.075,0.067,8.278,0.025,7.6,0.03,74.1220529820504,0.0496867619917778,-56.6965011455323,0.262753626626301,-15.9085409213821,0.426044436150288,ThinDisk,86.4384217103841,HighPM*,,,0.0144142313,0.430295247989334,5.0,1.66609602912589,1.72569203,1.63571298,5760.0,5809.55615,5664.89307,False,True
860,2193,206.18584,-14.225181,HD119638,Gaia DR3 3606091998132474752,67069.0,119638,290058172.0,29.663,-0.362,-173.607,6.772208,0.712744,18.92,True,True,,,5974.0,100.0,3.51,0.12,-0.15,0.08,1.35,0.07,5.7,0.32,0.0,0.0,HARPS,,,,,,,5.518,0.141,5.402,0.051,5.58,0.015,5.868,0.02,5.63,0.051,5.525,0.026,7.438,0.025,6.924,0.023,20.2588058437719,0.270464300952384,-26.419463490662,0.211276573012245,-4.39409542295972,0.363735977821317,ThinDisk,98.7062233132087,HighPM*,,,0.0174281504,2.59669557651628,8.0,1.12207702787285,1.14770615,1.10090876,6170.0,6233.04248,6094.76074,False,True
861,2198,208.74251,-8.058845,HD121325A,Gaia DR3 3618910139048607616,67953.0,121325A,2620618.0,28.9235,-172.989,-33.489,6.511855,0.648302,-13.52,,,,,,,,,,,,,,,,,,,,,,,,4.822,0.236,4.62,0.097,4.89,0.014,5.361,0.035,5.143,0.027,5.084,0.027,7.106,0.027,6.205,0.023,-25.8580961449313,0.266006778155064,-17.366718081465,0.160763844103751,-6.8211801482001,0.391791326644598,ThinDisk,98.8946903683624,HighPM*,,,,,,,,,,,,,
862,2199,208.74352,-8.058985,HD121325B,Gaia DR3 3618910139048607744,,121325B,2620617.0,28.9346,-169.086,-44.686,7.226175,0.766386,-13.97,,,,,5951.0,254.0,4.57,0.32,0.18,0.48,1.11,0.03,5.13,0.85,13.3,1.3,FIES,,,,,,,4.822,0.236,4.62,0.097,4.89,0.014,6.745,,6.933,,5.112,0.044,7.08,0.0,7.344,0.046,-24.8580471583401,0.266003619536234,-18.1116507323541,0.16077372713235,-8.37898025064159,0.391787334085163,ThinDisk,98.8464735469135,HighPM*,,,,,,,,,,,,,
863,2203,198.73216,-11.369408,HD115080,Gaia DR3 3621929501058107264,64638.0,115080,952818275.0,26.187,-194.013,-313.17,7.01848,0.857568,,,,,,5672.0,103.0,4.22,0.12,-0.16,0.12,0.96,0.06,0.0,0.21,5.21,0.29,FEROS,,,,,,,5.22,0.295,5.185,0.064,5.355,0.015,5.746,0.021,5.415,0.029,5.31,0.018,0.0,0.0,7.078,0.046,,0.211026704969661,,0.233758099169673,,0.389204275994828,,,**,,,0.0150713585,0.456122050235356,5.0,1.52472125710871,1.54805267,1.4894731,5570.0,5629.84619,5529.08057,True,True
864,2206,194.7565,-9.834078,HD112758,Gaia DR3 3626268998574790656,63366.0,112758,319462683.0,49.8263,-824.458,195.008,7.326254,1.004977,4.59,,,,,5130.0,165.0,4.38,0.24,-0.49,0.18,1.11,0.08,3.57,0.11,0.0,0.0,FIES,,,,,,,5.463,0.178,5.37,0.055,5.504,0.015,6.04,0.024,5.597,0.036,5.529,0.021,8.356,0.025,7.54,0.03,-71.4568791320313,0.178035059818026,-33.4364421047651,0.243203471664522,17.1423200225908,0.399273201105978,ThinDisk,95.0397525576195,**,,,0.00890253671,0.15803321452741,5.0,0.764372677723967,0.776603937,0.743477285,5170.0,5230.38086,5133.97314,False,False
865,2207,203.29713,-8.443348,HD117860,Gaia DR3 3630099250409312640,66115.0,117860,619444.0,29.8574,-238.242,47.463,7.194612,0.78469,-9.75,,,,,5815.0,122.0,4.38,0.1,-0.03,0.11,1.09,0.06,4.41,0.31,3.28,0.08,UVES,,,,,,,5.813,0.123,5.756,0.045,5.881,0.015,6.231,0.019,5.959,0.042,5.869,0.027,7.912,0.0,7.35,0.03,-37.1847036547779,0.231859901814823,-13.8828728972379,0.192062831966303,2.6836776964211,0.399405514394385,ThinDisk,98.9121314781564,HighPM*,,,0.0150491875,0.172904096532957,5.0,0.998130494621031,1.02503991,0.976322532,5920.0,5980.47656,5848.29932,False,True
