,period,HD145675,HD95128,HD75732,HD1326,HD114783,HD115404A,HD12235,HD12661,HD128311,HD141399,HD1461,HD155358,HD164922,HD168443,HD18143A,HD190360,HD217107,HD219134,HD24040,HD25463,HD37124,HD69830,HD72659,HD73344,HD74156,HD7924,HD82943,HD92788,HD99492,HD143761,HD9826,HD222155,HD220773,HD217014,HD210277,HD197037,HD196885A,HD195019,HD190007,HD189733A,HD186427,HD185269,HD184960,HD168009,HD164595,HD162004,HD155193,HD155060,HD154345,HD150706,HD149806A,HD143105,HD141004,HD136118,HD120136,HD120066,HD111998,HD106252,HD103774,HD97037,HD89307,HD88986,HD88072,HD87883,HD86728,HD79211,HD52265,HD50554,HD42618,HD40979,HD33564,HD32963,HD31253,HD30562,HD26161,HD23596,HD22049,HD19994,HD17674,HD16232,HD16175,HD16141,HD13931,HD11505,HD8673A,HD8574,HD7449A,HD3765,HD3651
0,60.0,0.0,0.6001802980899811,0.0,0.8208171616901051,0.8137517219240016,0.1227465793490408,0.2736021957614205,0.0,0.0,0.0,0.5043174245140769,0.0,0.0,0.0,0.0776522234082221,0.2287402376532554,0.7272781892256304,0.4216782247478312,0.8416894674301147,0.9172430634498596,0.0,0.7219482064247131,0.0,0.0,0.0,0.0277734685011884,0.0,0.1926644200628454,0.9186835153536363,0.033806208690459,0.0809744223952293,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
1,63.43434343434343,0.0,0.57985500636896,0.0,0.8146534851261011,0.8157309126766941,0.1499711398488892,0.2785098368283101,0.0,0.0,0.0,0.5135350066951276,0.0,0.0,0.0,0.0720259291080408,0.2334765895117189,0.7520707135186044,0.4971236262668821,0.8397276099460992,0.9183983917405434,0.0,0.7040912712325724,0.0013420101456901,0.0,0.0,0.0376927413394414,0.0,0.2014630689626636,0.8943259318994249,0.2453544969743388,0.1309508106691434,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
2,66.86868686868686,0.0,0.576879342487157,0.0,0.8167901685473895,0.807001888081404,0.1706658198636159,0.287166175893025,0.0,0.0,0.0,0.5083484982667582,0.0,0.0360835121288549,0.0,0.087432851234435,0.2407731515813884,0.7592428667405543,0.4406934716485929,0.8390337849060068,0.917906691716359,0.0,0.7343793698131604,0.0023755609673286,0.0,0.0,0.044219713221015,0.0,0.1910336631980298,0.8699660864059513,0.4500264848681737,0.1380025258421883,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
3,70.3030303030303,0.0,0.5819595275341677,0.0,0.8158005497650525,0.7961303836042102,0.183759244501737,0.2874571204146819,0.0,0.0,0.0,0.5040701091509043,0.0,0.0731632667654889,0.0,0.1070807932745584,0.2498650920030985,0.7595184766945648,0.376289802885025,0.8306802293397404,0.918586257524056,0.0,0.7397814404030993,0.0012574416808162,0.0,0.0,0.04924708607676,0.0,0.1613053819628323,0.666089226081376,0.5636232638512991,0.15139450566042,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0
4,73.73737373737373,0.0,0.586859498272319,0.0,0.8143810024218929,0.7942737893769787,0.1955665747231034,0.2920669128598451,0.0,0.0,0.0,0.5020379362040897,0.0,0.1124780999346048,0.0,0.1217216823175863,0.2614269010284386,0.7579933632819421,0.2612630319520624,0.821679765547783,0.917654289764972,0.0,0.7381778271065614,0.0,0.0099933722737903,0.0,0.0533136623253802,0.0,0.0755727330130992,0.4586130402680973,0.3754250685789642,0.1625708674547913,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0
5,77.17171717171718,0.0,0.5933735009880808,0.0,0.8156448083640544,0.7925964458369017,0.2137412148511593,0.3004297291604307,0.0,0.0,0.0,0.5014429090645165,0.0,0.1358901973621453,0.0,0.1342854988305902,0.2711344000082715,0.7578082313050724,0.1675590016924131,0.810517193900743,0.9172430634498596,0.0,0.7430708539338391,0.0,0.0229411983922147,0.0,0.0518574166565461,0.0,0.0690216679902173,0.2646777579624639,0.1872268733066285,0.1543445694976206,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0
6,80.60606060606061,0.0,0.5996076084532487,0.0,0.8149675200013922,0.7929310641015493,0.2297079441517721,0.3075654346854087,0.0,0.0,0.0,0.5087805785993398,0.0,0.1311748198043049,0.0,0.148506824305019,0.2788959522103748,0.755674680775684,0.0665924110755022,0.7984784228140687,0.9172430634498596,0.0,0.7485514890779534,0.0,0.0413686242982024,0.0,0.0465481123741134,0.0,0.07028368255586,0.0799791733835688,0.1227129510878284,0.1497129688051346,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0
7,84.04040404040404,0.0,0.6013655521328956,0.0,0.8143234225577519,0.7862481489912914,0.2391810632849554,0.3153757878083393,0.0,0.0,0.0,0.5165112224115969,0.0,0.0817971870235944,0.0,0.1657058792814576,0.282116747153128,0.7610571688378326,0.028834038467835,0.7918777135652942,0.9172430634498596,0.0,0.7496004434003453,0.0,0.0569323132032054,0.0,0.0464636418472737,0.0,0.0620708877340617,0.0246176077686018,0.1144739145161771,0.1443050625960445,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0
8,87.47474747474747,0.0,0.6025455142447855,0.0,0.8142384448723364,0.7830751761718042,0.2519452016441691,0.3201338842006997,0.0,0.0,0.0,0.513361256691332,0.0,0.0147934156264132,0.0,0.1771501078910778,0.2966784698288337,0.7655337709994593,0.0014544088363177,0.784652990038631,0.9171962207355786,0.0,0.7472955624451745,0.0,0.071681120215962,0.0,0.0576335292249044,0.0,0.0515991737491163,0.0085666041286884,0.0685219822349955,0.1365298515375723,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0
9,90.9090909090909,0.0,0.5945471928091601,0.0,0.8149165798714881,0.7739334538675657,0.2799298965700993,0.3256996750187432,0.0,0.0,0.0,0.5191232638736595,0.0,0.034517902270399,0.0,0.1945119458182509,0.3110925204599232,0.7581212788019489,0.0,0.7787912477292358,0.9177269311055148,0.0,0.7363050247179279,0.0,0.1157214159676047,0.0,0.0721284236884536,0.0,0.040440292991959,0.0095848413959585,0.0356407666632047,0.1245184944373131,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0
