,GAIA,HD,name,method,year,period,radius,mass,k,ecc,peri,Tp,T0,Tc,i,MP_stability
70,Gaia DR3 1709456705329541504,HD150706,HD 150706 b,Radial Velocity,2012,9497.0,,816.8015,31.1,0.5835,108.0,2464641.5,,2464538.83,70.0,100.0
71,Gaia DR3 1754430373040023168,HD196885A,HD 196885 A b,Radial Velocity,2007,1333.0,,940.74,47.19,0.48,91.4,2451614.0,,2451612.4,,48.0
72,Gaia DR3 1772187382746856320,HD206860,HN Peg b,Imaging,2006,,11.7768,6991.57,,,,,,,,
73,Gaia DR3 1815418118373631360,HD195019,HD 195019 b,Radial Velocity,1998,18.2013,,1166.39,272.3,0.014,229.0,2451015.5,2453356.428,2453356.43,,100.0
74,Gaia DR3 1827242816201846144,HD189733A,HD 189733 b,Radial Velocity,2005,2.2186,12.7671,365.49,205.0,0.0,90.0,2457929.288,2454403.6777,2454403.68,85.71,100.0
75,Gaia DR3 1943363751009454976,HD222155,HD 222155 b,Radial Velocity,2011,3999.0,,603.85,24.2,0.16,150.0,2456553.5,,2456052.81,68.0,100.0
76,Gaia DR3 2009481748875806976,HD219134,HD 219134 b,Radial Velocity,2015,3.0929,1.5675,4.2339,2.19,0.01,0.0,2449999.5,2457910.7584,2457910.76,85.05,55.4
77,Gaia DR3 2009481748875806976,HD219134,HD 219134 c,Radial Velocity,2015,6.7648,1.507,3.5279,1.42,0.071,6.3,2449998.5,2458120.1076,2458120.11,87.292,55.4
78,Gaia DR3 2009481748875806976,HD219134,HD 219134 d,Radial Velocity,2015,46.722,1.61,16.285,3.385,0.1075,74.0,2449964.0,2455208.44,2455208.44,,55.4
79,Gaia DR3 2009481748875806976,HD219134,HD 219134 f,Radial Velocity,2015,22.7945,1.31,7.7232,2.05,0.072,10.0,2449983.0,2455233.17,2455233.17,,55.4
80,Gaia DR3 2009481748875806976,HD219134,HD 219134 g,Radial Velocity,2015,94.2,,10.8062,1.8,0.0,0.0,2449972.0,,2449995.55,,55.4
81,Gaia DR3 2009481748875806976,HD219134,HD 219134 h,Radial Velocity,2015,2125.0,,87.0852,5.39,0.06,96.0,2448805.482,2456761.0,2456761.0,,55.4
82,Gaia DR3 2029433521248546304,HD190360,HD 190360 b,Radial Velocity,2003,2891.6,,476.2605,23.22,0.3337,14.7,2450696.15,2456758.0,2456758.0,80.2,51.9
83,Gaia DR3 2029433521248546304,HD190360,HD 190360 c,Radial Velocity,2005,17.114,,19.6745,5.02,0.136,79.35,2454390.0,2455198.42,2455198.42,,51.9
84,Gaia DR3 2031479093959232128,HD185269,HD 185269 b,Radial Velocity,2006,6.8379,,324.1792,92.15,0.2645,174.6,2453154.2014,,2453153.15,,100.0
85,Gaia DR3 2066437688140905600,HD197037,HD 197037 b,Radial Velocity,2012,1035.7,,251.0,15.5,0.22,298.0,2451353.1,,2451750.69,,100.0
86,Gaia DR3 2115351387048328832,HD168009,HD 168009 b,Radial Velocity,2021,15.1479,,9.5349,2.53,0.12,13.178,,2455201.56,2455201.56,,100.0
87,Gaia DR3 2135550755683407232,HD186427,16 Cyg B b,Radial Velocity,1996,799.45,,533.9544,50.5,0.681,83.3,2448940.3,2456937.32,2456937.32,,0.0
88,Gaia DR3 2136027771930903808,HD184960,DMPP-4 b,Radial Velocity,2023,3.4982,,12.2,4.43,0.063,200.0,,2457139.9,2457139.9,,100.0
89,Gaia DR3 2299942278201276288,HD216520,HD 216520 b,Radial Velocity,2020,35.458,,10.3106,2.35,0.14,85.475,,2455216.8,2455216.8,,
90,Gaia DR3 2299942278201276288,HD216520,HD 216520 c,Radial Velocity,2020,154.43,,9.44,1.29,0.12,198.12,,,,,
91,Gaia DR3 2430102808294101760,HD1461,HD 1461 b,Radial Velocity,2010,5.7721,,7.1054,2.3,0.15,24.0,2450366.936,2455839.37,2455839.37,,46.5
92,Gaia DR3 2430102808294101760,HD1461,HD 1461 c,Radial Velocity,2015,13.5046,,6.3229,1.685,0.2075,22.0,,2455200.11,2455200.11,,46.5
93,Gaia DR3 2482820714353923072,HD7449A,HD 7449 b,Radial Velocity,2011,1270.552,,352.776,30.023,0.82,24.45,2454020.4594,,2454036.75,171.631,0.0
94,Gaia DR3 2495335115182966016,HD16141,HD 16141 b,Radial Velocity,2000,75.523,,82.6,11.76,0.25,51.1,2450338.1,2451932.3,2451932.3,,69.0
95,Gaia DR3 2505825177666430592,HD11505,HD 11505 b,Radial Velocity,2022,32669.2225,,2510.5266,49.449,0.144,62.477,2445917.145,,2447784.47,87.505,100.0
96,Gaia DR3 2511794495013074048,HD12235,HD 12235 b,Radial Velocity,2022,4.363,,10.4883,4.157,0.376,279.492,2447046.366,,2447048.31,,51.7
97,Gaia DR3 2511794495013074048,HD12235,HD 12235 c,Radial Velocity,2022,36336.7068,,3135.6951,42.503,0.174,79.772,2411054.478,,2411770.87,47.738,51.7
98,Gaia DR3 2619706544757416192,HD210277,HD 210277 b,Radial Velocity,1998,442.19,,406.81,38.94,0.472,118.65,2450988.68,2457177.69,2457177.69,,7.0
99,Gaia DR3 2648914040357320576,HD217107,HD 217107 b,Radial Velocity,1998,7.1269,,437.8012,140.45,0.1291,22.7,2452193.7037,2456306.847,2456306.85,,86.0
100,Gaia DR3 2648914040357320576,HD217107,HD 217107 c,Radial Velocity,2005,4705.5,,1098.0802,46.44,0.4549,181.3,2450921.0,2460064.0,2460064.0,,86.0
101,Gaia DR3 2761142326076104192,HD220773,HD 220773 b,Radial Velocity,2011,3724.7,,460.8,20.0,0.51,259.0,2453866.4,,2452301.95,,100.0
102,Gaia DR3 2802397960855105920,HD3651,HD 3651 b,Radial Velocity,2003,62.218,,72.1,15.9,0.618,242.5,2453932.2,2455098.9,2455098.9,,57.0
103,Gaia DR3 2835207319109249920,HD217014,51 Peg b,Radial Velocity,1995,4.2308,,148.738,55.94,0.0,3.0,2452497.0,2455705.001,2455705.0,80.0,100.0
104,Gaia DR3 3009908378049913216,HD35850,AF Lep b,Imaging,2023,8030.0,,1366.6622,,0.32,128.2,2456328.0,2456700.0,2456700.0,82.0,
105,Gaia DR3 3073443760538892032,HD72659,HD 72659 b,Radial Velocity,2002,3559.6993,,975.7158,41.0,0.253,259.451,2451694.7303,2457164.0,2457164.0,77.583,0.0
106,Gaia DR3 3073443760538892032,HD72659,HD 72659 c,Radial Velocity,2022,18207.721,,5977.081,33.871,0.091,256.504,2448049.585,,2439760.08,14.279,0.0
107,Gaia DR3 3101382419728401408,HD52265,HD 52265 b,Radial Velocity,2000,119.28,,355.5769,42.1,0.305,211.0,2451302.7,2456393.46,2456393.46,,25.0
108,Gaia DR3 3188395880157173120,HD30562,HD 30562 b,Radial Velocity,2009,1157.0,,423.1814,33.7,0.76,78.4,2453602.5,,2453605.82,65.0,0.0
