,code,star,ins,drs,pipeline,yvx,ra,dec,teff,logg,feh,mhk,mhk_err,rhk,rhk_err,fwhm_ins,fwhm_g2,fwhm_garfield,fwhm_kitty,vsini,sb1,sb2,IF_SPEC,IF_CCF
582,HD184960_SOPHIE_1.0_Snaky,HD184960,SOPHIE,1.0,Snaky,YV0,293.582458,51.236611,6220.0,4.17,-0.12,-6.8,13.93,-5.07,0.178,4.15,12.96,10.72,9.97,6.45,0.0,0.0,1,1
583,HD184962_SOPHIE_1.0_Snaky,HD184962,SOPHIE,1.0,Snaky,YV0,294.095833,15.892306,6057.0,4.37,0.01,86.9,65.13,-4.54,0.23,4.64,17.98,8.07,7.42,3.73,1.0,0.0,1,1
584,HD185144_HARPN_3.0.1_Snaky,HD185144,HARPN,3.0.1,Snaky,YV0,293.089959,69.661176,5274.0,4.5,-0.2,11.7,3.36,-4.88,0.028,3.12,6.74,5.24,4.88,0.52,0.0,0.0,1,1
585,HD185144_NEID_1.0_Snaky,HD185144,NEID,1.0,Snaky,YV0,293.09736,69.653693,5282.0,4.51,-0.24,10.6,2.52,-4.89,0.021,2.87,6.83,5.27,4.9,0.47,0.0,0.0,1,1
586,HD185720_CORALIE07_3.4_Snaky,HD185720,CORALIE07,3.4,Snaky,YV0,295.188011,-7.512345,6210.0,4.07,0.16,6.7,24.32,-5.05,0.243,5.33,19.51,17.84,17.09,12.74,0.0,0.0,1,1
587,HD185720_CORALIE14_3.8_Snaky,HD185720,CORALIE14,3.8,Snaky,YV0,295.188011,-7.512345,6169.0,4.06,0.2,46.7,56.14,-4.91,0.31,4.67,19.56,17.59,17.08,12.62,0.0,0.0,1,1
588,HD186104_SOPHIE_1.0_Snaky,HD186104,SOPHIE,1.0,Snaky,YV0,295.624,1.5865,5662.0,4.28,0.13,-15.5,32.14,-5.6,0.512,4.25,7.77,6.41,6.05,1.47,0.0,0.0,1,1
589,HD186257_SOPHIE_1.0_Snaky,HD186257,SOPHIE,1.0,Snaky,YV0,295.489167,36.225694,6291.0,4.27,-0.47,-13.6,52.73,-5.44,0.46,3.5,13.0,10.6,9.81,6.24,0.0,0.0,1,1
590,HD186408_HARPN_3.0.1_Snaky,HD186408,HARPN,3.0.1,Snaky,YV0,295.453972,50.525061,5749.0,4.23,0.08,1.6,11.84,-4.98,0.122,3.1,7.67,6.33,5.98,2.42,0.0,0.0,1,1
591,HD186408_NEID_1.0_Snaky,HD186408,NEID,1.0,Snaky,YV0,295.45297,50.524376,5791.0,4.3,0.09,0.8,4.6,-4.98,0.048,3.22,7.73,6.37,6.0,2.36,0.0,0.0,1,1
592,HD186408_SOPHIE-HE_1.0_Snaky,HD186408,SOPHIE-HE,1.0,Snaky,YV0,295.453958,50.525056,5781.0,4.36,0.08,,,,,7.87,9.95,8.4,7.88,0.21,0.0,0.0,0,1
593,HD186427_HARPN_3.0.1_Snaky,HD186427,HARPN,3.0.1,Snaky,YV0,295.466553,50.517525,5760.0,4.34,0.08,2.1,11.98,-4.97,0.122,3.1,7.38,6.03,5.71,1.9,0.0,0.0,1,1
594,HD186427_NEID_1.0_Snaky,HD186427,NEID,1.0,Snaky,YV0,295.465642,50.516824,5755.0,4.35,0.05,1.1,7.77,-4.97,0.073,3.25,7.45,6.02,5.67,1.72,0.0,0.0,1,1
595,HD186704_HARPS03_3.3.6_Snaky,HD186704,HARPS03,3.3.6,Snaky,YV0,,,,,,,,,,3.35,,,,,,,0,0
596,HD186704_HARPS15_3.3.6_Snaky,HD186704,HARPS15,3.3.6,Snaky,YV0,296.488919,4.248457,5864.0,4.45,0.02,154.0,15.19,-4.31,0.034,3.6,22.31,20.97,20.29,16.62,0.0,0.0,1,1
597,HD186704_SOPHIE_1.0_Snaky,HD186704,SOPHIE,1.0,Snaky,YV0,296.4875,4.248611,5876.0,4.44,0.02,159.6,37.81,-4.29,0.089,4.13,22.51,21.21,20.74,16.46,0.0,0.0,1,1
598,HD187013_SOPHIE_1.0_Snaky,HD187013,SOPHIE,1.0,Snaky,YV0,296.606667,33.728694,6255.0,4.18,-0.13,-1.5,27.12,-5.0,0.248,4.09,14.7,11.96,11.07,9.09,0.0,0.0,1,1
599,HD187160_HARPN_3.0.1_Snaky,HD187160,HARPN,3.0.1,Snaky,YV0,296.672255,44.3485,5915.0,4.43,-0.09,28.3,19.13,-4.78,0.122,3.16,11.24,9.79,9.27,7.66,0.0,0.0,1,1
600,HD187160_SOPHIE_1.0_Snaky,HD187160,SOPHIE,1.0,Snaky,YV0,296.671667,44.348528,5958.0,4.4,-0.43,21.3,26.79,-4.8,0.182,3.86,9.06,7.99,7.53,5.63,1.0,1.0,1,1
601,HD187237_SOPHIE_1.0_Snaky,HD187237,SOPHIE,1.0,Snaky,YV0,297.003333,27.869528,5725.0,4.4,0.0,23.8,6.84,-4.79,0.048,4.11,8.25,6.9,6.48,2.23,0.0,0.0,1,1
602,HD187462_SOPHIE_1.0_Snaky,HD187462,SOPHIE,1.0,Snaky,YV0,297.285667,27.731667,5872.0,4.2,0.09,-7.2,59.09,-5.57,0.549,4.18,8.36,7.05,6.7,2.78,0.0,0.0,1,1
