,code,star,ins,drs,pipeline,yvx,ra,dec,teff,logg,feh,mhk,mhk_err,rhk,rhk_err,fwhm_ins,fwhm_g2,fwhm_garfield,fwhm_kitty,vsini,sb1,sb2,IF_SPEC,IF_CCF
0,HD100067_SOPHIE_1.0_Snaky,HD100067,SOPHIE,1.0,Snaky,YV0,172.755,32.316611,6130.0,4.26,-0.32,-5.3,39.13,-5.3,0.48,2.9,9.94,8.58,8.01,4.37,0.0,0.0,1,1
1,HD10008_CORALIE14_3.8_Snaky,HD10008,CORALIE14,3.8,Snaky,YV0,24.397778,-6.760425,5370.0,4.52,-0.01,112.8,35.88,-4.41,0.113,4.54,8.51,6.78,6.28,0.97,1.0,0.0,1,1
2,HD10008_HARPS03_3.3.6_Snaky,HD10008,HARPS03,3.3.6,Snaky,YV0,24.397778,-6.760425,5300.0,4.52,-0.05,110.4,4.48,-4.42,0.013,3.31,7.44,5.81,5.36,1.24,0.0,0.0,1,1
3,HD10008_HARPS03_3.5_Snaky,HD10008,HARPS03,3.5,Snaky,YV0,24.397778,-6.760425,5311.0,4.53,-0.04,108.5,7.92,-4.42,0.023,3.27,7.43,5.79,5.34,1.2,0.0,0.0,1,1
4,HD10008_HARPS15_3.3.6_Snaky,HD10008,HARPS15,3.3.6,Snaky,YV0,24.397778,-6.760425,5348.0,4.53,-0.0,119.0,7.57,-4.39,0.021,3.43,7.44,5.81,5.36,1.15,0.0,0.0,1,1
5,HD10008_SOPHIE_1.0_Snaky,HD10008,SOPHIE,1.0,Snaky,YV0,24.397562,-6.760306,5391.0,4.51,0.0,120.1,54.89,-4.4,0.187,4.84,7.98,6.34,5.87,1.05,0.0,0.0,1,1
6,HD100167_SOPHIE_1.0_Snaky,HD100167,SOPHIE,1.0,Snaky,YV0,172.974792,41.439194,5861.0,4.39,-0.0,36.1,22.38,-4.72,0.128,4.43,8.7,7.34,6.91,2.98,0.0,1.0,1,1
7,HD100339_SOPHIE_1.0_Snaky,HD100339,SOPHIE,1.0,Snaky,YV0,173.207083,18.002306,6174.0,4.28,-0.12,-34.9,74.07,-5.93,0.547,4.22,12.68,10.38,9.73,6.26,0.0,0.0,1,1
8,HD100446_SOPHIE_1.0_Snaky,HD100446,SOPHIE,1.0,Snaky,YV0,173.529583,65.242528,6028.0,4.3,-0.42,-14.8,47.67,-5.19,0.409,4.25,7.76,6.68,6.41,1.54,0.0,0.0,1,1
9,HD100563_HARPS03_3.3.6_Snaky,HD100563,HARPS03,3.3.6,Snaky,YV0,173.591454,3.060165,6329.0,4.2,0.08,15.3,3.6,-4.85,0.028,3.27,21.12,19.4,18.48,14.36,0.0,0.0,1,1
10,HD100563_HARPS15_3.3.6_Snaky,HD100563,HARPS15,3.3.6,Snaky,YV0,173.591454,3.060165,6391.0,4.2,0.07,18.2,25.95,-4.91,0.201,3.44,21.16,19.38,18.25,14.12,0.0,0.0,1,1
11,HD101_SOPHIE_1.0_Snaky,HD101,SOPHIE,1.0,Snaky,YV0,1.477917,18.235,5919.0,4.39,-0.23,2.8,17.87,-4.96,0.199,4.15,8.01,6.81,6.45,2.02,0.0,0.0,1,1
12,HD101198_HARPS03_3.3.6_Snaky,HD101198,HARPS03,3.3.6,Snaky,YV0,174.666742,-13.201939,6238.0,4.08,-0.14,-3.2,2.53,-5.02,0.029,3.32,8.48,7.28,6.87,3.89,0.0,0.0,1,1
13,HD101198_HARPS03_3.5_Snaky,HD101198,HARPS03,3.5,Snaky,YV0,174.666742,-13.201939,6238.0,4.08,-0.14,-3.3,2.24,-5.02,0.026,3.28,8.47,7.27,6.87,3.06,0.0,0.0,1,1
14,HD101242_SOPHIE_1.0_Snaky,HD101242,SOPHIE,1.0,Snaky,YV0,174.754167,6.057889,5735.0,4.45,-0.01,32.1,22.18,-4.73,0.131,4.23,8.13,6.76,6.35,1.91,0.0,0.0,1,1
15,HD101472_CORALIE07_3.4_Snaky,HD101472,CORALIE07,3.4,Snaky,YV0,175.152451,-8.405658,3836.0,5.0,0.0,,,,,7.15,10.59,9.47,9.35,6.29,0.0,0.0,1,1
16,HD101472_CORALIE14_3.8_Snaky,HD101472,CORALIE14,3.8,Snaky,YV0,175.152451,-8.405658,6039.0,4.33,-0.12,93.9,35.76,-4.47,0.122,3.75,10.5,8.81,8.26,4.51,0.0,1.0,1,1
17,HD101501_SOPHIE_1.0_Snaky,HD101501,SOPHIE,1.0,Snaky,YV0,175.2625,34.201639,5586.0,4.47,0.02,80.4,10.32,-4.51,0.037,4.16,7.86,6.41,5.97,1.12,0.0,0.0,1,1
18,HD101676_SOPHIE_1.0_Snaky,HD101676,SOPHIE,1.0,Snaky,YV0,175.51625,12.284806,6560.0,4.0,0.0,-23.7,40.26,-5.4,0.391,4.2,8.26,7.13,6.79,0.78,0.0,1.0,1,1
19,HD101690_SOPHIE_1.0_Snaky,HD101690,SOPHIE,1.0,Snaky,YV0,175.530417,4.747333,5903.0,4.38,-0.17,3.9,24.06,-4.98,0.27,4.23,7.76,6.59,6.26,1.41,0.0,0.0,1,1
20,HD10195_SOPHIE_1.0_Snaky,HD10195,SOPHIE,1.0,Snaky,YV0,25.525833,69.086,6000.0,4.37,0.01,107.6,63.54,-4.44,0.192,3.56,12.23,10.12,9.51,6.13,0.0,0.0,1,1
21,HD10211_SOPHIE_1.0_Snaky,HD10211,SOPHIE,1.0,Snaky,YV0,25.2525,49.103944,5987.0,4.26,0.21,-3.0,41.97,-5.04,0.418,3.64,9.71,8.26,7.75,4.12,0.0,0.0,1,1
22,HD102870_HARPS03_3.3.6_Snaky,HD102870,HARPS03,3.3.6,Snaky,YV0,177.673827,1.764722,6080.0,4.12,0.15,11.1,2.76,-4.88,0.022,3.37,8.59,7.26,6.85,3.35,0.0,0.0,1,1
23,HD102870_SOPHIE_1.0_Snaky,HD102870,SOPHIE,1.0,Snaky,YV0,177.672083,1.765389,6107.0,4.17,0.11,10.6,20.78,-4.89,0.144,4.21,9.02,7.63,7.16,3.03,0.0,0.0,1,1
24,HD103095_HARPN_3.0.1_Snaky,HD103095,HARPN,3.0.1,Snaky,YV0,178.244868,37.718678,5037.0,4.72,-1.23,2.7,5.3,-4.96,0.056,3.09,6.19,4.79,4.53,0.32,0.0,0.0,1,1
25,HD103095_SOPHIE_1.0_Snaky,HD103095,SOPHIE,1.0,Snaky,YV0,178.242083,37.718667,5054.0,4.7,-1.22,7.1,34.29,-4.92,0.365,4.2,6.89,5.55,5.21,0.32,0.0,0.0,1,1
26,HD103774_HARPS03_3.3.6_Snaky,HD103774,HARPS03,3.3.6,Snaky,YV0,179.231622,-12.107908,6252.0,4.19,0.1,5.6,17.46,-4.93,0.179,3.32,13.94,11.49,10.74,7.4,0.0,0.0,1,1
27,HD103774_HARPS03_3.5_Snaky,HD103774,HARPS03,3.5,Snaky,YV0,179.231622,-12.107908,6252.0,4.19,0.1,5.8,17.66,-4.93,0.184,3.31,13.95,11.49,10.74,8.82,0.0,0.0,1,1
28,HD103774_HARPS15_3.3.6_Snaky,HD103774,HARPS15,3.3.6,Snaky,YV0,179.231622,-12.107908,6251.0,4.16,0.1,-0.8,22.34,-5.07,0.276,4.14,13.97,11.51,10.74,7.42,0.0,0.0,1,1
29,HD103799_SOPHIE_1.0_Snaky,HD103799,SOPHIE,1.0,Snaky,YV0,179.310833,40.343694,6228.0,4.24,-0.22,-22.8,62.26,-5.7,0.463,4.14,12.51,10.35,9.69,6.19,0.0,1.0,1,1
30,HD10476_HARPN_3.0.1_Snaky,HD10476,HARPN,3.0.1,Snaky,YV0,25.624014,20.268517,5198.0,4.51,-0.07,7.4,4.04,-4.91,0.036,3.09,6.99,5.46,5.02,0.7,0.0,0.0,1,1
31,HD10476_NEID_1.0_Snaky,HD10476,NEID,1.0,Snaky,YV0,25.62263,20.265612,5190.0,4.51,-0.1,-7.7,3.69,-5.08,0.037,3.18,7.07,5.49,5.04,0.7,0.0,0.0,1,1
32,HD10476_SOPHIE_1.0_Snaky,HD10476,SOPHIE,1.0,Snaky,YV0,25.624,20.2685,5183.0,4.53,-0.1,-24.5,70.69,-5.67,0.546,8.07,9.77,8.07,7.47,0.32,0.0,0.0,1,1
33,HD104956_SOPHIE_1.0_Snaky,HD104956,SOPHIE,1.0,Snaky,YV0,181.279708,33.749889,6091.0,4.32,0.13,3.1,64.84,-5.46,0.535,4.06,9.6,8.32,7.8,4.12,0.0,0.0,1,1
34,HD105405_SOPHIE_1.0_Snaky,HD105405,SOPHIE,1.0,Snaky,YV0,182.029458,39.655528,6167.0,4.27,-0.12,-23.4,64.04,-5.73,0.344,3.93,9.41,8.11,7.58,3.75,0.0,0.0,1,1
35,HD10556_SOPHIE_1.0_Snaky,HD10556,SOPHIE,1.0,Snaky,YV0,26.05875,54.886417,5975.0,4.29,0.05,-18.1,69.51,-5.27,0.48,4.08,8.72,7.44,7.02,3.02,0.0,1.0,1,1
36,HD106105_SOPHIE_1.0_Snaky,HD106105,SOPHIE,1.0,Snaky,YV0,183.125,3.404111,6166.0,4.23,-0.05,-31.0,74.02,-5.89,0.565,4.3,9.42,8.06,7.59,3.67,0.0,0.0,1,1
37,HD106116_HARPS03_3.3.6_Snaky,HD106116,HARPS03,3.3.6,Snaky,YV0,183.120177,-3.084474,5693.0,4.37,0.16,2.4,3.06,-4.96,0.031,3.33,7.5,6.11,5.74,1.73,0.0,0.0,1,1
38,HD106116_HARPS03_3.5_Snaky,HD106116,HARPS03,3.5,Snaky,YV0,183.120177,-3.084474,5693.0,4.37,0.16,2.2,3.24,-4.96,0.033,3.31,7.5,6.1,5.73,1.71,0.0,0.0,1,1
39,HD106116_HARPS15_3.3.6_Snaky,HD106116,HARPS15,3.3.6,Snaky,YV0,183.120177,-3.084474,5689.0,4.37,0.16,1.6,3.13,-4.97,0.032,3.37,7.52,6.14,5.77,1.81,0.0,0.0,1,1
40,HD106116_HARPS15_3.5_Snaky,HD106116,HARPS15,3.5,Snaky,YV0,183.120177,-3.084474,5689.0,4.37,0.16,1.5,3.31,-4.97,0.034,3.37,7.53,6.13,5.76,1.8,0.0,0.0,1,1
41,HD106210_SOPHIE_1.0_Snaky,HD106210,SOPHIE,1.0,Snaky,YV0,183.304583,10.821639,5666.0,4.42,-0.15,6.0,18.31,-4.93,0.161,4.18,7.66,6.38,6.03,1.05,0.0,0.0,1,1
42,HD106252_HARPS03_3.5_Snaky,HD106252,HARPS03,3.5,Snaky,YV0,183.372956,10.041635,5867.0,4.36,-0.06,-0.3,12.12,-5.01,0.132,3.37,7.38,6.1,5.79,1.71,0.0,0.0,1,1
43,HD106423_SOPHIE_1.0_Snaky,HD106423,SOPHIE,1.0,Snaky,YV0,183.61375,8.782389,5902.0,4.26,0.24,1.7,64.32,-5.02,0.468,4.09,9.08,7.65,7.18,3.34,0.0,0.0,1,1
44,HD107113_SOPHIE_1.0_Snaky,HD107113,SOPHIE,1.0,Snaky,YV0,184.205833,86.435833,6894.0,4.0,0.0,9.5,38.95,-4.9,0.268,4.26,11.29,9.33,8.71,4.1,0.0,0.0,1,1
45,HD107146_SOPHIE_1.0_Snaky,HD107146,SOPHIE,1.0,Snaky,YV0,184.775,16.548333,5843.0,4.43,-0.09,157.9,24.87,-4.3,0.054,4.18,9.47,7.95,7.45,3.87,0.0,0.0,1,1
46,HD10757_SOPHIE_1.0_Snaky,HD10757,SOPHIE,1.0,Snaky,YV0,26.696667,59.156139,5998.0,4.2,0.12,0.5,28.59,-4.98,0.249,4.32,8.97,7.63,7.15,3.22,0.0,0.0,1,1
47,HD10780_HARPN_3.0.1_Snaky,HD10780,HARPN,3.0.1,Snaky,YV0,26.93681,63.852503,5329.0,4.51,-0.03,41.0,7.41,-4.68,0.039,2.85,7.12,5.55,5.14,0.98,0.0,0.0,1,1
48,HD10780_NEID_1.0_Snaky,HD10780,NEID,1.0,Snaky,YV0,26.942493,63.851442,5341.0,4.49,-0.03,31.1,2.41,-4.74,0.015,3.2,7.22,5.56,5.13,0.89,0.0,0.0,1,1
49,HD10780_SOPHIE_1.0_Snaky,HD10780,SOPHIE,1.0,Snaky,YV0,26.935688,63.852514,5356.0,4.52,0.02,47.8,9.78,-4.65,0.048,4.24,7.67,6.14,5.68,0.58,0.0,1.0,1,1
50,HD108134_SOPHIE_1.0_Snaky,HD108134,SOPHIE,1.0,Snaky,YV0,186.270833,60.697333,5959.0,4.37,-0.29,5.3,22.2,-4.96,0.212,4.21,7.76,6.61,6.29,1.46,0.0,0.0,1,1
51,HD108510_CORALIE14_3.8_Snaky,HD108510,CORALIE14,3.8,Snaky,YV0,186.981209,-8.677996,5980.0,4.35,0.06,23.8,24.94,-4.79,0.173,4.75,9.49,8.02,7.51,3.43,0.0,1.0,1,1
52,HD108574_SOPHIE_1.0_Snaky,HD108574,SOPHIE,1.0,Snaky,YV0,187.019167,44.794306,6102.0,4.35,0.11,78.3,65.73,-4.52,0.276,3.8,10.31,8.73,8.22,4.61,0.0,0.0,1,1
53,HD108954_SOPHIE_1.0_Snaky,HD108954,SOPHIE,1.0,Snaky,YV0,187.708875,53.076583,5945.0,4.34,-0.01,23.4,55.06,-5.18,0.426,3.89,8.64,7.39,6.93,2.97,0.0,0.0,1,1
54,HD109098_HARPS03_3.3.6_Snaky,HD109098,HARPS03,3.3.6,Snaky,YV0,188.01854,-1.772358,5849.0,4.14,0.1,0.2,17.32,-4.99,0.184,3.17,8.14,6.85,6.45,3.0,0.0,0.0,1,1
55,HD109098_HARPS03_3.5_Snaky,HD109098,HARPS03,3.5,Snaky,YV0,188.01854,-1.772358,5841.0,4.14,0.12,0.1,15.99,-4.99,0.174,3.15,8.15,6.85,6.45,2.98,0.0,0.0,1,1
56,HD109344_SOPHIE_1.0_Snaky,HD109344,SOPHIE,1.0,Snaky,YV0,188.412917,44.096194,6127.0,4.28,-0.03,-10.7,52.99,-5.47,0.524,4.18,10.22,8.73,8.19,4.59,0.0,0.0,1,1
57,HD109358_HARPN_3.0.1_Snaky,HD109358,HARPN,3.0.1,Snaky,YV0,188.435601,41.357478,5884.0,4.38,-0.18,0.9,1.86,-4.98,0.019,3.09,7.37,6.17,5.9,2.22,0.0,0.0,1,1
58,HD109358_NEID-HE_1.0_Snaky,HD109358,NEID-HE,1.0,Snaky,YV0,188.431558,41.358736,5880.0,4.38,-0.22,-1.0,5.8,-5.0,0.056,4.07,7.86,6.58,6.2,1.38,0.0,0.0,1,1
59,HD109358_NEID_1.0_Snaky,HD109358,NEID,1.0,Snaky,YV0,188.431558,41.358736,5880.0,4.38,-0.22,-0.5,7.95,-4.99,0.073,3.14,7.43,6.15,5.84,2.07,0.0,0.0,1,1
60,HD109358_SOPHIE_1.0_Snaky,HD109358,SOPHIE,1.0,Snaky,YV0,188.435583,41.357472,5880.0,4.39,-0.18,3.0,15.95,-4.96,0.162,4.19,7.87,6.65,6.28,2.08,0.0,1.0,1,1
61,HD109413_HARPN_3.0.1_Snaky,HD109413,HARPN,3.0.1,Snaky,YV0,188.392303,72.479108,6046.0,4.3,-0.02,29.8,17.15,-4.76,0.106,3.14,10.34,8.87,8.35,5.31,0.0,0.0,1,1
62,HD109413_SOPHIE_1.0_Snaky,HD109413,SOPHIE,1.0,Snaky,YV0,188.392083,72.479111,6123.0,4.27,-0.03,43.0,56.1,-4.74,0.288,4.46,10.72,9.07,8.51,4.96,0.0,1.0,1,1
63,HD109839_SOPHIE_1.0_Snaky,HD109839,SOPHIE,1.0,Snaky,YV0,189.412917,38.684389,6230.0,4.23,-0.05,-33.4,57.61,-5.99,0.51,3.72,12.95,10.73,10.05,6.48,0.0,0.0,1,1
64,HD11007_SOPHIE_1.0_Snaky,HD11007,SOPHIE,1.0,Snaky,YV0,27.172917,32.690222,6097.0,4.24,-0.14,0.3,15.12,-4.98,0.21,4.07,8.37,7.14,6.73,2.32,0.0,0.0,1,1
65,HD110897_HARPN_3.0.1_Snaky,HD110897,HARPN,3.0.1,Snaky,YV0,191.24752,39.278916,5904.0,4.42,-0.51,2.5,13.79,-4.97,0.14,3.11,6.95,5.79,5.56,1.39,0.0,0.0,1,1
66,HD110897_NEID_1.0_Snaky,HD110897,NEID,1.0,Snaky,YV0,191.24552,39.279515,5892.0,4.41,-0.54,-15.1,6.4,-5.19,0.081,3.17,7.01,5.8,5.56,1.23,0.0,0.0,1,1
67,HD110897_SOPHIE_1.0_Snaky,HD110897,SOPHIE,1.0,Snaky,YV0,191.2475,39.278917,5848.0,4.43,-0.56,0.7,24.87,-4.98,0.216,4.1,7.48,6.35,6.07,1.04,0.0,0.0,1,1
68,HD111031_HARPS03_3.3.6_Snaky,HD111031,HARPS03,3.3.6,Snaky,YV0,191.628508,-11.812442,5745.0,4.3,0.28,1.2,2.16,-4.97,0.023,3.29,7.63,6.21,5.82,1.82,0.0,0.0,1,1
69,HD111031_HARPS03_3.5_Snaky,HD111031,HARPS03,3.5,Snaky,YV0,191.628508,-11.812442,5745.0,4.3,0.28,1.3,2.29,-4.97,0.024,3.27,7.62,6.2,5.82,1.81,0.0,0.0,1,1
70,HD111066_SOPHIE_1.0_Snaky,HD111066,SOPHIE,1.0,Snaky,YV0,191.636542,24.145583,6107.0,4.22,0.05,7.4,61.15,-5.41,0.518,4.33,8.38,7.12,6.74,2.18,0.0,0.0,1,1
71,HD11131_HARPS15_3.3.6_Snaky,HD11131,HARPS15,3.3.6,Snaky,YV0,27.347287,-10.703634,5772.0,4.42,-0.06,122.8,12.83,-4.38,0.034,3.44,7.69,6.26,5.93,2.21,0.0,0.0,1,1
72,HD111395_SOPHIE_1.0_Snaky,HD111395,SOPHIE,1.0,Snaky,YV0,192.19625,24.840222,5656.0,4.45,-0.0,52.2,18.4,-4.63,0.089,4.38,8.29,6.83,6.4,2.12,0.0,0.0,1,1
73,HD111398_SOPHIE_1.0_Snaky,HD111398,SOPHIE,1.0,Snaky,YV0,192.217917,12.096389,5735.0,4.28,0.07,1.8,14.83,-4.97,0.145,4.18,7.92,6.57,6.16,1.86,0.0,0.0,1,1
74,HD111470_SOPHIE_1.0_Snaky,HD111470,SOPHIE,1.0,Snaky,YV0,192.362875,5.172139,6033.0,4.28,0.06,-8.9,52.94,-5.37,0.476,4.29,9.09,7.78,7.31,3.99,0.0,0.0,1,1
75,HD111513_SOPHIE_1.0_Snaky,HD111513,SOPHIE,1.0,Snaky,YV0,192.20625,61.378389,5784.0,4.36,0.08,-1.9,12.68,-5.01,0.13,4.17,8.26,6.96,6.53,2.28,0.0,0.0,1,1
76,HD111998_HARPS03_3.3.6_Snaky,HD111998,HARPS03,3.3.6,Snaky,YV0,193.296485,-3.553097,5304.0,3.5,0.07,-1.8,,-5.01,,3.33,44.96,47.03,41.74,44.25,0.0,0.0,1,1
77,HD111998_HARPS03_3.5_Snaky,HD111998,HARPS03,3.5,Snaky,YV0,193.296485,-3.553097,5304.0,3.5,0.07,-2.2,,-5.01,,3.33,44.96,47.07,41.83,44.23,0.0,0.0,1,1
78,HD11226_HARPS03_3.3.6_Snaky,HD11226,HARPS03,3.3.6,Snaky,YV0,27.564368,-6.704089,6075.0,4.25,0.05,0.5,3.02,-4.98,0.032,3.33,7.78,6.54,6.22,2.23,0.0,0.0,1,1
79,HD11226_HARPS03_3.5_Snaky,HD11226,HARPS03,3.5,Snaky,YV0,27.564368,-6.704089,6075.0,4.25,0.05,0.4,3.16,-4.98,0.034,3.34,7.77,6.53,6.22,2.21,0.0,0.0,1,1
80,HD11226_SOPHIE_1.0_Snaky,HD11226,SOPHIE,1.0,Snaky,YV0,27.563833,-6.704194,6216.0,4.06,0.12,13.5,93.38,-5.45,0.568,4.26,8.2,6.94,6.57,1.83,0.0,0.0,1,1
81,HD112735_SOPHIE_1.0_Snaky,HD112735,SOPHIE,1.0,Snaky,YV0,194.67,22.042861,6052.0,4.17,0.13,6.1,17.78,-4.93,0.179,4.02,8.97,7.61,7.15,3.72,0.0,0.0,1,1
82,HD11274_HARPS03_3.3.6_Snaky,HD11274,HARPS03,3.3.6,Snaky,YV0,27.620152,-12.34258,6306.0,4.21,0.07,56.8,58.05,-4.82,0.28,3.43,19.1,17.67,16.92,12.68,0.0,0.0,1,1
83,HD112758_HARPS15_3.3.6_Snaky,HD112758,HARPS15,3.3.6,Snaky,YV0,194.756505,-9.834078,5169.0,4.53,-0.5,-4.5,,-5.04,,3.47,6.63,5.22,4.85,0.36,0.0,0.0,1,1
84,HD112758_HARPS15_3.5_Snaky,HD112758,HARPS15,3.5,Snaky,YV0,194.756505,-9.834078,5176.0,4.54,-0.5,-4.0,,-5.04,,3.44,6.64,5.21,4.85,0.36,0.0,0.0,1,1
85,HD112974_SOPHIE_1.0_Snaky,HD112974,SOPHIE,1.0,Snaky,YV0,195.065,21.554306,6246.0,4.21,-0.05,39.5,74.05,-4.69,0.431,4.12,11.75,9.78,9.12,5.51,0.0,0.0,1,1
86,HD113319_SOPHIE_1.0_Snaky,HD113319,SOPHIE,1.0,Snaky,YV0,195.639167,32.43325,5752.0,4.47,-0.0,108.3,42.9,-4.42,0.142,4.11,8.78,7.35,6.91,3.08,0.0,0.0,1,1
87,HD114174_HARPS03_3.3.6_Snaky,HD114174,HARPS03,3.3.6,Snaky,YV0,197.212595,5.20724,5728.0,4.36,0.04,-0.0,3.38,-4.99,0.036,3.3,7.5,6.15,5.8,1.87,0.0,0.0,1,1
88,HD114174_HARPS03_3.5_Snaky,HD114174,HARPS03,3.5,Snaky,YV0,197.212595,5.20724,5732.0,4.39,0.06,0.2,11.89,-5.0,0.128,3.91,7.5,6.15,5.8,2.04,0.0,0.0,1,1
89,HD114174_HARPS15_3.3.6_Snaky,HD114174,HARPS15,3.3.6,Snaky,YV0,197.212595,5.20724,5732.0,4.37,0.05,0.4,2.78,-4.98,0.029,3.57,7.52,6.18,5.83,1.97,0.0,0.0,1,1
90,HD114174_HARPS15_3.5_Snaky,HD114174,HARPS15,3.5,Snaky,YV0,197.212595,5.20724,3860.0,5.0,0.0,,,,,2.84,7.34,6.04,5.74,2.39,0.0,0.0,1,1
91,HD114174_SOPHIE_1.0_Snaky,HD114174,SOPHIE,1.0,Snaky,YV0,197.212375,5.208861,5741.0,4.41,0.02,0.6,14.86,-5.02,0.159,4.21,7.94,6.61,6.21,1.46,0.0,0.0,1,1
92,HD114446_SOPHIE_1.0_Snaky,HD114446,SOPHIE,1.0,Snaky,YV0,197.389167,56.833389,5974.0,4.22,0.19,9.0,43.62,-4.97,0.395,4.04,13.51,11.12,10.51,8.24,0.0,0.0,1,1
93,HD114710_SOPHIE_1.0_Snaky,HD114710,SOPHIE,1.0,Snaky,YV0,197.968333,27.878194,5939.0,4.36,-0.03,31.0,12.28,-4.74,0.074,4.26,9.28,7.9,7.45,3.76,0.0,0.0,1,1
94,HD114783_HARPS03_3.3.6_Snaky,HD114783,HARPS03,3.3.6,Snaky,YV0,198.18244,-2.265036,5072.0,4.53,0.04,7.0,3.41,-4.92,0.03,3.29,7.13,5.6,5.08,0.99,0.0,0.0,1,1
95,HD114783_HARPS03_3.5_Snaky,HD114783,HARPS03,3.5,Snaky,YV0,198.18244,-2.265036,5071.0,4.53,0.05,7.3,3.97,-4.92,0.035,3.28,7.13,5.59,5.08,0.97,0.0,0.0,1,1
96,HD114783_HARPS15_3.3.6_Snaky,HD114783,HARPS15,3.3.6,Snaky,YV0,198.18244,-2.265036,5080.0,4.53,0.06,7.3,2.51,-4.92,0.023,3.43,7.16,5.61,5.11,0.88,0.0,0.0,1,1
97,HD114783_HARPS15_3.5_Snaky,HD114783,HARPS15,3.5,Snaky,YV0,198.18244,-2.265036,5065.0,4.53,0.05,6.1,2.33,-4.93,0.022,3.44,7.16,5.61,5.1,0.88,0.0,0.0,1,1
98,HD115043_SOPHIE_1.0_Snaky,HD115043,SOPHIE,1.0,Snaky,YV0,198.404208,56.708278,5830.0,4.44,-0.07,109.3,28.84,-4.42,0.116,4.15,12.05,9.87,9.24,5.96,0.0,0.0,1,1
99,HD11505_HARPS03_3.3.6_Snaky,HD11505,HARPS03,3.3.6,Snaky,YV0,28.275828,-1.326941,5765.0,4.3,-0.23,-0.9,3.18,-5.0,0.034,3.33,7.22,5.97,5.67,1.51,0.0,0.0,1,1
100,HD11505_HARPS03_3.5_Snaky,HD11505,HARPS03,3.5,Snaky,YV0,28.275828,-1.326941,5765.0,4.3,-0.23,-0.7,3.44,-5.0,0.037,3.32,7.22,5.96,5.66,1.5,0.0,0.0,1,1
101,HD11505_SOPHIE_1.0_Snaky,HD11505,SOPHIE,1.0,Snaky,YV0,28.275828,-1.326944,5782.0,4.38,-0.24,-4.2,25.23,-5.04,0.271,4.22,7.66,6.45,6.11,1.54,0.0,0.0,1,1
102,HD115383_HARPN_3.0.1_Snaky,HD115383,HARPN,3.0.1,Snaky,YV0,199.193812,9.424156,5987.0,4.26,0.12,133.9,15.41,-4.35,0.039,3.25,11.52,9.67,9.12,6.05,0.0,0.0,1,1
103,HD115383_SOPHIE_1.0_Snaky,HD115383,SOPHIE,1.0,Snaky,YV0,199.195833,9.424167,5987.0,4.3,0.11,120.2,21.05,-4.39,0.056,4.2,11.87,9.85,9.26,5.89,0.0,0.0,1,1
104,HD115404_HARPN_3.0.1_Snaky,HD115404,HARPN,3.0.1,Snaky,YV0,199.212714,17.017178,5010.0,4.56,-0.13,81.1,5.23,-4.51,0.019,3.07,7.46,5.83,5.28,1.68,0.0,0.0,1,1
105,HD115404_HARPS15_3.3.6_Snaky,HD115404,HARPS15,3.3.6,Snaky,YV0,199.212714,17.017178,5012.0,4.56,-0.14,93.3,11.12,-4.47,0.037,3.46,7.58,5.95,5.4,1.4,0.0,0.0,1,1
106,HD115404_HARPS15_3.5_Snaky,HD115404,HARPS15,3.5,Snaky,YV0,199.212714,17.017178,5012.0,4.56,-0.14,90.9,10.0,-4.47,0.033,3.48,7.59,5.95,5.4,1.55,0.0,0.0,1,1
107,HD11592_SOPHIE_1.0_Snaky,HD11592,SOPHIE,1.0,Snaky,YV0,28.490417,10.614,6206.0,4.26,-0.32,-1.5,62.78,-5.08,0.467,4.22,10.69,9.11,8.53,4.9,0.0,0.0,1,1
108,HD116442_NEID-HE_1.0_Snaky,HD116442,NEID-HE,1.0,Snaky,YV0,200.913194,2.724185,5192.0,4.56,-0.46,-8.1,,-5.11,,4.21,7.23,5.77,5.37,0.35,0.0,0.0,1,1
109,HD116442_NEID_1.0_Snaky,HD116442,NEID,1.0,Snaky,YV0,200.913194,2.724185,5204.0,4.55,-0.45,-0.6,2.81,-4.99,0.03,3.16,6.71,5.19,4.83,0.42,0.0,0.0,1,1
110,HD116459_SOPHIE_1.0_Snaky,HD116459,SOPHIE,1.0,Snaky,YV0,198.800833,84.752111,6135.0,4.34,0.1,-10.4,73.6,-5.52,0.521,4.24,10.98,9.35,8.79,5.25,0.0,0.0,1,1
111,HD116956_SOPHIE_1.0_Snaky,HD116956,SOPHIE,1.0,Snaky,YV0,201.439708,56.9705,5353.0,4.55,-0.01,125.0,13.57,-4.38,0.038,4.11,10.14,8.27,7.71,4.84,0.0,0.0,1,1
112,HD117043_SOPHIE_1.0_Snaky,HD117043,SOPHIE,1.0,Snaky,YV0,201.499167,63.26125,5599.0,4.39,0.16,1.0,7.52,-4.98,0.08,4.17,7.75,6.37,5.96,1.08,0.0,0.0,1,1
113,HD117126_CORALIE14_3.8_Snaky,HD117126,CORALIE14,3.8,Snaky,YV0,202.077953,-0.840191,5723.0,4.26,-0.01,-4.6,26.25,-5.07,0.311,4.62,8.48,7.1,6.67,1.43,0.0,1.0,1,1
114,HD117126_HARPS03_3.3.6_Snaky,HD117126,HARPS03,3.3.6,Snaky,YV0,202.077953,-0.840191,5728.0,4.27,-0.01,-0.7,3.05,-4.99,0.033,3.26,7.43,6.1,5.76,1.74,0.0,1.0,1,1
