,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,plx,distance,pmra,pmdec,gmag,bp_rp,bmag,vmag,rv_sys,season_length_1.5,eff_nights_1.5,eff_airmass_mean_1.5,eff_seeing_1.5,tyr_rise_1.5,tyr_set_1.5,season_length_1.75,eff_nights_1.75,eff_airmass_mean_1.75,eff_seeing_1.75,tyr_rise_1.75,tyr_set_1.75,SG_NGT_Jan,SG_NGT_Feb,SG_NGT_Mar,SG_NGT_Apr,SG_NGT_May,SG_NGT_Jun,SG_NGT_Jul,SG_NGT_Aug,SG_NGT_Sep,SG_NGT_Oct,SG_NGT_Nov,SG_NGT_Dec
13,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,21.1238,47.34,-83.268,-103.789,7.3742,0.789429,8.059,7.52,-80.2,237.0,169.0,1.0616,0.9521,2025.549315,2026.20137,250.0,180.0,1.0874,0.9585,2025.530137,2026.217808,5.885,3.571,1.317,0.007,0.0,0.0,0.89,3.214,5.499,7.55,7.933,7.798
14,HD24206,Gaia DR3 64085383120724864,HD24206,HIP18097,-,TIC440702883,-,-,-,G7V,PM*,58.0233,22.6716,33.5609,29.797,206.762,-339.42,7.400138,0.860472,8.258,7.575,11.23,240.0,170.0,1.0519,0.9515,2025.565753,2026.226027,254.0,182.0,1.0798,0.9563,2025.546575,2026.245205,6.519,4.204,1.951,0.142,0.0,0.0,0.615,2.864,5.149,7.393,8.217,8.174
15,HD23965,Gaia DR3 64115585330656000,HD23965,HIP17928,-,TIC440695415,-,-,-,F7,PM*,57.5144,22.5916,23.2079,43.089,155.046,-62.508,7.165409,0.665865,7.784,7.29,7.21,240.0,170.0,1.0523,0.9507,2025.563014,2026.223288,253.0,181.0,1.0777,0.9557,2025.546575,2026.242466,6.519,4.204,1.951,0.142,0.0,0.0,0.615,2.864,5.149,7.393,8.217,8.174
16,HD24213,Gaia DR3 66892264508548864,HD24213,HIP18106,-,TIC385590511,-,-,-,G0,PM*,58.0475,25.1631,25.6061,39.053,-123.04,-164.354,6.641129,0.725672,7.335,6.787,-39.63,241.0,171.0,1.0486,0.9485,2025.563014,2026.226027,255.0,182.0,1.0763,0.9536,2025.543836,2026.245205,6.569,4.254,2.001,0.16,0.0,0.0,0.651,2.914,5.199,7.452,8.317,8.264
17,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,27.3205,36.603,237.667,-270.918,7.04856,0.92237,7.994,7.28,,241.0,172.0,1.0473,0.9456,2025.554795,2026.217808,255.0,183.0,1.0745,0.9515,2025.535616,2026.236986,6.102,3.787,1.534,0.033,0.0,0.0,1.087,3.431,5.716,7.851,8.367,8.147
18,HD15029,Gaia DR3 72806949867680640,HD15029,HIP11309,-,TIC58898300,-,-,-,F5,PM*,36.3914,11.9712,16.5434,60.447,-121.306,-282.04,7.237378,0.672151,7.85,7.36,-8.41,231.0,167.0,1.0836,0.9549,2025.524658,2026.160274,245.0,179.0,1.1096,0.966,2025.505479,2026.179452,4.685,2.371,0.363,0.0,0.0,0.067,1.668,4.014,6.299,7.528,7.533,6.984
19,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,34.1525,29.28,-20.534,49.072,5.867583,0.728794,6.541,6.012,,234.0,169.0,1.0713,0.9492,2025.524658,2026.168493,248.0,181.0,1.098,0.9601,2025.505479,2026.187671,4.785,2.471,0.42,0.0,0.0,0.094,1.768,4.114,6.399,7.72,7.733,7.111
20,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,30.188,33.126,116.887,-158.459,7.192943,0.778679,0.0,7.304,4.21,237.0,171.0,1.0574,0.9441,2025.530137,2026.182192,251.0,183.0,1.0844,0.9539,2025.510959,2026.20137,5.402,3.087,0.863,0.0,0.0,0.018,1.402,3.747,6.032,7.824,7.983,7.604
21,23Ari,Gaia DR3 87044422856456192,HD14305,HIP10810,-,TIC246942458,-,23Ari,-,F8,PM*,34.7863,19.6877,30.8215,32.445,-19.858,-125.291,6.694116,0.716031,7.374,6.833,3.06,237.0,173.0,1.0561,0.9389,2025.513699,2026.165753,252.0,185.0,1.0852,0.9516,2025.491781,2026.184932,4.935,2.621,0.514,0.0,0.0,0.144,1.918,4.264,6.549,7.999,8.033,7.294
22,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,130.8234,7.644,-300.737,-673.539,4.99968,1.022485,6.09,5.252,-33.58,238.0,176.0,1.0555,0.9319,2025.489041,2026.143836,252.0,187.0,1.082,0.9464,2025.469863,2026.163014,3.935,1.621,0.07,0.0,0.0,0.746,2.918,5.264,7.452,8.033,7.917,6.329
23,HD12413,Gaia DR3 97594065126285952,HD12413,HIP9492,-,TIC306216985,-,-,-,F8V,PM*,30.5299,22.1041,18.8876,52.945,5.476,-52.006,7.098901,0.620558,7.679,7.209,-21.81,239.0,175.0,1.0519,0.9335,2025.5,2026.157534,253.0,187.0,1.0785,0.9467,2025.480822,2026.176712,4.502,2.187,0.27,0.0,0.0,0.426,2.485,4.831,7.113,8.167,8.152,6.896
24,HD13382,Gaia DR3 100254161710940928,HD13382,HIP10218,-,TIC306426710,-,-,-,G5V,BY*,32.8464,21.3773,31.7749,31.471,273.782,-13.119,7.171292,0.831678,8.001,7.33,20.09,239.0,175.0,1.0541,0.936,2025.505479,2026.163014,253.0,186.0,1.0811,0.9488,2025.486301,2026.182192,4.469,2.154,0.255,0.0,0.0,0.405,2.452,4.797,7.078,8.1,8.089,6.862
25,HD13825,Gaia DR3 101309452355657216,HD13825,HIP10505,-,TIC118295030,-,-,-,G5IV-V,PM*,33.8517,24.2713,38.8393,25.747,462.607,-183.92,6.637242,0.85186,7.5,6.81,-2.17,241.0,176.0,1.0503,0.9346,2025.505479,2026.168493,255.0,188.0,1.0774,0.9471,2025.486301,2026.187671,5.052,2.737,0.592,0.0,0.0,0.189,2.035,4.381,6.666,8.209,8.267,7.428
26,30AriB,Gaia DR3 102082477749475200,HD16232,HIP12184,-,TIC22874788,-,30AriB,J02370+2439B,F6V,PM*,39.2406,24.6481,22.5107,44.423,140.951,-10.536,6.979341,0.670816,7.458,7.092,12.89,241.0,175.0,1.0496,0.9375,2025.519178,2026.182192,255.0,186.0,1.0768,0.9484,2025.5,2026.20137,5.069,2.754,0.604,0.0,0.0,0.196,2.052,4.397,6.682,8.239,8.3,7.447
27,HD12846,Gaia DR3 104453918172129792,HD12846,HIP9829,-,TIC405376575,-,-,-,G2V,PM*,31.626,24.334,42.1141,23.745,6.063,-147.727,6.736007,0.823489,7.536,6.91,-4.44,241.0,177.0,1.0501,0.9332,2025.5,2026.163014,255.0,188.0,1.0771,0.9462,2025.480822,2026.182192,4.552,2.237,0.294,0.0,0.0,0.458,2.535,4.881,7.165,8.267,8.245,6.946
28,lamAriB,Gaia DR3 104717285566534016,HD11973B,-,-,TIC60986644,-,lamAriB,J01579+2336B,G0,PM*,29.4905,23.6031,24.8272,40.278,-91.813,-19.402,7.190488,0.723969,7.944,7.368,-7.2,240.0,176.0,1.0497,0.9321,2025.49726,2026.157534,255.0,189.0,1.0787,0.9462,2025.475342,2026.176712,4.552,2.237,0.294,0.0,0.0,0.458,2.535,4.881,7.165,8.267,8.245,6.946
29,HD12661,Gaia DR3 105332908999068032,HD12661,HIP9683,-,TIC118268680,-,-,-,K0V,PM*,31.1429,25.4143,26.4614,37.791,-107.999,-173.299,7.262336,0.85882,8.156,7.43,-47.38,242.0,178.0,1.0498,0.9326,2025.49726,2026.163014,256.0,189.0,1.077,0.9458,2025.478082,2026.182192,4.569,2.254,0.303,0.0,0.0,0.469,2.552,4.897,7.182,8.3,8.276,6.962
30,HD14082A,Gaia DR3 107774202769886848,HD14082A,HIP10680,-,TIC118301925,-,-,J02174+2845A,F2,BY*,34.3554,28.745,25.2776,39.561,86.859,-74.173,6.904095,0.670002,7.546,6.604,4.32,244.0,179.0,1.0497,0.9343,2025.50274,2026.173973,258.0,190.0,1.077,0.9466,2025.483562,2026.193151,5.169,2.854,0.677,0.0,0.0,0.241,2.152,4.497,6.782,8.415,8.5,7.557
31,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,25.5049,39.208,121.726,30.696,6.907917,0.795972,7.68,7.056,15.32,240.0,173.0,1.0514,0.9425,2025.535616,2026.19589,254.0,184.0,1.079,0.9514,2025.516438,2026.215068,5.519,3.204,0.964,0.0,0.0,0.032,1.502,3.847,6.132,7.996,8.2,7.761
32,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,43.5704,22.951,278.469,-119.187,7.379911,1.003573,8.433,7.612,10.21,242.0,175.0,1.0477,0.9379,2025.524658,2026.190411,257.0,188.0,1.0773,0.9486,2025.50274,2026.209589,5.619,3.304,1.056,0.0,0.0,0.052,1.602,3.947,6.232,8.153,8.4,7.896
33,51Ari,Gaia DR3 115311458058061440,HD18803,HIP14150,GJ120.2,TIC34691643,-,51Ari,-,G8V,PM*,45.6084,26.6092,47.181,21.195,233.067,-168.452,6.455846,0.857362,7.332,6.616,10.09,242.0,174.0,1.0483,0.9402,2025.532877,2026.19863,256.0,186.0,1.0756,0.9491,2025.513699,2026.217808,5.619,3.304,1.056,0.0,0.0,0.052,1.602,3.947,6.232,8.153,8.4,7.896
34,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,44.4324,22.506,264.596,-193.329,7.345057,1.065618,8.471,7.518,32.16,242.0,175.0,1.0483,0.9387,2025.527397,2026.193151,257.0,187.0,1.0775,0.9493,2025.508219,2026.215068,5.619,3.304,1.056,0.0,0.0,0.052,1.602,3.947,6.232,8.153,8.4,7.896
35,HD20367,Gaia DR3 122704230645584768,HD20367,HIP15323,-,TIC101349357,-,-,-,F8V,PM*,49.4169,31.127,38.3758,26.058,-101.95,-58.033,6.270825,0.720617,7.864,6.41,6.46,244.0,175.0,1.0493,0.9419,2025.538356,2026.209589,259.0,187.0,1.0783,0.9505,2025.519178,2026.231507,6.202,3.887,1.634,0.052,0.0,0.002,1.202,3.547,5.832,8.001,8.583,8.31
36,HD17674,Gaia DR3 129321160344480512,HD17674,HIP13291,-,TIC77490014,-,-,-,G0V,PM*,42.7679,30.2867,22.5233,44.398,128.348,-32.958,7.41444,0.762115,8.129,7.535,10.53,243.0,176.0,1.0475,0.9379,2025.524658,2026.193151,259.0,189.0,1.0785,0.9491,2025.50274,2026.215068,5.685,3.371,1.119,0.0,0.0,0.067,1.668,4.014,6.299,8.255,8.533,7.984
37,HD16397,Gaia DR3 132922438878995968,HD16397,HIP12306,GJ9089,TIC73626552,-,-,-,G0V,PM*,39.6161,30.8166,28.9255,34.572,-487.54,-386.862,7.206758,0.779394,7.945,7.359,-99.7,245.0,178.0,1.0508,0.9373,2025.513699,2026.187671,259.0,190.0,1.0782,0.9483,2025.494521,2026.206849,5.219,2.904,0.715,0.0,0.0,0.266,2.202,4.547,6.832,8.501,8.6,7.61
38,HD20209,Gaia DR3 138009810462247296,HD20209,HIP15205,-,TIC101261261,-,-,-,F5,PM*,49.0073,35.0452,17.7802,56.242,-154.431,-45.838,7.447115,0.674383,8.086,7.57,-46.1,246.0,177.0,1.0554,0.9445,2025.535616,2026.212329,261.0,189.0,1.0847,0.9529,2025.513699,2026.231507,6.285,3.971,1.717,0.072,0.0,0.006,1.285,3.631,5.916,8.108,8.75,8.435
39,HD19308,Gaia DR3 138972467251590656,HD19308,HIP14532,-,TIC186807955,-,-,J03077+3637A,G0,PM*,46.9142,36.6176,25.8035,38.754,241.076,-217.79,7.221212,0.803841,8.024,7.36,32.85,246.0,177.0,1.0581,0.9448,2025.530137,2026.206849,262.0,191.0,1.0886,0.9545,2025.508219,2026.228767,5.835,3.521,1.267,0.004,0.0,0.109,1.818,4.164,6.449,8.478,8.833,8.173
40,HD28483,Gaia DR3 144130516816579200,HD28483,HIP21008,-,TIC18372016,-,-,-,F6V,PM*,67.5749,19.8405,19.8924,50.27,86.119,-26.106,6.982704,0.638393,7.572,7.105,39.75,238.0,167.0,1.0567,0.9627,2025.590411,2026.245205,252.0,178.0,1.0847,0.9648,2025.571233,2026.264384,6.932,4.621,2.367,0.324,0.0,0.0,0.27,2.281,4.566,6.848,8.049,8.05
41,HD29150,Gaia DR3 144786577364287104,HD29150,HIP21436,-,TIC118553305,-,-,-,G5,*,69.0582,21.5365,29.5032,33.895,18.051,-41.859,7.425414,0.832449,8.267,7.58,-6.52,239.0,167.0,1.053,0.9613,2025.593151,2026.250685,253.0,179.0,1.081,0.9631,2025.573973,2026.269863,6.984,4.671,2.417,0.351,0.0,0.0,0.294,2.331,4.616,6.898,8.148,8.15
42,HD28676,Gaia DR3 144978858756826368,HD28676,HIP21158,-,TIC430314524,-,-,-,F5,*,68.0329,21.6324,25.7559,38.826,-1.555,-3.34,6.938979,0.773854,7.709,7.08,6.77,239.0,167.0,1.0528,0.9602,2025.590411,2026.247945,253.0,179.0,1.0807,0.9623,2025.571233,2026.267123,6.984,4.671,2.417,0.351,0.0,0.0,0.294,2.331,4.616,6.898,8.148,8.15
43,HD28033,Gaia DR3 145293181643038336,HD28033,HIP20712,-,TIC17418956,-,-,-,F8V,SB*,66.5771,21.4704,21.0221,47.569,103.575,-37.798,7.239102,0.683954,7.918,7.38,35.7,239.0,168.0,1.0532,0.9596,2025.587671,2026.245205,253.0,179.0,1.0811,0.9619,2025.568493,2026.264384,6.966,4.654,2.401,0.342,0.0,0.0,0.278,2.297,4.582,6.865,8.098,8.1
44,HD27808,Gaia DR3 145373377272257664,HD27808,HIP20557,-,TIC17339628,-,-,-,F8V,PM*,66.0607,21.7362,23.2009,43.102,117.385,-45.741,7.006639,0.671342,7.655,7.135,38.34,239.0,168.0,1.0527,0.9583,2025.584932,2026.242466,253.0,179.0,1.0805,0.9608,2025.565753,2026.261644,6.984,4.671,2.417,0.351,0.0,0.0,0.294,2.331,4.616,6.898,8.148,8.15
45,HD29419,Gaia DR3 146677879098433152,HD29419,HIP21637,-,TIC118678954,-,-,-,G5V,PM*,69.7137,23.15,23.0344,43.413,105.627,-54.239,7.380728,0.730906,8.108,7.53,39.08,240.0,168.0,1.0505,0.9595,2025.593151,2026.253425,254.0,180.0,1.0786,0.9613,2025.573973,2026.272603,7.019,4.704,2.451,0.369,0.0,0.0,0.31,2.364,4.649,6.932,8.213,8.217
46,HD26710,Gaia DR3 150694566874541824,HD26710,-,-,TIC56628845,-,-,-,G2V,PM*,63.6341,26.2559,33.155,30.161,-32.338,-116.513,7.038333,0.803426,0.0,7.158,-14.87,242.0,171.0,1.0482,0.9523,2025.576712,2026.242466,255.0,181.0,1.074,0.955,2025.557534,2026.258904,6.585,4.271,2.017,0.166,0.0,0.0,0.663,2.931,5.216,7.471,8.35,8.294
