,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,plx,distance,pmra,pmdec,gmag,bp_rp,bmag,vmag,rv_sys,season_length_1.5,eff_nights_1.5,eff_airmass_mean_1.5,eff_seeing_1.5,tyr_rise_1.5,tyr_set_1.5,season_length_1.75,eff_nights_1.75,eff_airmass_mean_1.75,eff_seeing_1.75,tyr_rise_1.75,tyr_set_1.75,SG_NGT_Jan,SG_NGT_Feb,SG_NGT_Mar,SG_NGT_Apr,SG_NGT_May,SG_NGT_Jun,SG_NGT_Jul,SG_NGT_Aug,SG_NGT_Sep,SG_NGT_Oct,SG_NGT_Nov,SG_NGT_Dec
384,HD158259,Gaia DR3 1416050859226670848,HD158259,HIP85268,-,TIC188768068,-,-,-,G5VmF9,PM*,261.3502,52.7907,37.0177,27.014,-90.678,-49.702,6.320388,0.778639,7.073,6.479,13.39,289.0,232.0,1.1333,0.9139,2025.050685,2025.839726,313.0,248.0,1.1574,0.9398,2025.020548,2025.875342,1.335,3.045,4.493,5.926,7.493,8.681,7.093,5.423,3.991,2.56,0.918,0.018
385,HD154905,Gaia DR3 1420101696285626624,HD154905,HIP83608B,GJ9584B,-,-,21DraB+mu.DraB,J17053+5428B,F6V,SB*,256.3342,54.4706,36.7902,27.181,-97.897,94.87,5.590328,0.638523,0.0,5.685,,287.0,231.0,1.1473,0.9244,2025.036986,2025.820548,313.0,248.0,1.1728,0.9479,2025.006849,2025.861644,1.835,3.545,4.993,6.426,7.993,8.501,6.593,4.923,3.491,2.06,0.488,0.137
386,HD154906,Gaia DR3 1420101696287738368,HD154906,HIP83608A,GJ9584+GJ9584A,-,-,21DraA+mu.DraA,J17053+5428A,F6V,PM*,256.3339,54.47,36.7608,27.203,-56.511,74.181,5.508497,0.632264,6.126,4.915,,287.0,231.0,1.1472,0.9244,2025.036986,2025.820548,313.0,248.0,1.1728,0.9479,2025.006849,2025.861644,1.835,3.545,4.993,6.426,7.993,8.501,6.593,4.923,3.491,2.06,0.488,0.137
387,HD148049,Gaia DR3 1423602030208324864,HD148049,HIP80264,-,TIC162631539,-,-,-,F8,PM*,245.7795,50.3442,19.841,50.401,55.242,-7.005,7.289368,0.699758,7.938,7.42,-32.02,285.0,230.0,1.1172,0.9175,2025.009589,2025.787671,310.0,247.0,1.1437,0.9369,2025.976712,2026.828767,2.318,4.029,5.477,6.909,8.466,8.07,6.076,4.407,2.974,1.543,0.182,0.353
388,HD148329,Gaia DR3 1428737952100331520,HD148329,HIP80364,-,TIC207468713,-,-,-,G1,PM*,246.0727,55.332,22.7123,44.029,-4.006,-324.148,6.792691,0.743793,7.491,6.953,-42.85,283.0,229.0,1.156,0.936,2025.012329,2025.784932,311.0,247.0,1.1835,0.9564,2025.976712,2026.831507,2.352,4.062,5.51,6.942,8.499,8.104,6.109,4.44,3.008,1.577,0.198,0.372
389,HD155902,Gaia DR3 1432617510160019200,HD155902,HIP84062,GJ3993,TIC198384408,-,-,-,G5,PM*,257.7851,56.6592,35.6902,28.019,-2.45,-69.123,6.809295,0.895218,7.7,6.996,,286.0,231.0,1.1668,0.932,2025.042466,2025.823288,314.0,249.0,1.1933,0.958,2025.009589,2025.867123,1.852,3.562,5.01,6.442,8.009,8.517,6.609,4.94,3.508,2.077,0.501,0.142
390,HD160078,Gaia DR3 1435686899947703552,HD160078,HIP85964,-,TIC219776694,-,-,-,F5,PM*,263.5383,60.0894,16.3359,61.215,50.724,-132.317,7.161836,0.684131,7.793,7.28,-22.1,284.0,229.0,1.202,0.9415,2025.064384,2025.839726,314.0,249.0,1.2282,0.9738,2025.026027,2025.883562,1.352,3.062,4.51,5.942,7.509,8.696,7.109,5.44,4.008,2.577,0.935,0.021
391,HD160269A,Gaia DR3 1439121018358632832,HD160269A,HIP86036,GJ684A,TIC219777482,-,26Dra+26DraA,J17350+6153A,G0IV-V,SB*,263.7484,61.8745,69.2832,14.434,236.247,-466.111,5.069048,0.812156,5.801,5.232,-15.35,281.0,227.0,1.2225,0.9487,2025.069863,2025.836986,314.0,249.0,1.2499,0.984,2025.026027,2025.883562,1.335,3.045,4.493,5.926,7.493,8.681,7.093,5.423,3.991,2.56,0.918,0.018
392,HD118244,Gaia DR3 1442169070750037760,HD118244,HIP66290,-,TIC207386596,-,-,-,F5V,SB*,203.7976,22.4998,29.265,34.171,-268.441,103.316,6.789217,0.640599,0.0,6.873,-18.68,250.0,199.0,1.0532,0.9461,2025.913699,2026.60137,270.0,215.0,1.086,0.9527,2025.894521,2026.636986,4.785,6.495,7.874,8.222,6.839,4.57,2.576,0.907,0.011,0.0,0.449,2.583
393,HD120476a,Gaia DR3 1451450048399808384,HD120476A,-,GJ528A,TIC359220741,-,-,J13491+2659A,K4V,PM*,207.2667,26.9799,74.0937,13.496,-417.14,-111.759,7.203598,1.30369,0.0,7.515,,255.0,204.0,1.0497,0.9357,2025.919178,2026.620548,275.0,219.0,1.0803,0.9432,2025.9,2026.656164,4.418,6.129,7.577,8.469,7.447,5.187,3.193,1.523,0.225,0.0,0.253,2.216
394,HD122652,Gaia DR3 1454450340753382272,HD122652,HIP68593,-,TIC232527921,-,-,-,F8,PM*,210.6318,31.6609,25.266,39.579,-94.13,9.972,7.043776,0.688665,7.688,7.167,1.66,261.0,210.0,1.0535,0.9288,2025.924658,2026.642466,281.0,224.0,1.0821,0.9391,2025.90274,2026.675342,4.535,6.245,7.693,8.681,7.57,5.304,3.309,1.64,0.296,0.0,0.31,2.333
395,HD120005,Gaia DR3 1455771129096411904,HD120005,HIP67195,-,TIC165760083,-,-,-,F6V,SB*,206.5572,30.897,23.6362,42.308,-258.851,-96.872,6.384148,0.655035,6.994,6.512,-14.85,258.0,206.0,1.052,0.9373,2025.913699,2026.623288,278.0,221.0,1.0825,0.9445,2025.894521,2026.658904,4.518,6.229,7.677,8.652,7.553,5.287,3.293,1.623,0.285,0.0,0.301,2.316
396,HD114710,Gaia DR3 1460229442589223424,HD114710,HIP64394,GJ502,TIC445070560,-,43Com+betCom,J13119+2753A,F9.5V,PM*,197.9683,27.8782,108.725,9.198,-800.72,882.301,4.093279,0.762059,4.821,4.24,5.6,251.0,198.0,1.0491,0.9522,2025.89726,2026.587671,269.0,212.0,1.0783,0.9573,2025.878082,2026.617808,5.435,7.145,8.327,8.282,6.405,4.137,2.143,0.503,0.0,0.0,0.931,3.233
397,HD113319,Gaia DR3 1467164096785657088,HD113319,HIP63636,-,TIC165978900,-,-,-,G4V,PM*,195.6394,32.4333,31.4999,31.746,-193.359,46.359,7.366689,0.820077,8.168,7.51,6.32,253.0,199.0,1.0519,0.9575,2025.886301,2026.582192,271.0,213.0,1.081,0.9616,2025.867123,2026.612329,5.535,7.245,8.475,8.426,6.489,4.22,2.226,0.572,0.0,0.0,1.02,3.333
398,HD127334,Gaia DR3 1491593733326694912,HD127334,HIP70873,GJ3852,TIC27525457,-,-,-,G5VCH0.3,PM*,217.4034,41.7959,42.7526,23.39,161.373,-220.361,6.200569,0.854951,7.076,6.365,-0.55,269.0,217.0,1.0767,0.9296,2025.935616,2026.675342,291.0,233.0,1.105,0.9421,2025.913699,2026.713699,4.218,5.929,7.377,8.734,8.222,5.987,3.993,2.323,0.891,0.018,0.17,2.016
399,HD120004,Gaia DR3 1496343623558534656,HD120004,HIP67177,-,TIC22953415,-,-,-,F8,PM*,206.5015,37.525,18.071,55.337,-192.898,-52.374,7.464295,0.698948,8.145,7.59,-20.57,262.0,209.0,1.0648,0.9418,2025.910959,2026.631507,283.0,225.0,1.0955,0.9501,2025.889041,2026.667123,4.652,6.362,7.81,8.881,7.689,5.42,3.426,1.757,0.376,0.0,0.372,2.449
400,HD124694,Gaia DR3 1506060076532072192,HD124694,HIP69518,-,TIC168704717,-,-,-,F8V,PM*,213.4639,46.3252,25.5243,39.178,-141.046,9.144,7.052997,0.681983,7.703,7.19,-14.92,268.0,215.0,1.0988,0.9477,2025.924658,2026.661644,291.0,232.0,1.1284,0.9579,2025.90274,2026.70274,4.768,6.479,7.927,9.066,7.805,5.537,3.543,1.873,0.465,0.0,0.439,2.566
401,HD109839,Gaia DR3 1521428118055816960,HD109839,HIP61619,-,TIC155251038,-,-,-,F5V,PM*,189.413,38.6844,18.4383,54.235,10.18,-75.092,7.235297,0.635063,7.827,7.34,-14.98,253.0,197.0,1.0647,0.972,2025.869863,2026.565753,273.0,213.0,1.0976,0.975,2025.847945,2026.59863,6.152,7.862,8.847,8.338,6.122,3.854,1.859,0.302,0.0,0.051,1.63,3.949
402,10CVn,Gaia DR3 1521686782461765888,HD110897,HIP62207,GJ484,TIC389853353,-,10CVn,-,F9V_Fe-0.3,PM*,191.2475,39.2789,56.9588,17.557,-359.699,139.016,5.803025,0.756415,6.504,5.956,80.45,253.0,198.0,1.0656,0.9702,2025.875342,2026.571233,273.0,214.0,1.0974,0.9733,2025.853425,2026.60411,6.152,7.862,8.847,8.338,6.122,3.854,1.859,0.302,0.0,0.051,1.63,3.949
403,HD109358,Gaia DR3 1534011998572555776,HD109358,HIP61317,GJ475,TIC458445966,-,8CVn+betCVn,J12337+4121A,G0V,**,188.4356,41.3575,118.0266,8.473,-704.702,292.155,4.094672,0.794468,4.829,4.247,6.41,253.0,197.0,1.0732,0.9778,2025.867123,2026.563014,273.0,213.0,1.1054,0.9803,2025.845205,2026.59589,6.185,7.895,8.906,8.382,6.155,3.887,1.893,0.323,0.0,0.058,1.663,3.983
404,HD105405,Gaia DR3 1536014999519656064,HD105405,HIP59175,-,TIC21598259,-,-,-,F8,PM*,182.029,39.6555,21.1284,47.33,-149.091,-7.985,7.208549,0.672034,7.824,7.33,2.31,250.0,192.0,1.0661,0.9813,2025.853425,2026.541096,269.0,208.0,1.0977,0.9843,2025.831507,2026.571233,6.668,8.365,8.917,7.962,5.639,3.37,1.376,0.08,0.0,0.21,2.147,4.466
405,HD105631,Gaia DR3 1536064958579187840,HD105631,HIP59280,GJ3706,TIC21623610,-,-,-,G9V,PM*,182.4052,40.2521,39.9292,25.044,-314.106,-50.842,7.256732,0.951626,8.259,7.465,-2.61,251.0,193.0,1.0692,0.9821,2025.853425,2026.543836,270.0,209.0,1.1009,0.985,2025.831507,2026.573973,6.668,8.365,8.917,7.962,5.639,3.37,1.376,0.08,0.0,0.21,2.147,4.466
406,HD109344,Gaia DR3 1541410612315073536,HD109344,HIP61310,-,TIC75584292,-,-,-,F8,PM*,188.4128,44.0962,18.4756,54.125,-139.917,-66.293,7.377859,0.65013,7.985,7.496,-29.57,253.0,197.0,1.0841,0.9839,2025.867123,2026.563014,274.0,214.0,1.1172,0.9856,2025.845205,2026.59863,6.235,7.945,8.994,8.446,6.205,3.937,1.943,0.356,0.0,0.069,1.713,4.033
407,HD108574,Gaia DR3 1541667932396172800,HD108574,HIP60831,-,TIC157968700,-,-,J12281+4448A,F9V,PM*,187.0185,44.7943,22.0562,45.339,-181.928,-4.572,7.297665,0.699628,7.982,7.5,-2.21,253.0,196.0,1.0881,0.987,2025.864384,2026.560274,274.0,213.0,1.1209,0.9894,2025.839726,2026.593151,6.252,7.962,9.01,8.451,6.205,3.937,1.943,0.356,0.0,0.073,1.73,4.049
408,HD119124,Gaia DR3 1558718059209082752,HD119124,HIP66704,GJ521.2+GJ521.2A+GJ9457A,TIC286946484,-,-,J13404+5031A,F8V,PM*,205.0968,50.5194,39.1793,25.524,-125.559,58.708,6.199,0.697419,6.851,6.334,-12.44,262.0,209.0,1.1237,0.9765,2025.905479,2026.626027,287.0,228.0,1.1563,0.9824,2025.880822,2026.669863,5.318,7.029,8.477,9.153,7.355,5.087,3.093,1.423,0.172,0.0,0.831,3.116
409,HD119992,Gaia DR3 1562409119742512128,HD119992,HIP67103,-,TIC141821518,-,-,-,F7V,PM*,206.305,55.8793,29.2507,34.187,105.007,-359.92,6.349802,0.65097,6.97,6.5,-5.06,261.0,209.0,1.1663,0.9965,2025.910959,2026.628767,289.0,230.0,1.1997,1.0024,2025.883562,2026.678082,4.835,6.545,7.993,9.165,7.872,5.604,3.609,1.94,0.521,0.0,0.48,2.633
410,HD114446,Gaia DR3 1564925317742776704,HD114446,HIP64208,-,TIC147624120,-,-,-,F9IV-V,PM*,197.3884,56.8334,18.5928,53.784,-87.296,51.812,6.902694,0.722394,7.612,7.036,-31.02,254.0,200.0,1.1725,1.0186,2025.891781,2026.590411,284.0,224.0,1.2108,1.0195,2025.861644,2026.642466,5.835,7.545,8.939,8.981,6.889,4.62,2.626,0.957,0.018,0.007,1.313,3.633
411,HD116956,Gaia DR3 1565867461768654208,HD116956,HIP65515,-,TIC159190692,-,-,J13258+5658A,G9V,BY*,201.4397,56.9705,46.1911,21.649,-217.473,11.239,7.077803,0.969939,8.11,7.29,-12.49,255.0,202.0,1.1732,1.0115,2025.90274,2026.60411,287.0,227.0,1.2122,1.0149,2025.869863,2026.658904,5.335,7.045,8.493,9.195,7.389,5.12,3.126,1.457,0.189,0.0,0.845,3.133
412,HD115043,Gaia DR3 1566224665609504128,HD115043,HIP64532,GJ503.2+GJ503.2A+GJ9434,TIC157272202,-,-,J13136+5643A,G1Va,PM*,198.4042,56.7083,39.7437,25.161,111.55,-18.528,6.663373,0.779665,7.43,6.827,-8.58,254.0,201.0,1.1708,1.0162,2025.894521,2026.593151,285.0,225.0,1.2102,1.0172,2025.864384,2026.647945,5.835,7.545,8.939,8.981,6.889,4.62,2.626,0.957,0.018,0.007,1.313,3.633
413,HD110833,Gaia DR3 1568219729458240128,HD110833,HIP62145,GJ483,TIC157871565,-,-,J12442+5146A,K3,SB*,191.0606,51.7593,68.9516,14.503,-387.042,-185.278,6.749813,1.118754,7.971,7.027,9.18,254.0,198.0,1.1301,1.0057,2025.872603,2026.571233,278.0,218.0,1.1644,1.0059,2025.847945,2026.612329,6.318,8.029,9.136,8.552,6.289,4.02,2.026,0.414,0.0,0.091,1.797,4.116
414,HD108954,Gaia DR3 1569335115284976000,HD108954,HIP61053,-,TIC141249230,-,-,-,F9V,PM*,187.7089,53.0766,44.8247,22.309,18.936,181.697,6.072821,0.726724,6.755,6.208,-21.82,252.0,196.0,1.1396,1.0152,2025.867123,2026.560274,277.0,216.0,1.1752,1.0152,2025.839726,2026.60137,6.318,8.029,9.136,8.552,6.289,4.02,2.026,0.414,0.0,0.091,1.797,4.116
415,HD111513,Gaia DR3 1580311917821099776,HD111513,HIP62527,-,TIC142276979,-,-,-,G1,PM*,192.2047,61.3784,25.4106,39.354,-555.31,100.443,7.203524,0.792408,7.989,7.364,-21.02,248.0,194.0,1.2202,1.0548,2025.883562,2026.565753,279.0,219.0,1.2567,1.0521,2025.850685,2026.617808,5.835,7.545,8.934,8.965,6.872,4.604,2.609,0.94,0.016,0.007,1.313,3.633
416,HD108134,Gaia DR3 1581755198632350336,HD108134,HIP60588,-,TIC417931249,-,-,-,G0p,PM*,186.2714,60.6974,24.8649,40.217,146.1,-5.578,7.248363,0.748858,7.945,7.38,-48.97,246.0,191.0,1.2113,1.0586,2025.869863,2026.546575,277.0,215.0,1.2494,1.056,2025.834247,2026.59589,6.335,8.045,9.153,8.556,6.289,4.02,2.026,0.414,0.0,0.095,1.813,4.133
417,HD132254,Gaia DR3 1592338513445876608,HD132254,HIP73100,GJ3880,TIC309765388,-,-,-,F8-V,PM*,224.096,49.6284,39.7477,25.159,111.039,-225.956,5.506557,0.675056,6.135,5.639,-15.53,273.0,221.0,1.1156,0.9393,2025.952055,2026.70274,299.0,239.0,1.1454,0.9566,2025.924658,2026.746575,3.802,5.512,6.96,8.392,8.695,6.57,4.576,2.907,1.474,0.219,0.049,1.599
418,HD141039,Gaia DR3 1596763532351243392,HD141039,HIP77084,-,TIC159838529,-,-,-,G5,PM*,236.0902,52.9836,23.4193,42.7,-247.111,58.405,7.219239,0.777817,7.985,7.372,-39.07,279.0,226.0,1.1377,0.9355,2025.982192,2026.749315,306.0,244.0,1.1657,0.9545,2025.954795,2026.79589,3.335,5.045,6.493,7.926,8.885,7.087,5.093,3.423,1.991,0.579,0.0,1.133
419,HD138367,Gaia DR3 1602402034136426752,HD138367,HIP75783,-,TIC165764315,-,-,J15289+5727A,F7V,PM*,232.2164,57.4452,22.7007,44.052,-260.741,164.559,6.784448,0.655418,7.381,6.917,-29.01,275.0,223.0,1.1781,0.9597,2025.973973,2026.730137,305.0,243.0,1.2076,0.9793,2025.943836,2026.782192,3.352,5.062,6.51,7.942,8.904,7.104,5.109,3.44,2.008,0.593,0.0,1.149
420,HD128165,Gaia DR3 1605198298364601088,HD128165,HIP71181,GJ556,TIC357373129,-,-,-,K3,PM*,218.3703,52.9088,75.5689,13.233,-191.457,247.919,6.918849,1.213392,8.252,7.24,11.07,269.0,217.0,1.1401,0.961,2025.938356,2026.678082,296.0,236.0,1.1707,0.975,2025.910959,2026.724658,4.335,6.045,7.493,8.883,8.355,6.104,4.109,2.44,1.008,0.041,0.217,2.133
421,HD131194,Gaia DR3 1605686447168075392,HD131194,HIP72563,-,TIC161024940,-,-,-,F5,PM*,222.5567,52.4144,17.7507,56.336,-33.325,92.272,7.01722,0.696729,7.677,7.146,-47.5,272.0,220.0,1.1361,0.9514,2025.949315,2026.69726,299.0,239.0,1.1663,0.9678,2025.921918,2026.743836,3.818,5.529,6.977,8.409,8.716,6.587,4.593,2.923,1.491,0.228,0.052,1.616
422,HD126675,Gaia DR3 1608397975984282368,HD126675,HIP70499,-,TIC441708762,-,-,-,F8,PM*,216.316,53.585,24.8308,40.273,85.653,-74.376,6.999436,0.661261,7.617,7.11,-3.56,268.0,216.0,1.1461,0.9677,2025.932877,2026.669863,296.0,236.0,1.1784,0.9806,2025.905479,2026.719178,4.335,6.045,7.493,8.883,8.355,6.104,4.109,2.44,1.008,0.041,0.217,2.133
423,HD128332,Gaia DR3 1610729219809525888,HD128332,HIP71251,-,TIC311069416,-,-,-,F6V,PM*,218.5664,57.0653,34.0674,29.354,218.341,-233.086,6.340415,0.678993,6.966,6.468,-21.42,267.0,216.0,1.1761,0.979,2025.941096,2026.675342,297.0,237.0,1.2079,0.9933,2025.910959,2026.727397,4.335,6.045,7.493,8.883,8.355,6.104,4.109,2.44,1.008,0.041,0.217,2.133
424,HD133826,Gaia DR3 1621217529945980800,HD133826,HIP73623,-,TIC202422252,-,-,-,G0,PM*,225.7454,65.7783,25.3404,39.463,72.743,-125.326,7.208866,0.705282,7.872,7.341,-2.76,257.0,210.0,1.2778,1.0161,2025.973973,2026.680822,299.0,239.0,1.3112,1.036,2025.930137,2026.752055,3.768,5.479,6.927,8.359,8.654,6.537,4.543,2.873,1.441,0.201,0.042,1.566
425,HD153344,Gaia DR3 1630727858849714176,HD153344,HIP82750,-,TIC287152045,-,-,-,G5IV,PM*,253.6916,62.0999,24.7975,40.327,-332.313,-53.947,6.913049,0.834045,7.745,7.071,-89.31,279.0,226.0,1.2263,0.9609,2025.039726,2025.80137,313.0,248.0,1.2548,0.9874,2025.99589,2026.856164,1.835,3.545,4.993,6.426,7.993,8.501,6.593,4.923,3.491,2.06,0.488,0.137
426,HD153597,Gaia DR3 1635375460142367104,HD153597,HIP82860,GJ648,TIC289622310,-,19Dra+hDra,J16564+6502C,F8V,SB*,254.007,65.1348,65.2904,15.316,237.185,49.077,4.750818,0.676355,5.356,4.886,-21.85,273.0,222.0,1.2664,0.9767,2025.047945,2025.793151,312.0,248.0,1.2958,1.0059,2025.99863,2026.856164,1.802,3.512,4.96,6.392,7.959,8.469,6.559,4.89,3.458,2.027,0.465,0.125
427,HD158633,Gaia DR3 1637110042813188608,HD158633,HIP85235,GJ675,TIC1400994843+TIC219880402,-,-,-,K0,PM*,261.2504,67.3067,78.1747,12.792,-531.749,4.818,6.223578,0.955492,0.0,6.398,-38.48,268.0,219.0,1.2982,0.979,2025.078082,2025.809589,311.0,247.0,1.3271,1.018,2025.023288,2025.872603,1.252,2.962,4.41,5.842,7.409,8.6,7.009,5.34,3.908,2.477,0.838,0.009
428,HD143105,Gaia DR3 1646538011423566464,HD143105,HIP77838,-,TIC272783172,-,-,-,F5,*,238.4023,68.7201,21.4555,46.608,2.373,-31.78,6.641727,0.672119,7.272,6.77,15.94,255.0,209.0,1.323,1.0194,2025.017808,2025.713699,303.0,242.0,1.3546,1.0421,2025.963014,2026.79589,2.702,4.412,5.86,7.292,8.654,7.454,5.459,3.79,2.358,0.927,0.008,0.596
429,HD140412,Gaia DR3 1647299869902273408,HD140412,HIP76604,-,TIC272680526,-,-,-,F5,PM*,234.6721,68.822,17.8854,55.912,-67.15,84.548,7.336957,0.621629,7.895,7.45,-29.65,252.0,207.0,1.3247,1.0252,2025.009589,2025.69726,301.0,241.0,1.3571,1.0469,2025.954795,2026.782192,3.202,4.912,6.36,7.792,8.726,6.954,4.959,3.29,1.858,0.47,0.0,1.006
430,HD144061,Gaia DR3 1647986068237087104,HD144061,HIP78217,-,TIC237096607,-,-,J15583+7054A,G2V,PM*,239.5876,70.8944,33.7812,29.602,-57.116,255.357,7.134841,0.793037,7.916,7.262,-8.58,245.0,202.0,1.3615,1.0346,2025.031507,2025.7,301.0,241.0,1.3936,1.0581,2025.968493,2026.79589,2.618,4.329,5.777,7.209,8.56,7.387,5.393,3.723,2.291,0.86,0.003,0.538
431,HD151541,Gaia DR3 1648568843759668480,HD151541,HIP81813,GJ637.1+GJ9576,TIC230123572,-,-,-,K1,PM*,250.6607,68.1022,41.3671,24.174,-282.977,425.74,7.357851,0.948838,8.325,7.559,9.22,263.0,215.0,1.312,0.9988,2025.047945,2025.765753,308.0,245.0,1.3416,1.0268,2025.993151,2026.839726,2.235,3.945,5.393,6.826,8.379,7.987,5.993,4.323,2.891,1.46,0.146,0.309
432,HD162004,Gaia DR3 1651268763282397312,HD162004,HIP86620,GJ694.1B+GJ9602B,TIC441804565,-,31DraB+psi01DraB,J17419+7209B,F8V,PM*,265.4921,72.1569,44.0496,22.702,34.067,-276.438,5.656994,0.689108,6.339,5.808,-10.85,245.0,203.0,1.3852,0.9993,2025.121918,2025.790411,306.0,243.0,1.4149,1.0521,2025.042466,2025.878082,1.068,2.779,4.227,5.659,7.226,8.401,6.826,5.157,3.724,2.293,0.673,0.0
433,HD161897,Gaia DR3 1651469733391948288,HD161897,HIP86540,-,TIC441801208,-,-,J17411+7225A,K0,PM*,265.2779,72.4203,33.356,29.98,-121.464,298.208,7.432245,0.874634,8.313,7.6,-16.68,242.0,201.0,1.3903,1.0005,2025.124658,2025.784932,305.0,243.0,1.4199,1.0538,2025.042466,2025.875342,1.068,2.779,4.227,5.659,7.226,8.401,6.826,5.157,3.724,2.293,0.673,0.0
434,HD148004,Gaia DR3 1652932530531522432,HD148004,HIP79981,-,TIC230077650,-,-,-,F8,PM*,244.8867,70.3686,22.9134,43.643,64.622,27.257,7.401253,0.699223,8.349,7.52,-3.5,250.0,206.0,1.3514,1.0208,2025.045205,2025.727397,304.0,243.0,1.3828,1.048,2025.982192,2026.817808,2.168,3.879,5.327,6.759,8.305,7.919,5.926,4.257,2.824,1.393,0.12,0.275
435,HD148941,Gaia DR3 1653270595998453504,HD148941,HIP80467,-,TIC230085290,-,-,J16255+7123A,F8,*,246.3718,71.3846,28.2998,35.336,20.773,-32.282,6.950335,0.784889,7.818,7.114,3.87,244.0,202.0,1.3701,1.0252,2025.056164,2025.721918,303.0,242.0,1.4017,1.0549,2025.987671,2026.820548,2.118,3.829,5.277,6.709,8.247,7.868,5.876,4.207,2.774,1.343,0.102,0.251
436,HD154181A,Gaia DR3 1656220516976649088,HD154181A,HIP82886,-,TIC441716374,-,-,J16563+7417A,F6V,PM*,254.0787,74.2826,20.2079,49.486,53.616,-85.377,6.974267,0.664355,7.567,7.107,-7.85,221.0,186.0,1.4308,1.0275,2025.110959,2025.713699,299.0,239.0,1.4609,1.0747,2025.017808,2025.834247,1.452,3.162,4.61,6.042,7.609,8.067,6.209,4.54,3.108,1.677,0.248,0.036
437,HD123300,Gaia DR3 1659915425801141632,HD123300,HIP68792,-,TIC441663519,-,-,-,G5,PM*,211.2149,58.8675,21.4115,46.704,-179.677,18.216,7.447945,0.749961,8.187,7.58,-32.39,261.0,210.0,1.1946,1.0028,2025.924658,2026.642466,292.0,233.0,1.2279,1.0112,2025.894521,2026.69726,4.835,6.545,7.993,9.165,7.872,5.604,3.609,1.94,0.521,0.0,0.48,2.633
438,HD122064,Gaia DR3 1661568850770761600,HD122064,HIP68184,-,TIC202380743,-,-,-,K3V,PM*,209.3836,61.4929,99.3325,10.067,-31.693,216.29,6.169921,1.220587,7.546,6.497,-26.75,257.0,206.0,1.2236,1.0212,2025.924658,2026.631507,291.0,232.0,1.2585,1.0292,2025.889041,2026.689041,4.835,6.545,7.993,9.165,7.872,5.604,3.609,1.94,0.521,0.0,0.48,2.633
439,HD117043,Gaia DR3 1665517334465010432,HD117043,HIP65530,GJ511.1,TIC355916910,-,-,-,G6V,PM*,201.4994,63.2613,47.8881,20.882,-392.484,220.895,6.327287,0.890028,7.251,6.51,-30.99,249.0,198.0,1.2435,1.0511,2025.908219,2026.593151,285.0,226.0,1.2814,1.0508,2025.872603,2026.656164,5.318,7.029,8.477,9.153,7.355,5.087,3.093,1.423,0.172,0.0,0.831,3.116
440,HD126323,Gaia DR3 1666363752260912640,HD126323,HIP70252,-,TIC166090806,-,-,-,G0,PM*,215.6205,60.9657,24.0161,41.639,-9.833,-81.348,7.284247,0.733445,8.0,7.4,-2.83,261.0,211.0,1.217,1.0055,2025.938356,2026.656164,294.0,235.0,1.2496,1.0171,2025.905479,2026.713699,4.335,6.045,7.493,8.883,8.355,6.104,4.109,2.44,1.008,0.041,0.217,2.133
441,HD130460,Gaia DR3 1668845350004416256,HD130460,HIP72130,-,TIC282855338,-,-,-,F5,PM*,221.3192,65.33,21.2399,47.081,-111.154,36.246,7.107183,0.638721,7.697,7.22,-12.39,256.0,208.0,1.2719,1.0224,2025.960274,2026.664384,297.0,237.0,1.3062,1.0385,2025.919178,2026.735616,3.785,5.495,6.943,8.376,8.674,6.554,4.559,2.89,1.458,0.21,0.046,1.583
442,HD128385,Gaia DR3 1668986018773531776,HD128385,HIP71192,-,TIC232979046,-,-,-,F5,SB*,218.3981,65.3954,32.8006,30.487,54.33,43.997,6.470979,0.688456,7.098,6.616,5.02,254.0,206.0,1.273,1.0281,2025.954795,2026.653425,294.0,235.0,1.3067,1.0419,2025.913699,2026.721918,4.285,5.995,7.443,8.82,8.299,6.054,4.059,2.39,0.958,0.03,0.196,2.083
443,HD129499,Gaia DR3 1669516773651710464,HD129499,HIP71679,-,TIC219003568,-,-,-,G5,*,219.9154,66.3468,18.6291,53.679,-27.953,-24.297,7.244112,0.750083,7.967,7.38,-11.41,253.0,206.0,1.287,1.0321,2025.960274,2026.656164,295.0,236.0,1.321,1.0475,2025.916438,2026.727397,4.268,5.979,7.427,8.799,8.28,6.037,4.043,2.373,0.941,0.027,0.189,2.066
444,HD121953,Gaia DR3 1671271903447240576,HD121953,HIP68085,-,TIC358767963,-,-,-,F5,SB*,209.1051,65.3507,17.9237,55.792,-15.356,-284.139,7.432044,0.842197,8.275,7.59,-27.88,247.0,198.0,1.2708,1.0497,2025.932877,2026.612329,289.0,230.0,1.309,1.0542,2025.891781,2026.686301,4.785,6.495,7.943,9.091,7.822,5.554,3.559,1.89,0.478,0.0,0.449,2.583
445,HD109413,Gaia DR3 1689791802427582592,HD109413,HIP61293,-,TIC154561824,-,-,-,F8,SB*,188.3923,72.4791,20.1986,49.508,90.963,-36.266,7.376251,0.705297,8.042,7.5,-24.02,214.0,165.0,1.3911,1.1582,2025.913699,2026.50274,268.0,209.0,1.4287,1.1513,2025.850685,2026.587671,6.068,7.779,8.682,8.209,6.022,3.754,1.759,0.244,0.0,0.035,1.547,3.866
