,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,Ls,Ms,Rs,teff,logg,feh,age,Ls_lerr,Ms_lerr,Rs_lerr,teff_lerr,logg_lerr,feh_lerr,age_lerr,Ls_uerr,Ms_uerr,Rs_uerr,teff_uerr,logg_uerr,feh_uerr,age_uerr,Ls_origin,Ms_origin,Rs_origin,teff_origin,logg_origin,feh_origin,age_origin,HZ_period_inf,HZ_period_sup,HZ_amp_inf,HZ_amp_sup,vsini,logRHK,pmag,prot
183,HD70843,Gaia DR3 656046844193198848,HD70843,HIP41226,-,TIC6953932,-,-,-,F5,PM*,126.1892,17.1818,2.734,1.285,1.345,6400.0,4.286,0.19,1.55,0.22,0.03,0.025,74.0,0.02,0.03,0.5,0.22,0.03,0.025,64.0,0.02,0.03,0.5,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,826,1551,0.0466,0.0575,,-4.783,,4.9
184,HD68168,Gaia DR3 656546537868692480,HD68168,HIP40133,-,TIC27549653,-,-,-,G0,PM*,122.955,16.5239,1.152,1.005,1.074,5770.0,4.375,0.12,6.45,0.084,0.03,0.02,57.0,0.02,0.02,1.5,0.084,0.02,0.02,47.0,0.02,0.02,1.5,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,373,813,0.0681,0.0883,0.1,-4.964,23.0,21.2
185,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,1.916,1.095,1.278,6008.0,4.27,0.1,4.65,0.582,0.05,0.14,80.0,0.1,0.07,1.7,0.582,0.06,0.18,80.0,0.1,0.07,1.5,,BRILLIANT_ISO_v005_logginput,BRILLIANT_ISO_v005_logginput,S2022,S2022,S2022,BRILLIANT_ISO_v005_logginput,518,1043,0.0592,0.0748,,,,
186,HD68257,Gaia DR3 657244586015485440,HD68257,HIP40167A,GJ9257A,-,-,16CncA+zetCncA+zet01CncA,J08122+1739A,-,PM*,123.053,17.6476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,-4.877,,
187,HD74655,Gaia DR3 661183762517030784,HD74655,HIP43004,-,TIC184916538,-,-,-,F8,SB*,131.4586,20.0223,3.198,1.195,1.496,6310.0,4.156,-0.06,3.65,0.269,0.04,0.03,79.0,0.03,0.06,0.4,0.269,0.03,0.03,61.0,0.02,0.06,0.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,678,1307,0.0518,0.0645,0.2,-5.076,,9.1
188,HD73344,Gaia DR3 666427539629086976,HD73344,HIP42403,-,TIC175193677,-,-,-,F6V,PM*,129.6897,23.6859,1.802,1.185,1.16,6210.0,4.375,0.13,1.05,0.143,0.03,0.022,70.0,0.02,0.02,0.58,0.143,0.03,0.022,60.0,0.02,0.02,0.9,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,661,1281,0.0525,0.0654,8.2,-4.655,,5.2
189,HD64468,Gaia DR3 670216834655936128,HD64468,HIP38657,GJ292.1,TIC293253336,-,-,J07549+1914A,K2.5V,SB*,118.7253,19.2363,0.353,0.805,0.814,4930.0,4.546,0.09,11.35,0.024,0.02,0.016,54.0,0.02,0.07,3.6,0.024,0.03,0.016,20.0,0.01,0.07,1.8,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,171,398,0.1001,0.1326,0.6,-5.102,,53.9
190,HD65430,Gaia DR3 670853314448533888,HD65430,HIP39064,GJ3471,TIC54234694,-,-,-,K0V,SB*,119.8914,20.8439,0.48,0.795,0.871,5150.0,4.501,-0.09,13.05,0.032,0.01,0.016,33.0,0.01,0.03,1.2,0.032,0.01,0.016,47.0,0.01,0.03,0.5,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,165,384,0.1022,0.1353,,-5.055,,45.8
191,HD62346,Gaia DR3 672866898196152064,HD62346,HIP37722,-,TIC62740103,-,-,-,G5,PM*,116.0579,20.2015,2.284,0.845,1.555,5690.0,3.969,-0.5,12.95,0.227,0.01,0.047,53.0,0.02,0.04,0.7,0.227,0.02,0.047,58.0,0.02,0.04,0.5,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,198,467,0.0919,0.1224,,-5.194,,31.3
192,HD69897,Gaia DR3 683184784030475520,HD69897,HIP40843,GJ303,TIC302188141,-,18Cnc+chiCnc,-,F6V,PM*,125.0161,27.2177,2.12,1.025,1.234,6269.0,4.26,-0.28,5.05,0.23,0.02,0.05,18.0,0.04,0.02,0.4,0.23,0.02,0.07,18.0,0.04,0.02,0.5,,BRILLIANT_ISO_v005_logginput,BRILLIANT_ISO_v005_logginput,S2022,S2022,S2022,BRILLIANT_ISO_v005_logginput,405,864,0.0659,0.0848,,-4.788,,6.5
193,HD76780,Gaia DR3 685042030968334592,HD76780,HIP44097,-,TIC203219063,-,-,J08589+2110A,G5,PM*,134.7322,21.1663,1.069,1.025,1.035,5770.0,4.416,0.16,4.25,0.081,0.03,0.02,63.0,0.03,0.05,1.7,0.081,0.04,0.02,43.0,0.02,0.05,1.9,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,405,864,0.0659,0.0848,1.4,-4.751,,14.9
194,HD76752,Gaia DR3 691401846741926400,HD76752,HIP44089,-,TIC126319262,-,-,-,G2V,PM*,134.7078,25.405,1.325,0.935,1.189,5680.0,4.256,0.04,11.55,0.094,0.02,0.02,55.0,0.02,0.03,1.2,0.094,0.02,0.02,49.0,0.02,0.03,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,283,641,0.0773,0.1016,,-4.985,,24.8
195,HD80536,Gaia DR3 693631553243146624,HD80536,HIP45869,-,TIC149417907,-,-,-,G0,PM*,140.2942,25.1632,2.357,1.095,1.44,5960.0,4.155,0.05,6.55,0.168,0.04,0.024,63.0,0.02,0.04,1.4,0.168,0.05,0.024,48.0,0.02,0.04,1.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,518,1043,0.0592,0.0748,1.4,-4.851,,13.1
196,HD80509,Gaia DR3 702505745951768448,HD80509,HIP45870,-,TIC8768025,-,-,-,F5,PM*,140.2992,34.9477,2.787,0.985,1.41,6280.0,4.126,-0.44,6.75,0.2,0.03,0.024,38.0,0.02,0.06,0.8,0.2,0.03,0.024,81.0,0.02,0.06,0.8,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,342,763,0.0705,0.0921,2.5,-5.086,,9.9
197,HD73226,Gaia DR3 702798559642115584,HD73226,HIP42356,-,TIC117162940,-,-,-,G5,PM*,129.5354,26.049,1.577,1.085,1.19,5930.0,4.316,0.15,5.05,0.115,0.03,0.023,61.0,0.02,0.04,1.0,0.115,0.02,0.023,43.0,0.02,0.04,0.9,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,503,1017,0.0601,0.076,,-4.909,,15.1
198,HD75732,Gaia DR3 704967037090946688,HD75732,HIP43587,GJ324A,TIC332064670,-,55Cnc+rhoCnc+rho01Cnc,J08526+2820A,K0IV-V,PM*,133.1492,28.3308,0.593,0.959,0.918,5286.0,4.495,0.42,4.79,0.07,0.051,0.009,129.0,0.031,0.13,3.18,0.07,0.043,0.01,129.0,0.025,0.13,4.36,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,306,689,0.0744,0.0975,1.3,-4.963,11.0,36.8
199,HD74057,Gaia DR3 709910784966516992,HD74057,HIP42753,-,TIC332146607,-,-,-,F8,SB*,130.6926,31.8626,2.131,1.065,1.131,6557.0,5.08,-0.4,1.85,0.717,0.04,0.1,117.0,0.33,0.06,1.27,0.717,0.05,0.2,117.0,0.33,0.06,1.8,,BRILLIANT_ISO_v005_logginput,BRILLIANT_ISO_v005_logginput,F2025,F2025,F2025,BRILLIANT_ISO_v005_logginput,471,966,0.0619,0.0786,0.4,-4.809,,3.5
200,HD74011,Gaia DR3 711192403208467968,HD74011,HIP42734,-,TIC332147244,-,-,-,F8,PM*,130.6284,34.1877,2.178,0.825,1.503,5720.0,3.984,-0.62,13.25,0.193,0.01,0.034,50.0,0.02,0.02,0.5,0.193,0.01,0.034,72.0,0.02,0.02,0.4,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,183,432,0.0958,0.1275,,-4.971,,23.0
201,HD77408,Gaia DR3 712473918368645120,HD77408,HIP44441,-,TIC166595382,-,-,-,F6IV,PM*,135.8156,32.8814,2.8,1.045,1.441,6220.0,4.138,-0.27,6.05,0.204,0.03,0.025,41.0,0.02,0.05,1.1,0.204,0.04,0.025,78.0,0.02,0.05,0.8,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,438,914,0.0638,0.0816,8.5,-5.074,,8.5
202,HD76349,Gaia DR3 712966087261585664,HD76349,HIP43904,-,TIC165986450,-,-,-,G0,*,134.1643,33.2578,1.968,0.925,1.224,6180.0,4.229,-0.45,8.05,0.151,0.03,0.021,69.0,0.02,0.03,1.0,0.151,0.03,0.021,59.0,0.01,0.03,1.1,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,271,617,0.0789,0.1037,,-4.923,,9.8
203,HD78366,Gaia DR3 714116137767540096,HD78366,HIP44897,GJ334.2,TIC355127594,-,-,-,G0IV-V,PM*,137.2128,33.8822,1.225,1.098,1.034,5971.0,4.45,0.22,0.98,0.107,0.036,0.008,107.0,0.017,0.16,0.69,0.107,0.022,0.008,107.0,0.01,0.16,1.3,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,518,1043,0.0592,0.0748,,-4.571,,6.9
204,5LMi,Gaia DR3 716109930305855360,HD75332,HIP43410,-,TIC284898141,-,5LMi,-,F7Vs,PM*,132.6343,33.2851,2.013,1.235,1.161,6380.0,4.366,0.14,0.57,0.239,0.03,0.044,72.0,0.02,0.05,0.34,0.239,0.03,0.044,65.0,0.02,0.05,0.57,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,743,1415,0.0494,0.0612,,-4.407,,1.5
205,HD75353A,Gaia DR3 716546681236997888,HD75353A,-,-,TIC284928216,-,-,J08508+3504A,-,PM*,132.6844,35.071,2.546,1.005,1.558,5842.0,4.058,-0.12,9.05,0.093,0.02,0.02,32.0,0.003,0.03,0.4,0.093,0.02,0.01,19.0,0.003,0.0,0.4,,BRILLIANT_ISO_v005_logginput,BRILLIANT_ISO_v005_logginput,GaiaDR3_gspspec,GaiaDR3_gspphot,GaiaDR3_gspspec,BRILLIANT_ISO_v005_logginput,373,813,0.0681,0.0883,,,,
206,HD76218,Gaia DR3 717094512905486976,HD76218,HIP43852,-,TIC188503588,-,-,-,G5V,*,133.982,36.1962,0.503,0.885,0.808,5410.0,4.565,0.01,1.95,0.036,0.02,0.015,52.0,0.03,0.05,1.32,0.036,0.02,0.015,40.0,0.01,0.05,2.2,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,233,538,0.085,0.1124,4.4,-4.39,,6.6
207,HD77407,Gaia DR3 718976395775952256,HD77407,HIP44458,-,TIC88646759,-,-,J09035+3750A,G0V,PM*,135.8628,37.841,1.178,0.925,1.121,5680.0,4.306,0.01,11.05,0.09,0.03,0.021,48.0,0.03,0.1,2.0,0.09,0.05,0.021,62.0,0.02,0.1,1.7,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,271,617,0.0789,0.1037,5.2,-4.386,,4.6
208,HD76493,Gaia DR3 719601571215916544,HD76493,HIP44014,-,TIC416841738,-,-,J08578+3816A,F5,PM*,134.444,38.259,2.353,1.075,1.292,6290.0,4.238,-0.21,4.45,0.197,0.03,0.025,58.0,0.02,0.01,0.6,0.197,0.02,0.025,81.0,0.02,0.0,0.9,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspspec,BRILLIANT_ISO_v005_Rinput,487,991,0.061,0.0772,,,,
209,HD75933,Gaia DR3 720011654692793472,HD75933,HIP43737,-,TIC188474788,-,-,-,G5,PM*,133.6255,40.1333,3.334,1.035,1.772,5860.0,3.959,-0.18,7.55,0.25,0.02,0.033,62.0,0.02,0.04,0.5,0.25,0.03,0.033,50.0,0.01,0.04,0.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,421,889,0.0648,0.0831,,-4.84,,15.2
210,HD89125A,Gaia DR3 725398123501434496,HD89125A,HIP50384,GJ387+GJ387A,TIC95360514,-,39Leo+39LeoA,J10172+2306A,F6V,PM*,154.3106,23.1062,1.516,0.955,1.092,6128.0,4.35,-0.33,5.65,0.369,0.03,0.1,50.0,0.1,0.05,2.8,0.369,0.03,0.13,50.0,0.1,0.05,1.9,,BRILLIANT_ISO_v005_logginput,BRILLIANT_ISO_v005_logginput,S2022,S2022,S2022,BRILLIANT_ISO_v005_logginput,306,689,0.0744,0.0975,,,,
211,35Leo,Gaia DR3 725469767850488064,HD89010,HIP50319,-,TIC95360265,-,35Leo,J10167+2325B,G1.5IV-V,PM*,154.1345,23.5031,3.114,1.175,1.761,5778.0,4.018,0.02,5.63,0.587,0.07,0.025,224.0,0.043,0.12,2.0,0.587,0.127,0.034,224.0,0.052,0.12,1.57,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,645,1254,0.0531,0.0663,4.6,,,
212,HD89055,Gaia DR3 727103367251735040,HD89055,HIP50355,-,TIC1043986,-,-,J10169+2552A,G0V,PM*,154.236,25.8607,1.114,0.915,1.024,5860.0,4.371,-0.16,7.85,0.095,0.03,0.023,51.0,0.02,0.04,2.0,0.095,0.04,0.023,69.0,0.03,0.04,2.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,260,593,0.0805,0.106,30.0,-3.981,,1.1
213,HD94426,Gaia DR3 736376888838503936,HD94426,HIP53324,-,TIC101624378,-,-,-,F8V,PM*,163.6064,30.532,2.086,1.115,1.24,6230.0,4.29,-0.04,3.65,0.175,0.03,0.027,73.0,0.02,0.04,0.8,0.175,0.03,0.027,55.0,0.03,0.04,0.8,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,549,1096,0.0575,0.0724,1.1,-5.125,,11.5
214,24LMi,Gaia DR3 741184091114529792,HD88986,HIP50316,-,TIC1042868,-,24LMi,-,G2V,PM*,154.117,28.6825,2.471,1.055,1.551,5810.0,4.08,0.04,8.35,0.186,0.02,0.029,53.0,0.02,0.01,0.7,0.186,0.02,0.029,56.0,0.01,0.0,0.7,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspspec,BRILLIANT_ISO_v005_Rinput,454,940,0.0628,0.0801,,-5.001,,20.9
215,HD86728,Gaia DR3 746545172372256384,HD86728,HIP49081,GJ376+GJ376A,TIC172954294,-,20LMi+20LMiA,J10010+3155A,G3VaHdel1,PM*,150.2527,31.9237,1.248,0.97,1.151,5687.0,4.302,-0.02,8.99,0.153,0.045,0.014,141.0,0.027,0.09,2.67,0.153,0.051,0.013,141.0,0.031,0.09,2.58,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,318,714,0.0731,0.0956,4.3,-4.985,50.0,24.2
216,HD87836,Gaia DR3 747090839376823552,HD87836,HIP49680,-,TIC407590949,-,-,-,G5,PM*,152.1244,33.5146,1.908,1.065,1.432,5670.0,4.146,0.32,9.05,0.152,0.02,0.029,50.0,0.01,0.03,1.0,0.152,0.03,0.029,61.0,0.02,0.03,1.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,471,966,0.0619,0.0786,2.7,-5.017,,26.2
217,HD87883,Gaia DR3 747266452000257280,HD87883,HIP49699,-,TIC407591082,-,-,-,K0V,PM*,152.1798,34.2423,0.333,0.815,0.773,4990.0,4.571,0.12,6.35,0.024,0.02,0.015,52.0,0.02,0.04,4.0,0.024,0.03,0.015,29.0,0.02,0.04,4.4,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,177,415,0.0979,0.13,2.2,-4.932,,42.2
218,HD97334,Gaia DR3 761919883981626752,HD97334,HIP54745,GJ417+GJ417A,TIC85335212,-,-,J11125+3549A,G2,BY*,168.1348,35.8141,1.191,1.065,1.03,5940.0,4.436,0.06,2.15,0.091,0.03,0.02,59.0,0.03,0.02,1.18,0.091,0.03,0.02,50.0,0.02,0.02,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,471,966,0.0619,0.0786,5.9,-4.425,,4.0
219,HD100167,Gaia DR3 770810466284247936,HD100167,HIP56257,-,TIC18065952,-,-,-,F8,SB*,172.9746,41.4394,1.197,0.995,1.076,5820.0,4.365,0.06,6.25,0.091,0.03,0.02,55.0,0.02,0.04,1.6,0.091,0.03,0.02,58.0,0.03,0.04,1.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,357,788,0.0693,0.0902,,-4.691,,12.1
220,HD101177A,Gaia DR3 773861404893710208,HD101177A,HIP56809A,GJ433.2A+GJ9370A,TIC393884179,-,-,J11387+4507A,G0V,PM*,174.6871,45.1084,1.102,1.013,1.009,5886.0,4.436,-0.17,3.11,0.097,0.045,0.009,103.0,0.026,0.09,1.69,0.097,0.041,0.009,103.0,0.022,0.09,2.18,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,373,813,0.0681,0.0883,,,,
221,47UMa,Gaia DR3 777254360337133312,HD95128,HIP53721,GJ407,TIC21535479,-,47UMa,-,G1-VFe-0.5,PM*,164.8666,40.4303,1.511,1.024,1.191,5864.0,4.297,0.0,6.84,0.139,0.034,0.013,103.0,0.023,0.04,1.61,0.139,0.035,0.013,103.0,0.022,0.04,1.77,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,389,838,0.067,0.0865,4.2,-5.031,,22.5
222,HD97194,Gaia DR3 777967084390189696,HD97194,HIP54692,-,TIC156372021,-,-,J11118+4250A,F8,PM*,167.954,42.8321,2.309,0.965,1.343,6140.0,4.16,-0.33,7.65,0.181,0.02,0.025,48.0,0.01,0.04,0.9,0.181,0.03,0.025,77.0,0.02,0.04,1.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,318,714,0.0731,0.0956,0.0,-5.078,,13.0
223,HD83451,Gaia DR3 797813166194137472,HD83451,HIP47403,-,TIC155207713,-,-,-,F5,PM*,144.8669,35.2431,2.446,0.945,1.396,6110.0,4.119,-0.41,8.55,0.18,0.02,0.024,64.0,0.02,0.01,0.8,0.18,0.02,0.024,57.0,0.02,0.01,0.8,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspphot,BRILLIANT_ISO_v005_Rinput,295,665,0.0758,0.0995,,,,
224,HD83525,Gaia DR3 797819831983352960,HD83525,HIP47436,-,TIC155230105,-,-,-,F5,PM*,144.9909,35.336,3.069,1.185,1.447,6350.0,4.186,-0.08,3.55,0.231,0.03,0.025,77.0,0.02,0.06,0.4,0.231,0.03,0.025,52.0,0.02,0.06,0.4,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,661,1281,0.0525,0.0654,10.4,-5.097,,6.8
225,11LMi,Gaia DR3 798068905726303232,HD82885,HIP47080,GJ356A,TIC8915802,-,11LMi,J09357+3549A,G8Va,RS*,143.9146,35.8101,0.728,0.938,0.975,5400.0,4.432,0.23,8.5,0.07,0.037,0.01,103.0,0.023,0.11,3.3,0.07,0.048,0.009,103.0,0.027,0.11,2.98,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,283,641,0.0773,0.1016,4.3,-4.636,,18.1
226,HD87127,Gaia DR3 802818555442790784,HD87127,HIP49308,-,TIC9375900,-,-,J10039+3801A,F5,PM*,150.9729,38.0204,3.383,1.185,1.539,6310.0,4.126,-0.11,3.85,0.269,0.07,0.028,74.0,0.03,0.14,0.5,0.269,0.04,0.028,61.0,0.02,0.01,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspspec,BRILLIANT_ISO_v005_Rinput,661,1281,0.0525,0.0654,,,,
227,HD89269,Gaia DR3 806000816970521728,HD89269,HIP50505,GJ3593,TIC39777146,-,-,J10189+4403A,G4V,PM*,154.7164,44.0483,0.777,0.855,0.927,5630.0,4.428,-0.16,9.85,0.058,0.02,0.018,46.0,0.02,0.02,2.1,0.058,0.02,0.018,54.0,0.02,0.02,2.1,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,206,485,0.0901,0.1197,2.3,-4.893,17.0,20.6
228,HD88984,Gaia DR3 810562347114361472,HD88984,HIP50366,-,TIC39733489,-,-,-,F5,PM*,154.2537,47.3084,2.672,1.095,1.359,6330.0,4.199,-0.22,4.45,0.205,0.04,0.024,74.0,0.02,0.05,0.7,0.205,0.03,0.024,57.0,0.02,0.05,0.9,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,518,1043,0.0592,0.0748,3.8,-5.083,,8.8
229,15LMi,Gaia DR3 821455861647126656,HD84737,HIP48113,GJ368,TIC23969522,-,15LMi,-,G0.5Va,PM*,147.1474,46.021,2.45,1.085,1.502,5893.0,4.12,0.1,7.35,0.217,0.02,0.06,13.0,0.03,0.01,0.3,0.217,0.02,0.06,13.0,0.03,0.01,0.2,,BRILLIANT_ISO_v005_logginput,BRILLIANT_ISO_v005_logginput,S2022,S2022,S2022,BRILLIANT_ISO_v005_logginput,503,1017,0.0601,0.076,4.4,-4.931,,29.8
230,HD88230,Gaia DR3 823773494718931968,HD88230,HIP49908,GJ380,TIC371520835,-,-,J10114+4927A,K6VeFe-1,PM*,152.8422,49.4542,0.096,0.638,0.619,4080.0,4.66,-0.04,7.94,0.017,0.02,0.02,120.0,0.017,0.08,4.87,0.017,0.022,0.019,120.0,0.02,0.08,4.0,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,85,210,0.1449,0.1959,0.1,-4.794,9.8,39.0
231,HD86560,Gaia DR3 828365055275781760,HD86560,HIP49070,-,TIC252466747,-,-,-,F8,PM*,150.2307,53.1244,2.014,0.895,1.309,6010.0,4.152,-0.42,10.55,0.16,0.03,0.025,68.0,0.02,0.03,1.1,0.16,0.02,0.025,58.0,0.02,0.03,1.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,242,556,0.0835,0.1102,,,,
232,HD92855,Gaia DR3 829777377964973952,HD92855,HIP52498,-,TIC150276644,-,-,J10435+4612B,F9V,SB*,161.0026,46.2067,1.356,1.055,1.056,6060.0,4.41,-0.04,2.55,0.104,0.03,0.02,55.0,0.02,0.04,1.2,0.104,0.04,0.02,62.0,0.02,0.04,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,454,940,0.0628,0.0801,,-4.389,,2.6
233,HD96105,Gaia DR3 832865322008480896,HD96105,HIP54233,-,TIC318360556,-,-,-,F5,PM*,166.4423,50.1725,1.993,0.995,1.185,6300.0,4.282,-0.36,5.25,0.149,0.02,0.021,72.0,0.01,0.02,0.8,0.149,0.03,0.021,54.0,0.02,0.01,0.8,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspspec,BRILLIANT_ISO_v005_Rinput,357,788,0.0693,0.0902,,,,
234,HD90508A,Gaia DR3 834571523536798848,HD90508A,-,GJ392A,-,-,-,J10281+4847A,-,PM*,157.0162,48.7849,1.334,0.936,1.164,5750.0,4.277,-0.26,9.24,0.117,0.038,0.01,101.0,0.023,0.09,1.86,0.117,0.041,0.01,101.0,0.024,0.09,1.98,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,283,641,0.0773,0.1016,,,,
235,HD89652,Gaia DR3 834616362995049088,HD89652,HIP50742,-,TIC252478806,-,-,-,G0,PM*,155.4244,48.042,1.723,0.885,1.291,5820.0,4.159,-0.25,12.05,0.132,0.02,0.025,47.0,0.02,0.05,1.0,0.132,0.03,0.025,64.0,0.02,0.05,1.1,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,233,538,0.085,0.1124,,-4.989,,20.3
