,ra_j2000,dec_j2000,primary_name,gaiaedr3_source_id,hip,hd,tic,parallax,pmra,pmdec,gmag,bp_rp,radial_velocity,spectrum_harps_1d,spectrum_harps_2d,spectrum_sophie_1d,spectrum_sophie_2d,Teff(K),Teff_err(K),logg,logg_err,Fe/H,Fe/H_err,alpha,alpha_err,vmic,vmic_err,vmac,vmac_err,vsini,vsini_err,Notes,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,Bmag,e_Bmag,Vmag,e_Vmag,Mass,Mass-err,Mass+err,Radius,Radius-err,Radius+err,Age,Age-err,Age+err,MIST logg,MIST logg-err,MIST logg+err,Density,Density-err,density+err,MIST Teff,MIST Teff-err,MIST Teff+err,logLuminosity,logLuminosity-err,logLuminosity+err,deltanu,deltanu-err,deltanu+err,numax,numax-err,numax+err,Unnamed: 75,Unnamed: 76,Unnamed: 77,ra,dec,season_length,airmass_min,airmass_mean,tyr_rise,tyr_set,eff_nights,eff_airmass_mean,eff_seeing,nb_subexp,snr_550,snr_550_texp15,sig_rv_texp15,texp_snr_250,sig_rv_osc_texp15,sig_rv_osc+gr_texp15,HZ_period_inf,HZ_period_sup,HZ_amp_inf,HZ_amp_sup,HZ_mp_min_texp15,HZ_mp_min_osc_texp15,HZ_mp_min_osc+gr_texp15,NIGHTS,FIRST_NIGHT,LAST_NIGHT,ruwe,Teff_spec,Fe/H_spec,logg_spec,vsini_spec,Teff_phot,logRHK,Teff_gspphot,logg_gspphot,logRHK_BoroSaika+18,RHK,HJ,BDW,Teff,dist,log_ruwe,index,HWO
46,270.6286,26.313002,HD164922,4582680493669880704,88348.0,164922,159019691,45.4954,389.772,-602.431,6.802036,0.964453,20.2,,,True,True,5194.34953040589,105.839037346525,4.45510871306026,0.105179377114446,0.265,0.113736524537832,0.0,0.0,0.632964671954673,0.0915711190772613,2.85,0.0,0.0,0.0,,5.118,0.143,5.018,0.088,5.164,0.015,5.553,0.026,5.203,0.017,5.113,0.02,7.81,0.02,7.012,0.023,0.963243894866487,-0.0412728301184042,0.0458207442264693,0.961774027826452,-0.0089568174227346,0.0090346830861292,9.80974464779212,-0.297452535089912,0.16477333374521,4.45510871306026,-0.0245166968765895,0.0274869233610628,1.52457804720513,-0.0932084681951144,0.113959929953381,5444.9610798605,-74.4571750761688,66.6049170220049,-0.135930019175169,-0.0169956157033508,0.0151947086354215,147.573124353724,-4.25198576936467,5.05249791709423,3324.83947493086,-4.25198576936467,5.05249791709423,,,,18.041906666666662,26.313002,306,1.0009293744200771,1.0680202865825377,2025.072368855857,2025.875005257181,235.0151075671152,1.0583782559330988,0.8837876956988407,1.0,384.0,384.0,0.1117,12.103072956898178,0.2763406336195653,0.6474095519523856,306.28478948380257,689.2623488131045,0.074423616421348,0.0975282604977535,2.2834629152860484,5.649181637036047,13.234876480619771,283,2020-02-02,2020-11-10,1.0971951,5194.34953040589,0.265,3.95482538730069,0.0,5320,-4.965065961134783,,,-5.078756039873333,-5.021911,0,0,5194.34953040589,21.980244156552093,0.04028385940668689,1064,0
27,310.18808,19.935535,HD197076,1814241194252808704,102040.0,197076,330872058,47.7457,118.708,312.222,6.285079,0.786007,-35.29,True,True,,,5841.63984987441,162.910298247472,4.48200687732533,0.173338783143462,-0.0760000000000005,0.0595826536770457,0.0290542527691833,0.0,1.13339752507528,0.0448226728921168,4.56,0.0,0.0,0.0,,4.905,0.216,4.652,0.095,4.931,0.015,5.252,0.017,5.085,0.051,4.921,0.02,7.057,0.022,6.44,0.023,1.03174832108296,-0.0270291690588744,0.0182975770498595,0.966204404486745,-0.00668314738559,0.0070118250226964,9.05024224152652,-0.537540359057823,0.328317196745447,4.48200687732533,-0.0157303634719943,0.0111507810691744,1.61761021145217,-0.0662821905141038,0.0521816503367829,5981.50748483631,-60.5619016988767,56.6151619817456,0.0315224109203824,-0.0136410594112921,0.0124763057493396,151.21049426423,-2.85253879257286,2.20381986510193,3371.84203476358,-2.85253879257286,2.20381986510193,,,,20.67920533333333,19.935535,290,1.0117317150173804,1.0766820461804834,2025.223685554468,2025.9769795540708,220.09733619979824,1.0682241344428036,0.8709550356418305,1.0,467.0,467.0,0.1216,10.97495689289286,0.2330303419762305,0.5647177700863022,405.0994934553517,863.5607807252334,0.0658714651874486,0.084776287407615,2.902206483429494,5.561695471375068,13.478022809640729,264,2020-03-29,2020-12-17,0.9285767,5841.63984987441,-0.0760000000000005,4.20357362636645,0.0,5800,-4.896825356,5746.573,4.3514,-4.808414885783333,-4.85262,0,0,5841.63984987441,20.944294460024672,-0.032182217922032824,469,0
47,270.16205,29.571922,HD164595,4584639307993378432,88194.0,164595,158917706,35.402,-138.982,173.502,6.909487,0.817745,2.07,True,True,True,True,5531.00333029876,122.109458870895,4.40174805841365,0.124791731920487,-0.0555560812233752,0.0237350855556234,,,0.846838648087807,0.205708224781653,,,0.0,,,5.496,0.159,5.375,0.058,5.51,0.014,5.864,0.019,5.539,0.02,5.482,0.021,7.775,0.056,7.086,0.023,0.958513640351675,-0.0281648194199939,0.0270272213391832,1.02042316014337,-0.0092702071416039,0.0089265421920992,9.81874990591014,-0.135307168375544,0.109968761397342,4.40174805841365,-0.0194652313723216,0.0200598626890871,1.2723755532473,-0.065793803656353,0.0732509775017209,5767.34839264595,-71.5358973228922,73.7137756380698,0.0157508193935217,-0.0154686918599097,0.0160565045649468,135.289824904626,-3.22138273142684,3.45035912825324,2858.38025097077,-3.22138273142684,3.45035912825324,,,,18.010803333333335,29.571922,308,1.0001069068278987,1.0680214855995451,2025.069079362409,2025.875005257181,235.69818983756736,1.0565680316215695,0.8834840769068103,1.0,352.0,352.0,0.1537,12.64124742118579,0.3258695733493167,0.6863818880669008,306.28478948380257,689.2623488131045,0.074423616421348,0.0975282604977535,3.1375049824827146,6.652032596115794,14.011233530876996,285,2021-01-31,2020-11-10,0.8959606,5531.00333029876,-0.0555560812233752,4.03428616975535,,5700,-5.003760848,5666.93,4.3315,-4.8904568976050005,-4.947109,0,0,5531.00333029876,28.24699169538444,-0.047711088082088314,1065,0
38,295.45398,50.525063,16CygC,2135550755683405952,96895.0,186408,27533341,47.3239,-148.034,-159.03,5.818073,0.813247,-27.21,,,,,5837.11805324904,103.932264934769,4.28550120351126,0.0772359102848932,0.0819999999999998,0.103335446907681,0.0,0.0,1.28450388815689,0.0328919480703769,0.0,,4.97187043149385,0.334066735353305,,4.388,0.311,4.123,0.173,4.461,0.015,5.091,0.212,4.724,0.194,4.426,0.017,6.604,0.078,5.961,0.009,1.05428017442524,-0.0529101776669065,0.0521393053530883,1.2245066055457,-0.0123705143061776,0.0130335599618079,9.80924716264561,-0.142569492866803,0.12612617916572,4.28550120351126,-0.0293157607915218,0.0263108136548391,0.810551424289785,-0.0603338476678583,0.0587525544604151,5860.32304574645,-99.8782643620853,92.2305228420337,0.202135357900387,-0.0229528106533509,0.0199169783746928,108.487238092716,-3.70039194382282,3.487593336681,2165.502538268,-3.70039194382282,3.487593336681,,,,19.696932,50.525063,314,1.077267305615837,1.1383450713856424,2025.1447377117145,2025.9506636064864,233.9433070619613,1.1279294210653432,0.9103632862769944,1.0,566.0,566.0,0.1005,9.969033325337824,0.2512304476650875,0.5874329430421146,437.6247334879743,914.4226139116208,0.0638035130104803,0.0815692165488893,2.4019590974802467,6.004430441126289,14.03970051442391,285,2020-02-29,2020-12-09,1.0067511,5809.31443172482,0.1195,4.24106467556311,1.40057861660057,5950,-6.0,5665.8633,4.2665,-4.98603312334,-4.986033,0,0,5809.31443172482,21.130971876789527,0.0029221128001238683,562,0
26,201.4994,63.261276,HD117043,1665517334465010432,65530.0,117043,355916910,47.8881,-392.484,220.895,6.327287,0.890028,-30.99,,,True,True,5317.14636494554,103.522079705099,4.37629208118953,0.0703574052802997,0.233999999999999,0.0942510120825855,0.0,0.0,0.365106221502478,0.125073395869434,2.92,0.0,0.0,0.0,,4.795,0.226,4.528,0.119,4.831,0.014,5.238,0.02,4.895,0.053,4.795,0.018,7.251,0.02,6.51,0.023,0.96548203034267,-0.0332342075076153,0.0365713896469685,1.05409553860658,-0.0088414988357707,0.0093822853634195,9.96486370829949,-0.125292870225969,0.0914407325797768,4.37629208118953,-0.0200354915454293,0.0222801737443188,1.16088454886216,-0.0603925483914312,0.0705291113662059,5505.8397270674,-64.821918004186,66.1274726531983,-0.0365731050808765,-0.0144193882581618,0.0148659154043281,129.449560611598,-3.11475624605849,3.58480796113571,2758.15934233275,-3.11475624605849,3.58480796113571,,,,13.433293333333332,63.261276,290,1.2115466962500958,1.25112806294704,2025.8980317113176,2026.608556287889,202.2578476026092,1.2542565745464358,1.059378198838835,1.0,416.0,416.0,0.1262,11.628256367738294,0.2946127193199407,0.6442072677577872,318.1119076325314,713.7715223240443,0.0730553818518328,0.0956412650706562,2.83304777987245,6.613723537175461,14.461727176694897,249,2020-11-29,2020-08-03,0.9919479,5317.14636494554,0.233999999999999,3.99262114737908,0.0,5490,-4.7166427575892,5527.141,4.3656,-5.00142986862,-4.859036,0,0,5317.14636494554,20.88201452970571,-0.003511137661051234,439,0
28,307.04922,22.128992,HD195034,1818697205647102720,100963.0,195034,210119810,35.5219,-22.644,-244.007,6.938549,0.802354,-1.14,True,True,True,True,5640.35546427139,111.228285442564,4.45555707052877,0.178532406710079,0.0018081716275951,0.0124808402562939,,,1.10335942986701,0.051810067950436,,,0.0,,,5.555,0.147,5.401,0.054,5.57,0.016,5.901,0.029,5.632,0.021,5.579,0.018,7.736,0.022,7.089,0.023,1.00001803385172,-0.0324547424654964,0.0300500596264535,0.980415069600886,-0.0089343572629007,0.009946166378582,9.52585066598193,-0.317744373318297,0.211313443863329,4.45555707052877,-0.0227065129371855,0.020013511170446,1.49881999329674,-0.089326860631747,0.0836989881451866,5811.13385563676,-86.7088544994076,78.6259612129861,-0.0060471177827308,-0.0184973345115205,0.0177926056278272,146.116520183445,-4.00954174843039,3.71900391635717,3219.661491285,-4.00954174843039,3.71900391635717,,,,20.469948,22.128992,293,1.0065858379998982,1.0728807135898488,2025.207238087228,2025.9704005671747,223.01392985798745,1.0641271399067644,0.8705291894809345,1.0,346.0,346.0,0.1643,12.75038251721336,0.322818485833482,0.6424192588776186,357.2449270932882,788.1094082093332,0.0692613479610505,0.0901635674147161,3.704930609657112,7.279489285012953,14.486419820139536,268,2020-03-23,2020-12-15,0.96397793,5640.35546427139,0.0018081716275951,4.09867117666225,,5820,-4.846772085,5691.77,4.3466,-4.773665764275,-4.810219,0,0,5640.35546427139,28.151647293641386,-0.015932909031750465,471,0
15,157.01617,48.7849,HD90508A,834571523536798848,51248.0,90508A,252487672,43.4944,81.798,-880.658,6.277527,0.791651,-7.23,,,,,5749.90611920621,101.040574315775,4.27744182832005,0.0807843143860199,-0.256,0.0817400557288877,0.103024227954821,0.0,1.02817434651607,0.0455620368303498,0.0,,0.0,0.0,,4.785,0.271,4.393,0.115,4.714,0.012,5.195,0.03,4.895,0.036,4.874,0.017,7.026,0.023,6.442,0.023,0.936721267373535,-0.0385999245976534,0.0411299695835946,1.16439025300658,-0.0102266175732337,0.0095594217412544,9.96646057089,-0.100245482398163,0.0863930569941243,4.27744182832005,-0.0234307802350253,0.0237795006318757,0.836435342608385,-0.0489303624310383,0.0535759351459076,5888.81874099258,-83.514075459806,89.6418248577093,0.166608496627508,-0.0201838894782868,0.0213035403918602,110.618483169102,-2.91704066099443,3.03331318727324,2123.47287301429,-2.91704066099443,3.03331318727324,,,,10.467744666666665,48.7849,272,1.0634895744654471,1.1175131826571945,2025.779609947188,2026.483555536864,186.2634515023192,1.126252364862372,1.006380699116911,1.0,434.0,434.0,0.1695,11.38456388847968,0.3364852613752506,0.6718102707083091,282.8752690952184,640.6820755579757,0.0773369457351056,0.1015631622268078,3.745573405410656,7.4355766744530465,14.845514356618144,248,2020-10-17,2020-06-20,0.93805134,5749.90611920621,-0.256,4.11526194691962,0.0,5810,-6.0,5701.18,4.3133,,-6.0,0,0,5749.90611920621,22.991465567981166,-0.02777339182505513,234,0
13,154.71645,44.04832,HD89269,806000816970521728,50505.0,89269,39777146,49.5415,61.772,-300.268,6.492669,0.844429,-7.64,,,True,True,5415.24014035232,101.620980658207,4.48426941838027,0.056876241451978,-0.131,0.0731064912058673,0.0535651434706109,0.0,0.37651778937232,0.0735278225432177,3.44,0.0,0.0,0.0,,5.009,0.204,4.811,0.088,5.046,0.015,5.394,0.019,5.074,0.018,5.012,0.021,7.281,0.065,6.628,0.013,0.928723213686362,-0.0360149436367936,0.0356359581184916,0.913729519781727,-0.0080682499097291,0.0081357112250317,9.66817877036057,-0.292259013365525,0.188054325613177,4.48426941838027,-0.0222767399064221,0.0224811734696377,1.71883416378617,-0.0984995605777439,0.105908116317,5683.63808901961,-68.4156207685301,64.8282026322031,-0.106133043690981,-0.01447009036193,0.0141719668240425,156.48635501174,-4.22811830719664,4.37146373150759,3484.16673700962,-4.22811830719664,4.37146373150759,,,,10.314430000000002,44.04832,271,1.0360934808466933,1.0926494299356042,2025.77632045374,2026.4769765499675,185.03403007148844,1.1009563254094967,0.9928862708838794,1.0,407.0,407.0,0.1334,11.756121307913942,0.3225038392453008,0.6973810081960632,271.29979956764697,616.6230558410006,0.0788904726623383,0.1037244928761072,2.899378521696694,7.0094505597642325,15.157207770636074,248,2020-10-15,2020-06-18,0.9622041,5415.24014035232,-0.131,3.99508731575583,0.0,5610,-4.833692774549704,5580.7573,4.4154,-4.905319871366667,-4.869506,0,0,5415.24014035232,20.185097342631934,-0.01673279687891071,227,0
31,300.90585,29.896803,HD190360,2029433521248546304,98767.0,190360,105999792,62.4865,683.196,-525.501,5.552787,0.90806,-45.14,,,True,True,5381.8829620329,103.378350029616,4.30588435512381,0.088361697219671,0.31,0.0824058633605997,0.0,0.0,0.555062089461854,0.0851988192586211,2.9,0.0,0.0,0.0,,4.007,0.301,3.706,0.209,4.049,0.014,4.554,0.226,4.239,0.252,4.076,0.027,6.472,0.092,5.738,0.022,0.972923747872899,-0.0229463313885085,0.0342598502916925,1.14847240932032,-0.0102735165752865,0.0093247070970583,10.0464474619091,-0.0915881263030496,0.0594466467132904,4.30588435512381,-0.0151667044421231,0.0200434249648076,0.906091959954315,-0.0366955078211736,0.0500992458797468,5470.40574687503,-63.9168689765002,74.2996648207527,0.027066735767949,-0.0163247414606428,0.0182243737556801,114.881719406626,-2.17926603268289,2.91590435165136,2353.87310510813,-2.17926603268289,2.91590435165136,,,,20.06039,29.896803,303,1.000252489636036,1.0691202454593451,2025.1743431527464,2025.9605320868309,228.83156086633056,1.0578784483988082,0.8717199041580034,2.0,479.0,677.0,0.0648,9.11521525733717,0.307866513670872,0.7243508992666418,318.1119076325314,713.7715223240443,0.0730553818518328,0.0956412650706562,1.3676163341140948,6.497581370726,15.28756360289032,277,2020-03-11,2020-12-12,1.0123955,5381.8829620329,0.31,3.96071839866754,0.0,5440,-4.962847131914537,5435.3867,4.3218,-5.0769102577125,-5.019879,0,0,5381.8829620329,16.003456746657278,0.0053502060935734525,525,1
43,260.71368,-2.3881776,HD157347,4367026303085396352,85042.0,157347,59476871,50.9694,48.702,-108.118,6.121606,0.84487,-35.98,True,True,True,True,5606.04700838161,106.808266208575,4.38273713498735,0.144682013888971,0.0542064788778071,0.0009784510580605,,,1.25355651552987,0.124936813611407,,,0.0,,,4.708,0.237,4.46,0.126,4.704,0.015,5.133,0.017,4.803,0.076,4.686,0.016,6.966,0.022,6.295,0.023,0.946055007199122,-0.0264878070774714,0.0281842949032898,1.03642748331245,-0.0093306458755044,0.0101915727114925,9.93691481348772,-0.112776295683844,0.0975301824727524,4.38273713498735,-0.0197001995532915,0.0198426959690199,1.19865330877847,-0.0639559586074432,0.0655594668857658,5616.16850061363,-72.7293933073051,74.6944923716064,-0.0169095359886372,-0.0160510217042037,0.0172908461953157,131.597130321982,-3.28607952552593,3.272851080668,2771.91702792937,-3.28607952552593,3.272851080668,,,,17.380912000000002,-2.3881776,271,1.168709319668818,1.2107270974018918,2025.0921058165447,2025.786188934084,208.392455497774,1.2060926843370476,0.950137556412881,1.0,481.0,481.0,0.1129,10.814058763658858,0.3692420348961195,0.7704589660645103,294.5381218962426,664.8972437168075,0.0758494662675514,0.0995001042055184,2.4049157503351286,7.865332023095402,16.411770615371648,241,2020-02-10,2020-10-07,0.96263945,5606.04700838161,0.0542064788778071,4.02600108187973,,5780,-5.017018855,5561.0615,4.3529,-4.9170295458075,-4.967024,0,0,5606.04700838161,19.61961490619862,-0.016536344439001496,1008,1
39,304.38052,66.85369,HD193664,2246581329639103872,100017.0,193664,403585118,57.2041,468.684,297.589,5.769553,0.771456,-4.33,,,True,True,5716.66502224782,101.690881454038,4.40626896594595,0.0568829315663231,-0.0929999999999999,0.0755503043518311,0.0385289295991726,0.0,0.798088750231229,0.106682152933806,4.18,0.0,0.0,0.0,,4.251,0.337,4.083,0.17,4.466,0.015,4.879,0.037,4.69,0.036,4.451,0.029,6.505,0.021,5.929,0.023,0.949466017890197,-0.0408260515905908,0.0427389177959895,1.01024472286795,-0.0103185023069083,0.0098734383126,9.82831560046112,-0.192728764046358,0.140438202613563,4.40626896594595,-0.0244266913730247,0.0251959958917336,1.29771458011556,-0.080253941579107,0.0891334783882394,5763.16103999306,-87.3454442391458,93.0088143036473,0.0059812073357006,-0.0209993348205551,0.0214246832362341,136.605910183171,-3.9201474597603,4.16659532131715,2890.30781580103,-3.9201474597603,4.16659532131715,,,,20.292034666666662,66.85369,307,1.2720590889194143,1.30497712476291,2025.2105275806755,2025.9506636064864,217.3190761830232,1.2996492832370174,0.9709111368513906,1.0,546.0,546.0,0.1047,10.149974286764378,0.3726901356703487,0.8585811236687589,294.5381218962426,664.8972437168075,0.0758494662675514,0.0995001042055184,2.183959987247168,7.774024297476216,17.909329702944426,259,2020-03-26,2020-12-09,0.8299613,5716.66502224782,-0.0929999999999999,3.99130088517628,0.0,5870,-4.817372103785688,5807.854,4.3224,-4.84337166582,-4.830372,0,0,5716.66502224782,17.481264454820547,-0.0809421577303023,582,1
0,31.626015,24.333992,HD12846,104453918172129792,9829.0,12846,405376575,42.1141,6.063,-147.727,6.736007,0.823489,-4.44,,,True,True,5467.23187418972,122.288651334489,4.45784558883877,0.206796908974504,-0.0310000000000005,0.170203763504545,0.0090945328747616,0.0,0.0,0.0,3.44,0.0,0.0,0.0,,5.254,0.217,5.132,0.057,5.322,0.015,5.709,0.03,5.409,0.044,5.295,0.017,7.536,0.022,6.91,0.023,0.941599926274632,-0.0488251635702978,0.0545365344764706,0.948381329872868,-0.0088232573674642,0.0088425902510977,9.76695636427891,-0.350006959784153,0.191284720687269,4.45784558883877,-0.0280650177510422,0.0303116413540945,1.55780568758836,-0.105181202498822,0.125108157627263,5621.49806460888,-84.4680571207509,82.5192368328098,-0.0928854009682289,-0.0188491080326137,0.019520290423168,149.240638914823,-4.75684613316133,5.37706919694142,3295.80648113481,-4.75684613316133,5.37706919694142,,,,2.108401,24.333992,262,1.0028446801511584,1.0581236006911183,2025.49013452376,2026.1710536592989,187.6410657333167,1.064932663668512,0.921747647472885,1.0,376.0,376.0,0.144,12.23115136975204,0.383954661579446,0.8339560266966375,282.8752690952184,640.6820755579757,0.0773369457351056,0.1015631622268078,3.170377520528465,8.453341860927708,18.360801667696222,242,2020-07-02,2020-02-28,0.9880267,5467.23187418972,-0.0310000000000005,3.93970923376761,0.0,5760,-5.1369079682488845,5650.416,4.3887,-4.91517336652,-5.026041,0,0,5467.23187418972,23.745016514658985,-0.005231319070279398,27,0
21,217.40337,41.795914,HD127334,1491593733326694912,70873.0,127334,27525457,42.7526,161.373,-220.361,6.200569,0.854951,-0.55,,,True,True,5537.31498868139,104.784906663911,4.32686544843284,0.0914189837631885,0.2525,0.0944146502481181,0.0,0.0,1.12245909652867,0.0388114126072155,3.24,0.0,0.0,0.0,,4.721,0.253,4.521,0.11,4.779,0.014,5.105,0.018,4.847,0.026,4.736,0.016,7.076,0.021,6.365,0.023,1.08116096784017,-0.0340988593053235,0.0350823425569615,1.18207628323962,-0.0099486038062723,0.0096957236966968,9.74917518026944,-0.122972926626973,0.0985033193143519,4.32686544843284,-0.018986246778951,0.0190981332662199,0.923675252254681,-0.0458920502578425,0.0502339088669469,5768.02247835364,-63.2241266092797,71.4729534900071,0.14425837214147,-0.0137936694339911,0.0148642398476158,115.457842737082,-2.63008775265591,2.8179812299492,2402.68236247761,-2.63008775265591,2.8179812299492,,,,14.493558,41.795914,298,1.0260194491636738,1.0934772031865068,2025.924347658902,2026.6907936240905,222.48647201561607,1.0938202416014535,0.9460958489043912,1.0,487.0,487.0,0.0903,10.747235927536694,0.3230348541905954,0.7588189124185551,487.0093951059175,991.4813349382696,0.0609502875569139,0.0772487558259564,2.3166457917342576,8.287456650544101,19.467493246321283,270,2020-12-08,2020-09-02,0.9719038,5537.31498868139,0.2525,3.9909879712119,0.0,5680,-5.066410939337111,5588.4004,4.3092,-5.027625358453333,-5.047018,0,0,5537.31498868139,23.390390292052412,-0.01237671984405532,398,0
32,284.71252,30.180645,HD176377,2041085973668754176,93185.0,176377,20785413,41.7143,55.723,194.216,6.651565,0.773161,-40.57,,,True,True,5597.28127947492,109.34568937923,4.49585669970758,0.128679309883148,-0.1825,0.115318857473047,0.0757274954983293,0.0,0.64023435022294,0.0704246097131617,3.9,0.0,0.0,0.0,,5.314,0.145,5.183,0.052,5.329,0.015,5.625,0.02,5.386,0.016,5.296,9.995,7.395,0.022,6.817,0.023,0.987352031109638,-0.0352934745841414,0.0264733727817172,0.930654054736695,-0.0072050396468411,0.0079157825933016,9.25703946994751,-0.481606812295336,0.303839154465647,4.49585669970758,-0.0198370052499497,0.0141655106292005,1.73289194171219,-0.0882683399192115,0.0687007145480358,5877.3622437235,-67.5714535198085,67.8700599346894,-0.0313068347660672,-0.0147040199374422,0.0146968299191903,156.632719242973,-3.72789476235283,2.82765854220725,3510.93959885743,-3.72789476235283,2.82765854220725,,,,18.980834666666667,30.180645,308,1.0003374278025188,1.0685132436589568,2025.1151322706817,2025.917768672006,233.39729883968835,1.0557988553945965,0.8757955521976414,1.0,398.0,398.0,0.1361,11.888299217779526,0.4034281961262445,0.9095422153744036,341.9949688259282,763.2001690494898,0.070477446594889,0.0920993166965896,2.948217373579203,8.739118418891348,19.702631604485926,283,2020-02-18,2020-11-26,0.9619984,5597.28127947492,-0.1825,3.9528584000926,0.0,5870,-4.952987887897867,5791.2407,4.3806,-4.79047629342,-4.871732,0,0,5597.28127947492,23.972594529933378,-0.016825650282092326,528,0
34,309.66745,38.635094,HD196850,2063583390317759616,101875.0,196850,64804337,36.6832,201.043,-192.983,6.6132,0.793245,-20.93,,,True,True,5619.80252093814,101.804776083627,4.34035737209992,0.0569556315536333,-0.0700000000000002,0.0711919704827276,0.0268613853825795,0.0,0.699307052973213,0.0619736305642831,3.85,0.0,0.0,0.0,,5.189,0.199,5.057,0.06,5.233,0.018,5.537,0.023,5.285,0.023,5.228,0.018,7.371,0.084,6.76,0.001,0.987705732149307,-0.0361650621723992,0.0359514912937995,1.11170506614373,-0.0102915898434053,0.0110265538532439,9.84748832847221,-0.121495904274138,0.100436357257076,4.34035737209992,-0.0220230697713779,0.0220582901506008,1.01246926760925,-0.057178029527739,0.0625242882704136,5842.76707437309,-75.0093634741506,80.1492038586057,0.112920164983847,-0.0162934437261273,0.017042909633735,121.060636705418,-3.12478354171149,3.29368582885216,2462.9919135704,-3.12478354171149,3.29368582885216,,,,20.644496666666665,38.635094,305,1.015349472648118,1.083743939048203,2025.200659100331,2025.9868480344148,228.20044551806745,1.0737811807951494,0.8810000462382407,1.0,403.0,403.0,0.1343,11.814320283948296,0.4214340145335898,0.911753339665606,341.9949688259282,763.2001690494898,0.070477446594889,0.0920993166965896,2.942165220669331,9.232527925299935,19.974154622436764,277,2020-03-21,2020-12-22,1.057565,5619.80252093814,-0.0700000000000002,3.95407797242636,0.0,5760,-4.888579093667998,5697.0938,4.3199,-4.894039386006667,-4.891309,0,0,5619.80252093814,27.260435294630785,0.024307069450197713,538,0
44,236.61089,7.353069,27Ser,4430238051199001216,77257.0,141004,296740796,83.9214,-223.952,-69.763,4.246856,0.7825,-66.41,True,True,,,5875.74577203028,173.944684939258,4.20140933029905,0.183128806657534,-0.0289999999999999,0.0778904747930141,0.0124431105028244,0.0,1.3874004153048,0.0431054398350801,4.79,0.0,1.48104332233898,0.46021152435378,,2.05,,1.948,,3.0,0.011,3.43,0.22,3.07,0.216,2.989,0.23,5.01,0.021,4.415,0.023,1.03513522317372,-0.0557135369596873,0.0677313113227978,1.33741517337413,-0.0162651504912299,0.0169722036739359,9.88551088925502,-0.155087085264292,0.122250064082159,4.20140933029905,-0.0345314480131531,0.0359101847398993,0.611744283400232,-0.0534389871755889,0.0641042924422711,5884.08397954592,-145.821110709614,136.872673226124,0.284843502898393,-0.0333589246461327,0.0307660060445365,94.8389725278907,-3.7365353818028,4.10140390131778,1781.82495717553,-3.7365353818028,4.10140390131778,,,,15.774059333333334,7.353069,279,1.0746643932216948,1.130066043492762,2025.003289493448,2025.7203990651228,212.27116626464064,1.1263513576773585,0.9393747189317672,4.0,574.0,1148.0,0.0524,6.999875558873976,0.3904300661552997,0.8844106615962671,421.3031025565775,888.9382417334455,0.0648197006034179,0.0831379538247918,1.2941309181688685,9.6425118319521,21.842427128433464,252,2021-01-06,2020-09-13,1.130845,5875.74577203028,-0.0289999999999999,4.02959639469285,1.48104332233898,5890,-4.942772107,,,-4.8901851670975,-4.916479,0,0,5875.74577203028,11.915911793654537,0.05340308215108275,1029,1
9,46.040146,61.705822,HD18757,466294295706341760,14286.0,18757,286636275,42.4587,723.241,-691.734,6.483679,0.827446,-2.33,,,True,True,5358.32631226696,103.424254194873,4.31941871734302,0.068682912705461,-0.242,0.070719046266242,0.0965327963037944,0.0,0.287851422119315,0.0832938352059018,3.56,0.0,0.0,0.0,,,,,,,,5.391,0.021,5.115,0.023,5.027,0.018,7.277,0.099,6.643,0.027,0.881267496617365,-0.0149261026713774,0.0230014995065095,1.07501223931662,-0.0103197636063455,0.0099945486304158,10.0838603310377,-0.0578161373068884,0.0344530357447468,4.31941871734302,-0.0108801718805251,0.0161923697347595,0.999877620687114,-0.0321130064561707,0.0441573690153982,5678.29869118454,-49.7538351125368,54.4556047488186,0.0342283255751736,-0.0127899716499164,0.0136823476608812,120.992721763877,-1.83474758913208,2.36587186236659,2385.6897813694,-1.83474758913208,2.36587186236659,,,,3.069343066666667,61.705822,271,1.193059737822066,1.229832040913478,2025.526318951688,2026.207238087228,183.02865234860968,1.2334348935199129,1.0178924226048862,1.0,397.0,397.0,0.1321,11.903262470042844,0.6603577033228084,1.1282216985652895,223.91549969429528,520.2150210535058,0.0866237603713292,0.1147281374455764,2.629091455799341,13.142625250395698,22.454186434106152,242,2020-07-15,2020-03-12,0.99605733,5358.32631226696,-0.242,3.82281767567586,0.0,5670,-4.869389833875037,5588.4277,4.335,,-4.86939,0,0,5358.32631226696,23.552299057672514,-0.0017156642006942407,139,0
